aba	acostamento/berma/bainha/margem/borda
confinamento	detenção/custódia/restrição/limitação/solitária/cativeiro
confirmação	crisma/verificação/validação
conflito	peleja/pugna/desacordo/discordo/insurreição/revolta/rixa/atrito/fricção/guerra/rebelião/discordância/disputa/combate/batalha/luta/contratempos/discórdia/batalha
conformidade	concessão/consenso/acordo/aceite/subscrição/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/ratificação/concessão/consentimento/convenção/conspiração/harmonia/paz/aprovação/acordo
conforto	alívio/consolo/alívio
confronto	desacordo/discordo/rixa/atrito/fricção/discordância
conhaque	armagnac/armanhaque/calvados/cognac/grappa/slivovitz
conhecida	conexão
conhecido	camarada/companheiro/irmão/amigo/conexão/coabitante/colocatário/confidente/amiga/camarada/companheiro/irmão/amigo/colega
conhecimento	psique/atitude/circunstância/instância/mente/consideração/disciplina/evidência/familiaridade/cabeça/exemplo/representante/campo/domínio/datum/episteme/facto/estimulante/estímulo/senso/ciência/dado/equivalente/léxico/vocabulário/histórico/incapacidade/informação/capacidade/verdade/poder/história/habilidade/talento/base
conjunto	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo/actinídeo/actinídeos/enxame/etnicidade/halogénio/halogênio/interseção/lantanídeo/lantanídio/subconjunto/subgrupo/arranjo/comunidade/etnia/humanidade/nuvem/raça/diagonal/edição/mundo/população/gente/reino/imagem/intervalo/homem/povo/corpo/domínio/grupo/massa
conjuntura	virada/crise
conquista	bolinho/expediente/recrutamento/alistamento/emancipação/moleza/obra-prima/proeza/desempenho/feito/obtenção/performance/andada/façanha/realização
consciência	senso
conselho	repreensão/sinédrio/recomendação
consenso	concessão/acordo/aceite/subscrição/unanimidade/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/ratificação/concessão/consentimento/convenção/conspiração/harmonia/conformidade/aprovação/acordo
consequência	efeitos/impacto/influência/efeito/produto/mossa/subprodutos/estrago/repercussão/resultado/diminuição/mudança
conseqüência	efeitos/impacto/influência/efeito/produto/mossa/subprodutos/estrago/repercussão/resultado/diminuição/cadeia/mudança
conserto	manutenção/rapidinha/restituição/reconstrução
consideração	justificativa/justificação
consorte	cônjuge/esposa/esposo/marido/varão/mulher/homem/bígamo/recém-casado
consternação	estupefação/pânico/terror/medo/calafrio/difidencia/histeria/pavor/tremedeira/tremura/timidez/arrepio/intimidação/temor/terror/medo/tremor/dor
constituição	cariótipo/colonização/fenotipo/fenótipo/federação/genótipo/arquitectura/estrutura
constructor	empreiteiro
construtor	empreiteiro
construção	fabricação/erecção/nivelação/rústico
consumidor	freguês/cliente/comprador/alcoolatra/comedor/fumante/gastador/mascador/prodigo
consumo	alimentação/deglutição/sugue/gole/bebida
consórcio	cartel
contaminação	poluição
contas	bisbilhotice/bisbolhetice/fofoca/anedota/historieta/narração/piada/conto/história
contato	agarrão/baterdeleve/beijo/cócegas/manejo/ósculo/carícia/manipulação/pegada/batida/pegar
contendor	atleta/campeão/desportista/jogador/ganhador/participante/vencedor/desafiante/oponente/rival/segundo-lugar/adversário/competidor/finalista/vice/concorrente/opositor/favorito/rei/inimigo/segundo
contentor	cassete/contentores/envelope/mostrador/mostruário/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/louça/sobrescrito/tonel/vitrina/vitrine/cesta/copo/taça/cesto/lata/vasilha/vaso/colher/carteira/bolsa/prato/caixa/cocho/dedal/manjedoura/regador/relicário/sacola/chocalho/embalagem/porquinho-mealheiro/relicário/saleiro/cilindro/lata/molde/recipiente/vasilha/panela/saco/pacote/bolsa/caixa
contexto	condições/condição
conteúdo	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/chávena/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/tópico/assunto/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção/cesto/colherada/desrespeito/excurso/lembrete/paletada/botelha/jarro/recusa/barril/bobagem/parêntese/pote/proposta/punhado/afirmação/aplauso/cesto/bacia/besteira/colher/garrafa/reconhecimento/saco/tigela/declaração/humor/instrução/prato/aprovação
continuidade	reinado/trecho/prazo/duração/período
contorno	angularidade/curvatura/rectitude/retitude/topografia/concavidade/convexidade/topografia
contrapeso	simetria/proporção
controle	supremacia/monopólio/possessão/propriedade/domínio/amarra/auto-monitorização/regulamentos/tirania/absolutismo/auto-controle/predominância/regulação/despotismo/enchente/imperialismo/orientação/posse/governo/limitação
controlo	possessão/propriedade/amarra/auto-monitorização/regulamentos/auto-controle/regulação/enchente/imperialismo/orientação/posse/governo/limitação
controvérsia	disputa/discussão/contestação/polémica/polêmica/disputa/discussão
contêiner	cassete/contentores/envelope/mostrador/mostruário/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/louça/sobrescrito/tonel/vitrina/vitrine/cesta/copo/taça/cesto/lata/vasilha/vaso/colher/carteira/bolsa/prato/caixa/cocho/dedal/manjedoura/regador/relicário/sacola/chocalho/embalagem/porquinho-mealheiro/relicário/saleiro/cilindro/lata/molde/recipiente/vasilha/panela/saco/pacote/bolsa/caixa
contínuo	história
convencimento	admoestação/catequização/repreensão/sugestão/arma/recurso
convergência	encontro/reunião
conversa	diálogo/troca/debate/discussão/bate-papo/diplomacia/diplomácia/fuxico/regateio/diplomacia/mediação/fofoca
conversação	diálogo/troca/debate/conversa/discussão/bate-papo/fuxico/conversa/fofoca
convexidade	pico/ponta/entasis/projeção
convicção	doutrina/expetativa/religião/filosofia/expectativa/certeza/fé/crendice/espirito/individualismo/pacifismo/perspicácia/superstição/espiritismo/filosofia/individualismo/confiança/pensamento/teoria/fé/opinião/ideia
conúbio	endogamia/exogamia/monogamia/poligamia/bigamia/endogamia
cooperação	dedicação/conformidade/coação/reconciliação/abnegação/colaboração/meio-termo/compromisso/representação/acordo
coorte	jovem/juventude/velho
copo	copa
cor	pigmento/tinta/pintura/azul-de-bromofenol/fluoresceina/fluoresceína/indigo/pigmentos/índigo/anil/corante/pigmento/contraste/indicador/tintura/matiz/tez/azul/tom
corante	pigmento/tinta/pintura/cor/azul-de-bromofenol/fluoresceina/fluoresceína/indigo/pigmentos/índigo/anil/pigmento/contraste/indicador/tintura/azul/cor
corcova	barbeta/mamoa/mâmoa/terrapleno
corda	toa/fio/lã/cabo/amarra/brandái/cat-gut/catgut/estendal/mecha/tripa/varal/linha
cordados	tunicados/urochordata/vertebrado
cordialidade	irmandade/fraternidade
corno	galhada/chifre
corpo	divisão/enchido/partículas/defunto/anatomia/cadáver/tropa/partícula/carne/companhia/massa/anteguarda/artilharia/brigada/cromossoma/cromossomas/cromossomo/destacamento/infantaria/múmia/múmias/pelotão/regimento/artilharia/carniça/cavalaria/secção/vanguarda/batalhão/cadáver/companhia
corrente	rio/caminho/riacho/regato/ribeira/afluente/córrego/ribeiro
corretor	api/leiloeiro/pregoeiro/segurador/síndico
correção	compensação/remediação/emenda/reparação/retribuição
corrida	campanha/estafeta/freestyle/carreira
corte	bifsteque/filé/pernil/bife/inquisição/incisão/tribunal/lombo
cortina	reposteiro/antolhos/persiana
cosmo	natureza
cosmético	maquiagem/maquilagem/esmalte
costa	beira-mar/declividade/ribeira/barranco/descida/declínio/litoral/margem/aclive/vertente/escarpa/declive/rampa/subida/encosta/ladeira/litoral
costas	empenagem/popa/cauda/rabo/traseiro
costume	rito/cooperação/ritual/hábito/canibalismo/maltrato/modernismo/naturismo/nudismo/simbolismo/travestismo/antropofagia/simbolismo/escravidão/formalismo/ritual/emprego/hábito
cozinha	fritura/gastronomia/grelhado/quitinete/gastronomia/culinária
creador	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/fazendeiro/artista/produtor/coreógrafo/desenvolvedor/fantasista/inventor/descobridor/fazedor/artesão/artífice/construtor
creme	fotoprotetor/lanolina/nata
crença	doutrina/expetativa/convicção/religião/filosofia/expectativa/certeza/fé/crendice/espirito/individualismo/pacifismo/perspicácia/superstição/espiritismo/filosofia/individualismo/confiança/pensamento/teoria/fé/opinião/ideia
crescimento	acréscimo/acumulação/pulo/cultura/salto/angiogenese/angiogénese/angiogênese/brotação/gametogénese/gametogênese/morfogénese/morfogênese/neurogénese/palingenesia/teratogénese/virilização/germinação/proliferação/multiplicação/floração/concentração/aumento
criado	manequim/secretário/secretária/modelo/coadjutor/comparsa/doula/facilitador/ajudante/cúmplice/subordinado/assistente/peão/suplente/empregado/substituto/auxiliar/ponto
criador	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/fazendeiro/artista/produtor/coreógrafo/desenvolvedor/fantasista/inventor/descobridor/fazedor/artesão/artífice/construtor
criancinha	afilhada/afilhado
criança	bebé/criancinha/nenê/recém-nascido/bebê/diabrete/enteado/gaiato/moleque/pivete/filha/prodígio/órfão/rapaz/menino
criatividade	inovação/concepção/invenção/fecundidade/imaginação/talento
criativo	arquitecto/arquiteto/produtores/agricultor/costureiro/desenhador/designer/fazendeiro/artista/produtor/coreógrafo/desenvolvedor/fantasista/inventor/descobridor/fazedor/artesão/artífice/construtor
criatura	cria/embriões/predadores/embrião/prole/filhote/presa/detritívoro/insetívoro/invertebrados/omnívoro/pedigree/poiquilotérmico/zooplâncton/cordados/fêmea/herbívoro/insectívoros/invertebrado/mutantes/adulto/sobrevivente/caça/larva/parceiro/corredor/gigante/macho
criação	natureza/inovação/invenção/arte/afiguração/pornografia/pornô/remake/belas-artes/bens/bordado/fecundação/fertilização/peça/arte/representação/composição/clássico/imagem/produto/figura/ilustração/produção/artigo/desenho
crime	infracção/infração/furto/roubo/atentado/cometimento/captura/extorsão/suborno/rapto/falsificação/sequestro/traição/roubo/assalto/ataque
crise	depressão/recessão/urgência/emergência/dunquerque/exigência
cristal	gelo/gema/pedra/gémeos
critica	adjudicação/desaprovação/reprovação/avaliação/estimativa/cálculo/justiça
crosta	tártaro
crustáceo	copépode/ostracoda/percebe
crustáceos	copépode/ostracoda/percebe
crédito	cartadecrédito
crónica	biografia/historial/anais/etimologia/história
crônica	biografia/historial/anais/etimologia/história
cuidado	manicuro/pedicuro/providência/seguro-saúde/alimentação/nutrição/tratamento
culinária	fritura/gastronomia/grelhado/gastronomia/cozinha
culpa	criminalidade/culpabilidade/cumplicidade
cultivo	agricultura/pecuária/apicultura/aquacultura/arboricultura/hidroponia/horticultura/pecuária/cultura
cultura	mem/meme
curiosidade	interesse
curral	aprisco/cavalariça/chiqueiro/pocilga/pocilgas
curso	orientação/seminário/moda/tendência/caminho/propedêutica/sul/oposição/trilha/norte
curva	arco/catenária/meandro/ondulacao/quádrica/quádricas/sinuosidade/gancho/hélice/sino/volta/crescente/espiral/cotovelo/arco
custo	cifra/tarifa/prejuízo/vermelho/perda/número/capex/faturamento/porte/ágio/ganho/sobrecarga/tarifa/contribuição/despesa/pagamento/preços/resgate/taxa/retorno/recompensa/preço/rendimento/lucro/serviço
custos	capex/despesa/pagamento/preços/resgate/taxa/recompensa/preço/custo
cáculo	exponenciação/integração/combinação
cálculo	cáculo/capitalização/operação
câmbio	dilema/compromisso
cão	cachorra/cachorro/cadela/loba/lobo/matreiro/raposa/raposa-vermelha/raposa/chacal/hiena/hienídeo/hyaenidae
célula	blastema/blastómero/blastômero/gametócito/zigoto/célula-tronco/recombinante/fibras/fibra
círculo	camarilha/coorte
cólera	fúria/ira/raiva/indignação/raiva/irritação
cómoda	cômoda
cónica	elipse/oval/hipérbole/parábola
cónjuge	cônjuge/esposa/esposo/marido/varão/mulher/homem/bígamo/recém-casado/consorte
cópia	replicação/réplica/reprodução/anamorfismo/fac-símile/facsimile/miniatura/xerox/xérox/contrafação/duplicata/duplicação/fotocópia/modificação/falsificação
córrego	rio/riacho/regato/ribeira/afluente/ribeiro
cônica	elipse/oval/hipérbole/parábola
cônjuge	esposa/esposo/marido/varão/mulher/homem/bígamo/recém-casado/consorte
cúmulo	pira/sambaqui/estoque/montão/reserva/pilha
dado	hora/cinco/estatística/seis/leitura
dados	metadados/metadata
dama	senhora
danificação	desfiguramento/desfiguração/ferimento/queimadura
dano	picada/ferida/fractura/fratura/ferimento/lesão/queimadura/contusão/detrimento/hemorragia/sangramento/hematoma/torcedura/deformação/inchaço/galo/torção/prejuízo
dança	mambo/coreografia/adágio
data	aniversário/prazo
datum	estatística/dado/leitura
debate	tramitação/negociação/conversa/discussão/deliberação/conferência
decadência	piora
decisão	intercorrência/opção/alternativa/eleição/escolha/julgamento/resolução/designação/nomeação/selecção/rejeição/escolha/passo/movimento
declaração	anunciação/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/promessa/proposição/asserção/estimativa/orçamento/compromisso/explicação/fórmula/termo/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação/licitação/predição/alegação/eufemismo/ladainha/manifesto/pronunciamento/comentário/oferta/vocábulo/anotação/comunicação/denúncia/prognóstico/descrição/falsidade/ameaça/aviso/mentira/pacto/palavra/previsão/solução/resposta/anúncio/nota/acordo
declive	declividade/ribeira/barranco/descida/declínio/margem/aclive/vertente/escarpa/rampa/subida/encosta/ladeira
declives	declividade/ribeira/barranco/descida/declínio/margem/aclive/vertente/escarpa/declive/rampa/subida/encosta/ladeira
declínio	deterioração/diminuição/perda/abatimento
decomposição	cárie/putrefação/ruína
decoração	laço/ornamento/banda/faixa/adornamento/arabesco/dragona/espanta-espíritos/florão/gargula/joalharia/joalheria/lantejoula/penduricalho/pichação/grafite/gárgula/jóia/tatuagem/bronze/laço/ornamento
decreto	interdição/proibição/bulas
decréscimo	atrito/abatimento
decênio	1940s
dedo	polegar/índex/artelho/indicador/anular
defeito	flaw/falha/erro
defensor	bombeira/bombeiro/bombeiros/bombeiro/porta-voz/representante/guarda/constitucionalista/federalista/ideologista/introdutor/observando/orago/padroeiro/paladino/patrono/protecionista/secessionista/separatista/democrata/fan/guarda-costas/libertário/maoísta/tutor/xiita/admirador/apresentador/guardião/torcedor/herói/fanático/guerreiro/seguidor/amigo/monitor
deferência	estimação/apreciação
defesa	fortaleza/fortificação/baluarte/forte
deficiência	penúria/escassez/fome/falta/carência/ausência/escassez/falta/carência
deflagração	epidemias/epidemia
defunto	enchido/cadáver/corpo/múmia/múmias/carniça/cadáver
degradação	desmoralização/desumanização/humilhação/corrupção
deidade	demiurgo/deusa/semideus/deus/santo
deidades	demiurgo/deusa/semideus/deus/santo
delegação	mandato/vírus/embaixada
deleite	encantamento
delicadeza	favor/gentileza/ternura/perdão
delinquência	criminalidade/culpabilidade/cumplicidade/culpa
delito	infringemento/violação/prevaricação/injustiça/intrusão/transgressão/adulteração/desonestidade/injuria/falsificação/invasão/negligência
demanda	consumo
demo	manifestação/reflexão
demolição	aniquilamento/erradicação/aniquilação/depredação/desintegração/desolação/devastação/ruína
demonstração	manifestação/reflexão
denominação	título/alcunha/cognome/sobrenome/apelido
dente	colmilho/pré-molar/bicúspide/incisivo/molar/rabo/traseiro
dentes	colmilho/pré-molar/bicúspide/incisivo/molar/dente/rabo/traseiro
dentista	exodontista/ortodontista
departamento	conservatório/broto/ramo
depósito	armazenamento/armazem/celeiro/evaporito/feitoria/granel/aluvião/armazém/borra/loja
derrota	capitulação/rendição/omissão/surra/descuido/falta/negligência
desacordo	querela/controvérsia/discordância/disputa/discussão/enfrentamento/discórdia/discordância
desafiante	campeão/segundo-lugar/finalista/vice/opositor/favorito/rei/inimigo/segundo
desafortunado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente/carpideira/jó/agourento
desastre	avaria/ruína/queda/abortamento/desencontrar/disfunção/fracasso/malformação/vencimento/derrota/aborto/perda
descendente	criança/filho/menino/bastardo/primogênita/primogênito/neta/neto/sucessor/bebê
descendência	criança/filho/menino/família/bastardo/primogênita/primogênito/neta/neto/sucessor/bebê
descensão	paraquedismo/queda
descoberta	redescoberta/achado/detecção
descobrimento	redescoberta/achado/detecção
desconsideração	esnobada/desprezo
descrição	dístico/caraterização/epíteto/caracterização/retrato/ilustração/desenho
desejo	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia/afã/concupiscência/discontentamento/nostalgia/veleidade/cio/eros/saudade/anelo/melancolia/anseio/tentação
desempenho	mecanica/mecanismo
desenho	diagrama/cenografia/foto/mapa/planta/retrato/cópia/reprodução/fotografia/esquema/imagem/figura/ilustração/modelo/plano/audiograma/cosmografia/croqui/doodle/efígie/garrancho/nomograma/presépio/projecção/silhueta/esboço/silhueta/ícone/documento/projeção/ícone/carvão/fotografia/imagem/apresentação/figura/ilustração
desenvolvimento	progresso/comercialização/eletrificação/sobreexploração/capitalização/elaboração
desfeita	afronta/desconsideração/insulto/insolência/ofensa/injúria
desgosto	amargura/tristeza/dor/pesar/dor
desgraça	xingamento
designação	nomeação/ordenação/vigia/encargo/delegação/missão/guarda
deslocamento	vacilação/migração/precipitação/regresso/retorno/caçada/descensão/engatinhamento/travessia/ascensão/avanço/deslizamento/locomoção/elevação/perseguição/progressão/aceleração/aproximação/manobra/viagem/movimento
desolação	aniquilamento/erradicação/aniquilação/depredação/desintegração/devastação/ruína
desonestidade	charlatanismo/traição
desonra	ignomínia/desgraça/vergonha/descrédito/infâmia/corrupção
desordem	comoção/bagunça/zona/confusão/anarquia/instabilidade/turbulência/discórdia
desportista	corredor/akrobata/amadorismo/basquetebolista/beisebolistas/esportista/esportiva/esquiador/futebolista/ginasta/pentatleta/tenista/acrobata/alpinista/amador/escalador/nadador/esportivo/jogador/patinador/ponteiro/olímpico/ponta
destino	falhanço/falha/carma/karma/infortúnio/azar/inevitável/sorte
destruição	aniquilamento/erradicação/escombro/exterminação/obliteração/sabotagem/vandalismo/aniquilação/auto-destruição/demolição/depredação/desintegração/desastre/neutralização/desolação/devastação/ruína
desvantagem	limitação/privação/prejuízo/deficiência/defeito/carência/perda/limitação/obstáculo
desventurado	cativo/perdedor/preso/prisioneiro/fracassado/refém/vítima/sobrevivente/carpideira/jó/agourento
detalhe	minúncia/respeito
deterioração	cárie/desfiguramento/desfiguração/putrefação/ferimento/queimadura/decomposição/ruína
deus	demiurgo/deusa/semideus/santo
deusa	demiurgo/semideus/deus/santo
devastação	escombro/exterminação/obliteração/sabotagem/vandalismo/auto-destruição/demolição/desastre/neutralização/ruína
dever	incumbência/serviço/designação/exigência/incumbência/pré-requisito/requisito/função/tarefa/papel/responsabilidade/obrigação
dia	anoitecer/efeméride/aniversário/feriado/véspera/data/tarde/noite/idos/reveillon/vésperas/aniversário/véspera/amanhã/data/ontem/prazo/hoje
diferença	alteridade/flexão/desigualdade/discrepância/distinção/diferencial/variedade/discordância
dificuldade	problema/obstáculo/fineza/subtileza/sutileza/atrapalhação/dureza/impedimento/rigor/problema/obstáculo
difusão	osmose/transporte
dimensão	anchura/largura/espessura/grossura/circunferência/perímetro/altitude/distância/altura/extensão
diminuição	disconto/desconto/abatimento/corte/depleção/desconfidencialização/dessensibilização/encurtamento/minimização/mitigação/amortização/contracção/deflação/desvalorização/devaliação/moderação/subtracção/subtração/atrito/deterioração/abreviatura/alívio/declínio/decadência/perda/abatimento
dinheiro	cache/numerário/troco/divisa/capital/moeda/fundo/cobres/grana/guito/bolso/mesada/troco/moeda/massa
diocese	arquidiocese/eparquia
director	gestora/banqueiro/gerente
direcção	moda/tendência/curso
direito	admitância/acesso/prerrogativa/reclamo/reivindicação/privilégio/preempção/preferência
diretor	gestora/banqueiro/gerente
direção	moda/tendência/curso
dirigente	gestora/banqueiro/gerente
disciplina	engenharia/tecnologia/arquitetura/teologia/ciência/arquitectura/controle/escapologia/futurologia/genealogia/grafologia/numerologia/prospecção/genealogia/ocultismo/especialização/área
disco	ponto
discordo	querela/controvérsia/discordância/disputa/discussão/enfrentamento/discórdia/discordância
discordância	querela/controvérsia/disputa/discussão/enfrentamento/contestação/polémica/polêmica/controvérsia/discórdia/disputa/discussão
discrepância	querela/controvérsia/discordância/disputa/discussão/enfrentamento/discórdia/discordância
discriminação	diferenciação/sabor
discurso	pregação/preleção/prédica/palestra/sermão/fala/linguagem/idioma/língua/colóquio/eloquência/eloqüência/grandiosidade/meta-linguagem/metalinguagem/oratória/papo/tersividade/verbosidade/alegoria/barragem/dispositivo/ladainha/retórica/detalhe/jargão/poesia/consideração/fala/mímica/conversa/emprego
discussão	tramitação/negociação/controvérsia/debate/conversa/disputa/papo/contestação/polémica/polêmica/controvérsia/deliberação/detalhe/conferência/consideração/fala/debate/conversa/disputa
discípulo	animista/antinomio/apóstolos/aristoteliano/donatismo/druso/drusos/dualista/rastafari/rastafariano/siques/sociniano/zoroastriano/absolutista/maniqueísta/luterano/apóstolo
discórdia	querela/controvérsia/discordância/disputa/discussão/enfrentamento/discordância
dispositivo	acendedor/arapuca/encosto/engenhoca/filtros/gadget/sensor/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede/adaptador/aerofólio/anticoncepcional/aquecedores/ardil/bafómetro/bafômetro/benjamim/calçadeira/cinetoscópio/cotonete/etilómetro/etilômetro/exaustor/extintor/indicadores/leque/magnete/pegador/plectro/pós-combustão/roteador/router/teclado/torquês/triturador/valva/vaporizador/íman/calçadeira/catapulta/chupeta/conversor/isca/palheta/pente/safira/ímã/aquecedor/ventilador/alicate/tenaz/válvula/botão/lâmpada/luz/agulha/restrição/controle/limitação/impressão/guarda
disposição	otimismo/ambição/aspiração/perfeccionismo/relutância/equanimidade/iniciativa/abandono/agressividade/hesitação/pessimismo/empréstimo/amizade/solidão/tolerância/calma/energia
disputa	controvérsia/discussão/contratempos/disturbio/esgrima/superação/tiroteio/contenda/contestação/duelo/esgrima/polémica/polêmica/briga/controvérsia/choque/conflito/combate/discussão/batalha/luta
dissimulação	obscurantismo/duplicidade/trapaça/astúcia/desonestidade/enganação/engano/ilusão/artimanha
distribuição	carteamento/carteio/destinação/dispensação/partilha/repartição/partição/divisão
districto	empreendimento/enclave/protectorado/protetorado/protetorado/jurisdição/bairro/possessão/vizinhança
distrito	empreendimento/enclave/protectorado/protetorado/protetorado/jurisdição/bairro/possessão/vizinhança
distância	lonjura/minuto/altitude/proximidade/altura/hora/salto
distúrbio	acloridria/colestase/disfagia/disúria/engasgo/hidrocele/hiperatividade/hiperatividade/doença
ditado	lemas/mote/cambial/lema/ambigüidade/bem-aventuranças/decalque/disfemismo/máxima/provérbios/ambiguidade/axioma/eufemismo/aforismo/adágio/provérbio
diversão	entretenimento/esporte/hobby/celebração/entreterimento/festividade/passatempo/divertimento/festa/jogo/edutainment/escapismo/gozação/sacanagem/distracção/exibição/travessura/brincadeira/dança/distração/aposta/baile/divertimento/trote/apresentação
divertimento	edutainment/distracção/exibição/distração/apresentação
divindade	demiurgo/deusa/semideus/deus/santo
divinidade	demiurgo/deusa/semideus/deus/santo
divisa	cache/cêntimo/numerário/centavo/capital/moeda/dinheiro/fundo/cobres/grana/guito/guinéu/medalhão/xelim/cobre/ducado/níquel/águia/dólar/moeda/dinheiro/massa
divisão	cisma/cisão/dissidência/parcela/parte/bissecção/departamento/hifenização/quantizacão/quantização/racionamento/silabação/bissetriz/fragmentação/quartel/broto/ramo/departamento
divisória	muro/parede
divulgador	pornógrafo
doação	contributo/galardão/prémio/caridade/prêmio/ajuda/presente/donativo/dote/oblação/enriquecimento/legado/oferenda/brinde/contribuição/esmola/presente/herança
dobra	plissado/prega/cacho
doce	pudim/chicla/chuinga/mousse/musse/ovosefarinha/pavlova/tiramisu/tiramisù/tortadenata/zabaglione/chiclete/compota/pudim/sobremesa/bala/molde/caramelo
documentação	atestado/certidão/copyright/escritura/foro/fretamento/certificado/cédula/formulário/patente/reporte/relato/relatório/estudo/instrumento/renúncia/papiro/confissão/resolução
documento	atestado/certidão/copyright/escritura/foro/fretamento/missiva/certificado/cédula/formulário/patente/reporte/relato/relatório/carta/registro/estudo/instrumento/renúncia/cartadecrédito/papiro/confissão/resolução/obrigação
documentos	alínea/diários/ensaios/parágrafo/documentação/documento/manuscrito/versão/diário/ensaio/literatura/criptograma/redacção/redação/autógrafo/inscrição/plágio/crítica/seção/texto/tratado/crédito/literatura/parte
doença	doenças/tumores/acloridria/amiloidose/aspergilose/bócio/cinetose/colestase/disfagia/disúria/endemia/engasgo/fitopatologia/hidrocele/hiperatividade/indisposição/malignidade/reumatismo/roséola/saturnismo/toxemia/carbúnculo/hiperatividade/intoxicação/complicação/colapso
doenças	aspergilose/bócio/endemia/fitopatologia/malignidade/reumatismo/roséola/carbúnculo/complicação
dom	galardão/prémio/prêmio/ajuda/presente/donativo/dote/enriquecimento/legado/brinde/contribuição/doação/presente/herança
domicílio	vivenda/habitação/casa/ger/chaminé/lar/casa
dominancia	supremacia/monopólio/domínio/tirania/absolutismo/predominância/despotismo
doméstico	ama/arrumadeira/camareira/criada/empregada
domínio	empreendimento/supremacia/engenharia/monopólio/tecnologia/arquitetura/teologia/ciência/arquitectura/enclave/escapologia/futurologia/genealogia/grafologia/grão-ducado/numerologia/prospecção/protectorado/protetorado/suserania/tirania/absolutismo/genealogia/predominância/principado/protetorado/senhorio/despotismo/ducado/jurisdição/ocultismo/especialização/império/bairro/condado/possessão/vizinhança/reino/área
dono	armador/livreiro/locador/poupador/poupante/proprietária/detentor/patrão/sócio
dor	desgosto/tormento/amargura/tortura/martírio/agonia/tristeza/pesar/artralgia/cólica/dismenorreia/dismenorréia/espadas/fotofobia/hemorróida/hemorróidas/mialgia/nevralgia/passamento/fotofobia/tremida/tortura/martírio/sofrimento/agonia
dor-de-cabeça	fardo/carga/preocupação/problema
dorso	empenagem/popa/cauda/rabo/traseiro
doutor	cirurgião/abortador/aborteiro/estagiária/médico-residente/vet/veterinário/estagiário/curandeiro/residente
doutrina	credo/abolicionismo/amoralismo/animismo/criacionismo/descritivismo/dualismo/epicurismo/expansionismo/fenomenologia/humanismo/humanitarianismo/humanitarismo/igualitarismo/irredentismo/laicismo/monismo/multiculturalismo/niilismo/populismo/secularismo/utilitarismo/credo/dogma/evangelho/feminismo/internacionalismo/nacionalismo/pluralismo/preceito/democracia/formalismo/individualismo/milênio/autocracia/imitação
dr.	cirurgião/abortador/aborteiro/estagiária/médico-residente/vet/veterinário/estagiário/curandeiro/residente
dramaturgia	teatro
drinque	milkshake/sangria/vitamina/brinde
droga	medicamento/remédio/agonista/anestésicos/diurético/diuréticos/estimulantes/hipnótico/intoxicante/estimulante/narcótico/anestésico
ducto	canudo/tubo/cateter/cânula/sifão/stent/tubulação/cachimbo/capilar/mangueira/piteira/silenciador/zarabatana/condutas/duto/canal
dupla	casal
duração	reinado/trecho/prazo/período
duto	canudo/tubo/cateter/cânula/sifão/stent/tubulação/cachimbo/capilar/mangueira/piteira/silenciador/zarabatana/condutas/ducto/canal
dádiva	galardão/prémio/prêmio/ajuda/presente/donativo/dote/enriquecimento/legado/brinde/contribuição/doação/presente/herança
débito	empréstimo/crédito
década	1940s
dígito	artelho/dedo
dívida	empréstimo/crédito
dívidas	empréstimo/crédito
dúvida	receio/desconfiança/descrença/indecisão
edificação	fabricação/construção/erecção/nivelação/rústico
