1940s	decênio/década
criocirurgia	cirurgia/operação
criogenia	física
criolita	minérios/mineral
cripto-análise	ciência
criptoanalise	ciência
criptoanálise	ciência
criptogâmicas	flora/planta/vegetal
criptógama	flora/planta/vegetal
criptógamas	flora/planta/vegetal
crisma	confirmação/prova
crisoberilo	minérios/mineral
crisol	vasilhame/vasilha/vaso
cristal	rocha/componente/pedra/parte
cristalino	órgão
cristalografia	física
cristianismo	religião/fé
cristobalita	minérios/mineral
crisálida	insectos/insetos/hemípteros/insecto/inseto
crisântemo	flor
critica	acção/feito/ato/ação
crivo	peneira/coador
croissant	pãozinho
cromio	metal/metais
cromita	minérios/mineral
cromo	metal/metais
cromos	cartão/carta
cromosfera	camada/estrato
cronista	historiador/historiografo/estudioso/erudito/especialista/acadêmico
cronograma	listagem/projecto/lista/programação/projeto/intenção/programa/plano
cronômetro	relógios/relógio
crooner	cantador/cantor/vocalista
croquete	prato
croqui	imagem/figura/ilustração/desenho
crosta	camada/estrato
crouton	pão
crucificação	tortura/execução
crueldade	abuso/injúria
cruz	edifício/tecido/estrutura
cruzamento	estádio/arena/junção
crâneo	osso
crânio	osso
crédito	débito/dívida/dívidas/dívida
crítico	profissional
crómio	metal/metais
crômio	metal/metais
csi	caracter/caractér/carácter/letra
cuba	vasilhame/vasilha/vaso
cubeta	vasilhame/vasilha/vaso
cubista	pintora/pintor
cuca	bolo
cuckold	cônjuge/esposo/marido/varão/homem
cuidado	protecção/proteção
cuieira	garrafa/biberão/botelha/frasco/garrafa
culminação	estágio/fase/período
culminância	estágio/fase/período
culpa	delinquência/estado/situação/condição/estado
culpabilidade	delinquência/culpa
cultivador	agricultor/fazendeiro
cultivo	campo
cultura	ontogenia/ontogénese/atitude/crescimento/sociedade
culturista	alguém/indivíduo/alma/pessoa
cume	cima/pico/topo/área/região
cumeeira	viga/trave
cumplicidade	delinquência/culpa
cumprimento	saudação
cumulus	nuvem
cuneiforme	escrita
cunha	triangulo/triângulo
cunhado	parente
cupim	insectos/insetos/hemípteros/insecto/inseto
cupins	insectos/insetos/hemípteros/insecto/inseto
cuprita	minérios/mineral
cupê	auto/automóvel/viatura/carro/veículo
curandeiro	dr./doutor/especialista/médico
curetagem	cirurgia/operação
curiosidade	objeto
curling	jogo
curricula	informação
curro	compartimento
curry	prato
currículo	informação/sumário/resumo
curso	didáctica/ensinamento/itinerário/itinerários/percurso/rota/ensino/pedagogia/educação/instrução/formação/linha/estrada/caminho
curta	camisa
curta-metragem	película/cinema/filme/produção
curtume	ofício/arte/profissão
curva	segmento/seção
cuspe	secreção
cuspo	secreção
custo	despesa/gasto
custos	despesa/gasto
custódia	vasilhame/vasilha/vaso
cutelo	faca
cutucada	gesto/sinal
czar	monarca/suserano/soberano
cá	caracter/caractér/carácter/letra/locação/localização/ponto/lugar
cádmio	metal/metais
cálcio	metal/metais
cálculo	critica/juízo/procedimento/processo/julgamento
cálice	xícara/chávena/taça
cápsideo	proteína
cápsula	comprimido/pílula
cátedra	palanque/tablado/tribuna
câimbra	sintoma
câmara	aposento/câmera/quarto/sala
câmera	câmara
câmpus	terreno/campo
cânhamo	arvoreta/arbusto/mato/moita
cânion	baixada/vale
cântaro	garrafa/biberão/botelha/frasco/garrafa
cãibra	sintoma
cédula	documentação/documento
célula-tronco	célula
cérebro	inteligência
cério	metal/metais
césio	metal/metais
céu	superfície/ar/atmosfera
cêntimo	divisa/peça/moeda/prata
cílio	cabelo
cítara	violão/guitarra
cóccix	osso
cóclea	condutas/tubo
cócoras	mudança
código-máquina	código
códon	seqüência/sequência
cólera	abalo/zanga/comoção/ira/emoção/sentimento/raiva
cómico	intérprete
cómoda	alfaia/movéis/mobília/mobiliário/móvel
cónjuge	parente
cópia	reprodução
córrego	corrente
cômico	actor/ator/artista/intérprete
cômoda	alfaia/aparelhador/cómoda/gaveteiro/movéis/mobília/mobiliário/móvel
cônjuge	cónjuge/consorte/esposa/esposo/marido/parente/companheiro
cônsul	diplomata/embaixador
cúmplice	criado/fora-da-lei/malfeitor/ajudante/criminoso/assistente/bandido/servidor
cúmulo	colecção/coleção/nuvem/aglomeração/acúmulo
cúpula	domo/telhado/teto
cúrio	metal/metais
d	caracter/caractér/carácter/letra
dados	colecção/coleção/aglomeração/acúmulo
daguerreotipo	foto/retrato/fotografia/imagem
daguerreótipo	foto/retrato/fotografia/imagem
daltonico	alguém/indivíduo/alma/pessoa
dama	mulher
damasco	têxteis/pano/tecido/fazenda
daniel	magistrado/jurista/juiz
dano	alteração/modificação/variação/mudança
dança	festa
dançarina	intérprete
dançarino	intérprete
darbase	ordenado/salário/remuneração/retribuição
dardo	projéctil/míssil/projétil/mudança
data	mês/dia
datilógrafo	assalariado/empregado/operário
debate	conversação/conversa
debilidade	fraqueza
decadência	pecado
decalcomania	ornamento
decalque	locução/provérbio/ditado/expressão/idioma
decanter	garrafa/biberão/botelha/frasco/garrafa
decapitação	execução
declive	declives/subida/encosta/costa/ladeira
declividade	declive/declives/subida/encosta/costa/ladeira
declínio	estado/declive/declives/subida/encosta/costa/ladeira/situação/condição/estado
decodificador	maquinaria/máquina
decorador	expert/experto/louvado/especialista/perito/artista
decoração	adorno/ornato/ornamento
decréscimo	alteração/modificação/variação/mudança
decênio	etapa/tempo/período
dedilhamento	posicionamento/colocação
dedilhação	posicionamento/colocação
default	intercorrência/opção/alternativa/eleição/escolha
defeito	flaw/desvantagem/semblante/aspecto/falha/aparência/erro
defensor	alguém/indivíduo/jurista/advogado/alma/pessoa
deferência	atitude
defesa	protecção/edifício/tecido/estrutura/proteção/combate/batalha
deficit	deficiência/carência
deficiência	desvantagem/ausência/escassez/necessidade/falta/carência
definição	explanação/explicação
deflação	redução/diminuição
deformação	alteração/dano/estrago/avaria/modificação/variação/prejuízo/mudança
deformidade	semblante/aspecto/aparência
defunto	cadáver/morto/corpo
degelo	clima/tempo
deglutição	ingestão/consumo
degrau	encosto/apoio/suporte
delator	fonte
delegada	representante
delegado	policial/polícia/agente/representante/guarda
delegação	organização
deleite	prazer
deleção	mutação
delfim-comum	delfim/delphinidae/boto/golfinho
delineador	maquiagem/maquilagem/cosmético
delinquente	culpado
delinquência	estado/culpado/situação/condição/estado
deliquência	negligência
delta	caracter/caractér/carácter/letra
deltas	caracter/caractér/carácter/letra
demagogo	político
demanda	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
demandante	alguém/indivíduo/alma/pessoa
demissão	notificação/comunicação/aviso/nota
demiurgo	deidade/deidades/divinidade/deus/deusa/divindade/deus
democracia	doutrina/ideologia/filosofia
democrata	proponente/defensor/político/advogado/representante
demodulação	recepção
demografia	sociologia
demolidor	obreiro/trabalhador/operário
demolição	chegada/conclusão/resultado/fim/final
demonstrador	instrutor/docente/mestre/professor
demonstração	evidência/prova
demora	interrupção/suspensão/pausa
denigração	ataque
denim	têxteis/pano/tecido/fazenda
denominacionalismo	tendência
denominação	antenome/prenome/nome
dentadura	jogo/grupo
dentama	jogo/grupo
dente	dentes/osso
dentes	osso
dentina	osso
dentição	jogo/grupo
denáilon	têxteis/pano/tecido/fazenda
departamento	sector/prédio/setor/edifício/divisão
depleção	redução/diminuição
depoimento	asserção
depredação	demolição/destruição/desolação
depressão	crise
depurador	aparato/aparelho/equipamento/programa
depuradores	programa
depósito	matéria/capital/substância/fundo
derivada	cálculo
derivado	verbo/vocábulo/termo/palavra
derivação	explanação/procedência/explicação/raiz/nascente/fonte
dermaptera	insectos/insetos/hemípteros/insecto/inseto
derramamento	líquido
derrota	deceção/desapontamento/decepção/chegada/conclusão/resultado/fim/final
derrotados	população/gente/pessoal/povo
derrotismo	resignação
desaceleração	alteração/modificação/variação/mudança
desacordo	recontro/confronto/conflito
desafio	situação/condição
desafortunado	alguém/indivíduo/alma/pessoa
desalento	desespero
desalinhamento	espaçamento/posição
desamparo	rejeição
desaparição	partida
desaprovação	critica/juízo/julgamento
desastre	adversidade
desavença	controvérsia/disputa/discussão
desbridamento	cirurgia/operação
descansador	alguém/indivíduo/alma/pessoa
descanso	almofada/interrupção/suspensão/pausa
descendente	parente
descendência	parente/parentesco/relação
descente	declividade/barranco/descida/declínio
descida	declive/declives/subida/encosta/costa/ladeira
descoberta	epifania/insight/lampejo/acção/feito/ato/ação
descobridor	espectador/observador
descobrimento	acção/feito/ato/ação
desconfiam	feição/peculiaridade
desconfiança	feição/peculiaridade/incerteza/dúvida
desconfidencialização	redução/diminuição
desconforto	estado/situação/condição/estado
desconsideração	desfeita/ofensa/injúria
desconto	redução/diminuição
descrença	incerteza/dúvida
descritivismo	doutrina/filosofia
descuido	equívoco/engano/ausência/falha/erro
desejo	saudação/pré-requisito/requisito/apetite/pretensão/anseio/necessidade
desempenho	feito/conquista/façanha/realização
desempregado	população/gente/pessoal/povo
desenhador	expert/experto/louvado/especialista/perito
desenhista	artista
desenho	projecto/programação/projeto/imagem/figura/ilustração/intenção/programa/plano
desequilíbrio	situação/condição
deserto	mato
desertor	culpado
deserção	rejeição
desespero	estado/situação/condição/estado
desfeita	conduta/comportamento
desgaste	perda
designação	dever/obrigação
desintegração	demolição/destruição/desolação
desjejum	repasto/refeição
desmembramento	tortura
desolação	demolição/trevas/chegada/destruição/conclusão/resultado/fim/final
despacho	estória/relato/partida/artigo
despedida	partida
despedimento	demissão
despensa	guarda-roupas/estante/armário
despertador	relógios/relógio
despesa	pagamento
desportista	atleta
despotismo	ascendencia/dominancia/superioridade/controle/domínio
destaque	elemento/componente
destilador	fabricante/produtor
destilaria	fábrica/usina/planta
destino	causador/meta/alvo/objectivo/causa/intenção
destro	alguém/indivíduo/alma/pessoa
destroços	detrito/lixo/resíduo
destruição	chegada/conclusão/resultado/fim/final
desvalorização	redução/diminuição
desventurado	alguém/indivíduo/alma/pessoa
desvio	via/rodovia/estrada/caminho
desânimo	desespero
detalhe	discurso/discussão
detective	policial/polícia/agente/guarda
detecção	percepção/recepção
detento	culpado
detenção	penalização/penalidade/punição/castigo
detergentes	materiais
detetive	investigador/policial/polícia/agente/guarda
detido	cativo/preso/prisioneiro/refém
detrimento	dano/estrago/avaria/prejuízo
detrito	lixo/resíduo
detritívoro	criatura/animal/besta/bicho/ser
deus	deidade/deidades/divinidade/deusa/divindade
deusa	deidade/deidades/divinidade/deus/divindade/deus
devaliação	redução/diminuição
devanagari	escrita
devanágari	escrita
devanāgarī	escrita
devassa	mulher
devastação	demolição/destruição/desolação
devedor	alguém/indivíduo/alma/pessoa
devedora	alguém/indivíduo/alma/pessoa
dever	responsabilidade/obrigação
dia	oportunidade/etapa/chance/tempo/período
diafragma	disco
diagnóstico	diagnose
diagrama	imagem/figura/ilustração/desenho
diagramador	expert/experto/louvado/especialista/perito
dialetica	filosofia
dialéctica	filosofia
dialética	filosofia
diamante	carbono/joia/jóia/gema
dianteira	face/lado
diapsida	répteis/réptil
diarreia	sintoma
diarréia	sintoma
diartrose	articulações/articulação
dica	agouro/indício/presságio/indicação/sinal
diese	simbolo/símbolos/aceno/emblema/símbolo/sinal
diesel	carburante/combustível
dieta	nutriente/comida/alimento
dietista	expert/experto/louvado/especialista/perito
difamação	ataque
diferença	flutuação/variação/mudança
dificuldade	estado/situação/condição/estado
difidencia	consternação/temor/terror/medo
digitação	posicionamento/colocação
dignidade	status/comportamento/condição/estado/presença/classe/posição
digrafo	caracter/caractér/carácter/letra
digrama	caracter/caractér/carácter/letra
dilatação	ampliação/expansão/aumento
dilema	câmbio/troca
diletante	aficionado/amadora/amador
diluição	soluto/solução
diluvio	chuva
dilúvio	montanha/bocado/montão/quantidade/multidão/massa
dimensão	grandeza/situação/condição/magnitude/número
diminuição	alteração/consequência/conseqüência/modificação/redução/variação/efeito/resultado/fim/mudança
diminutivo	verbo/vocábulo/termo/palavra
dinamismo	atividade
dinastia	família
dinastias	família
dinheiro	cobre/divisa/moeda
diploma	atestado/certidão/escritura/certificado/instrumento
diplomacia	tramitação/negociação/conversa
diplomata	funcionário/serventuário
diplomácia	tramitação/negociação/conversa
director	administrador/gerente
directoria	amante/mulher
directriz	gestão/administração
direcção	itinerário/itinerários/percurso/rota/gestão/administração/linha/estrada/caminho
direita	mão/pata
direito	justeza/filosofia/justiça/título
diretor	administrador/gerente
diretoria	junta/comité/comitê/conselho
diretório	listagem/lista
direção	itinerário/itinerários/percurso/rota/gestão/administração/linha/estrada/tendência/caminho
dirigente	administrador/gerente/representante
disciplina	feição/peculiaridade/treinamento/treino/preparação
disconto	redução/diminuição
discordo	recontro/confronto/conflito
discordância	recontro/desacordo/discordo/rixa/confronto/conflito
discursante	falante/palestrante/locutor
discurso	mensagem/comunicação
discussão	querela/conversação/controvérsia/conversa/discordância/disputa
disfarce	fantasia/traje
disfasia	deficiencia/deficiente/deficiência/discapacidade/inabilidade/deficiência/incapacidade
disfemismo	locução/provérbio/ditado/expressão/idioma
dislexico	alguém/indivíduo/alma/pessoa
dispepsia	sintoma
dispersão	alteração/modificação/variação/mudança
dispneia	sintoma
dispnéia	sintoma
disposição	feição/peculiaridade/temperamento/acção/feito/ato/ação
disprosio	metal/metais
disprósio	metal/metais
disputa	peleja/pugna/querela/controvérsia/discordância/combate/discussão/batalha/luta
dissertação	ensaios/ensaio
dissidente	alguém/indivíduo/alma/pessoa
dissidência	alguém/indivíduo/alma/pessoa
dissulfiram	medicamento/remédio
distensão	ampliação/expansão/aumento
distintivo	característica/qualidade
distopia	ficcionismo/ficção/literatura
distorção	equívoco/engano/falha/erro
distracção	entretenimento/diversão/entreterimento/divertimento
distração	entretenimento/diversão/entreterimento/divertimento
distribuidor	autoridade
distribuição	comercialismo/mercantilismo/acção/feito/comércio/ato/ação
districto	regiões/região
distrito	regiões/região
disturbio	peleja/pugna/disputa/combate/batalha/luta
distância	tamanho/dimensão/medida
ditado	locução/provérbio/expressão/idioma/princípio
ditador	falante/palestrante/locutor
ditame	sentença/julgamento/princípio
diurese	sintoma
diurético	entorpecente/droga/medicamento/remédio
diuréticos	entorpecente/droga/medicamento/remédio
diversidade	estado/situação/condição/estado
divertimento	entretenimento/diversão/entreterimento
divisa	cobre/moeda/dinheiro
divisória	edifício/tecido/estrutura
divorciada	mulher
divorcio	separação
divulgação	informação
divã	canapé/sofá
divórcio	separação
dixiecrat	chapa/legenda/partido
diz-que-diz-que	bisbilhotice/bisbolhetice/fofoca
diálogo	conversação/conversa
diário	livros/periódico/jornal/livro/folha
diástole	pulso
dióspiro	baga/fruto/fruta
doação	dádiva/brinde/dom/presente/aquisição
dobro	pário/igual/par
docente	instrutor/mestre/professor
documento	mensagem/comunicação
documentário	película/cinema/filme/produção
doentes	população/gente/pessoal/povo
doença	enfermidade/estado/situação/condição/estado
doenças	enfermidade/doença
dog-fight	combate/batalha/luta
doge	magistrado/jurista/juiz
dogfight	combate/batalha/luta
dogma	doutrina/filosofia
dolina	depressão
dolomita	minérios/mineral
dom	aquisição
domicílio	endereço/alojamento/residência/abrigo/casa
dominancia	estado/situação/condição/estado
dominante	tom/nota
dominatrix	mulher
dominio	antenome/prenome/nome
domo	cúpula/telhado/teto
doméstico	servidor
domínio	ascendencia/regiões/dominancia/estado/país/superioridade/república/antenome/nação/prenome/situação/condição/estado/nome/região/controle
dona	mulher
dona-de-casa	esposa/mulher
donativo	dádiva/brinde/dom/doação/presente
dono	alguém/homemdenegócios/indivíduo/empresário/negociante/alma/comerciante/pessoa
donzela	ama/arrumadeira/camareira/criada/empregada
doodle	imagem/figura/ilustração/desenho
dor	desgosto/sintoma/amargura/consternação/angústia/temor/terror/medo/tristeza/pesar
dormideira	flor
dorminhoca	alguém/indivíduo/alma/pessoa
dorminhoco	alguém/indivíduo/alma/pessoa
dormitório	aposento/prédio/edifício/quarto/sala
dormência	sintoma
dose	medicamento/remédio
dotação	fundos/capital
dote	dádiva/brinde/dom/doação/presente
doula	criado/ajudante/assistente/servidor
doutor	diploma/estudioso/erudito/especialista/acadêmico/grau
doutorado	diploma/grau
doutoramento	diploma/grau
doutrina	convicção/crença/fé/opinião
dr.	estudioso/erudito/especialista/acadêmico
dramaturgo	autor/escritor
dramaturgos	autor/escritor
dravidianas	linguagem/idioma/língua
dreadlocks	anel/cacho
drinque	porção
drive-in	infra-estrutura/instalação
drogadição	dependência
drogaria	boutique/loja/venda
drograria	boutique/loja/venda
drumlin	amontoado/monte
drupa	fruto/fruta
dualismo	doutrina/filosofia
ducado	hierarquia/divisa/peça/moeda/prata/posto/classe/posição
duelo	peleja/pugna/disputa/combate/batalha/luta
duende	fada/fadas
duma	legislatura
dumper	camiões/caminhão/camião/camiões
dunquerque	crise
duodécimo	hierarquia/posto/classe/posição
dupla	par
duplicata	cópia/reprodução
duplicação	cópia/reprodução
duração	etapa/continuidade/tempo/período
dureza	dificuldade
dzeta	caracter/caractér/carácter/letra
dádiva	aquisição
dália	flor
dálmata	cachorro/cão
dândi	homem
década	etapa/tempo/período
décima	hierarquia/posto/classe/posição
décimo	hierarquia/posto/classe/posição
décimo-primeiro	hierarquia/posto/classe/posição
dêvanágarí	escrita
dígrafo	caracter/caractér/carácter/letra
dólar	papel-moeda/simbolo/símbolos/cédula/aceno/emblema/divisa/peça/símbolo/moeda/prata/sinal/nota
dúvida	precariedade/incerteza
e	caracter/caractér/carácter/letra
eclesiologia	teologia
eclusa	estacada/paliçada/cerca/barreira
eco-turismo	turismo
ecocardiograma	grafo/gráfico
econometria	economia
economia	sistema/organização
ecossistema	sistema/organização
ecossistemas	sistema/organização
ecoturismo	turismo
edifício	industria/empresa/negócio/comércio/tecido/estrutura
edito	anunciação/declaracão/proclamação/promulgação/declaração/anúncio
editor	profissional
editora	empresas/profissional
editores	profissional
editorial	artigo
edição	publicação
edta	molécula
educacionista	profissional
educador	expert/experto/louvado/especialista/perito/profissional
edutainment	entretenimento/diversão/entreterimento/divertimento
efeito	consequência/fenómeno/fenômeno/semblante/sintoma/conseqüência/aspecto/resultado/fim/aparência
efeitos	consequência/conseqüência/efeito/resultado/fim/poder/força
efetuação	acção/feito/ato/ação
efluentes	lixo/resíduo
eggnog	ponche
eglefim	peixe
egocentrismo	feição/peculiaridade
egoísmo	feição/peculiaridade
einsteinio	metal/metais
einstenio	metal/metais
einstânio	metal/metais
einstêinio	metal/metais
einstênio	metal/metais
eixo	haste/vara/mecanismo/cabo
ejaculador	homem
elaboração	semblante/aspecto/aparência
elastano	têxteis/pano/tecido/fazenda
elastómero	materiais
elastômero	materiais
electrocardiograma	grafo/gráfico
electromagnetismo	física
electrostática	física
electrónica	física
elefante-africano	elefanta/elefante/elefoa
elegia	poema/poesia
eleitor	cidadã/cidadão
eleja	elite/escol
elemento	categoria/porção/componente/parte
elenco	organização
eletrocardiograma	grafo/gráfico
eletroencefalografia	grafo/gráfico
eletroencefalograma	grafo/gráfico
eletronica	física
eletroquímica	quimica/química
eletrostática	física
eletrólito	soluto/solução
eletrónica	física
eletrônica	física
elevador	compartimento
elfo	fada/fadas
eliminacao	assassínio/assassinato/homicídio
eliminação	acção/feito/ato/ação
elitismo	ideologia
elixir	líquido
elocução	fala
elogio	loa/louvor/glória
emancipação	feito/conquista/façanha/realização
embaixada	comissão/comité/comitê/delegação/missão/organização
embaixador	funcionário/serventuário/diplomata/porta-voz/representante
embaixadora	diplomata/embaixador
embalagem	colecção/coleção/aglomeração/acúmulo
embarcação	embarcações/navios/navio/barco
embarque	partida
embevecimento	espírito/humor
emblema	ornamento/sinal
embrião	criatura/flora/animal/besta/bicho/planta/vegetal/ser
embriões	criatura/animal/besta/bicho/ser
embrulho	colecção/coleção/aglomeração/acúmulo
emenda	retificação/correção
ementa	informação
emergência	acção/feito/ato/ação
emigração	migração
emissário	representante
emissão	abastecimento/espectáculo/materiais/provimento/fornecimento/show
empena	muro/parede
empenagem	dorso/reverso/verso/costas
empenho	mão-de-obra/trabalho
empetrum	arvoreta/arbusto/mato/moita
empilhadora	obreiro/trabalhador/operário
empiricista	filósofo
empirista	filósofo
emplastro	atadura/curativo
empreendimento	circunscrição/comarca/districto/distrito/território/domínio
empregada	ama/arrumadeira/camareira/criada
empregado	criado/assalariado/ajudante/assistente/servidor/trabalhador/operário
empregador	líder/chefe
emprego	ofício/linguagem/discurso/profissão/idioma/ocupação/costume/função/hábito/língua/serviço/trabalho/lugar
empreiteira	materiais
empresa	comercialismo/mercantilismo/estabelecimento/instituição/comércio/instituto/organização
empréstimo	débito/dívida/dívidas/dívida/transação/verbo/vocábulo/termo/palavra
empurrador-de-papel	balconista/caixeiro
emulador	alguém/indivíduo/alma/pessoa
emulsão	camada/capa
encabeçamento	melodia/linha
encadernador	artesão/artífice
encanador	artesão/artífice
encanamento	ofício/arte/profissão
encantamento	feitiço
encapsulamento	estado/situação/condição/estado
encapsulação	estado/situação/condição/estado
encarador	espetador/telespectador/espectador/observador
encarceramento	penalização/penalidade/punição/castigo
encefalograma	grafo/gráfico
encenador	orientador/supervisor
encendedor	acendedor/carburante/combustível/isqueiro
encepamento	colecção/coleção/aglomeração/acúmulo
enchido	defunto/cadáver/morto/corpo
enchidos	vianda/carne
enchilada	prato
enchova	peixe
enclave	circunscrição/comarca/districto/distrito/território/domínio
encontro	assembléia/compromisso/reunião
encosta	declive/declives/subida/costa/ladeira
encruzilhada	junção
encurtamento	redução/diminuição
encíclica	missiva/carta
encíclicas	missiva/carta
endemia	doenças/doença
endoesqueleto	esqueleto
endogamia	conúbio/matrimónio/matrimônio/casal/casamento
endosqueleto	esqueleto
endosso	assinatura/visto/apoio/suporte
endro	erva
energia	violência/disposição/força
enfermagem	aposento/quarto/sala
enfermaria	aposento/quarto/sala
enfermos	população/gente/pessoal/povo
engano	conceito/idéia/pensamento/opinião
engenharia	utilização/aplicação/disciplina/profissão/campo/domínio
engenheiro	alguém/indivíduo/alma/pessoa
engradado	caixa
engrama	memória
engrenagem	roda/mecanismo
enguia	peixe
enigma	questão/problema
enlevo	espírito/humor
enriquecimento	dádiva/brinde/dom/doação/presente
enrosco	arapuca/armadilha/rede
ensaio	ensaios/prática/exercício/esforço/tentativa
ensaísta	autor/escritor
ensejo	fenómeno/fenômeno
enteado	criança/filho/menino
entendido	autoridade
enterro	cerimónia/funeral/funeral/cerimônia/festa
entrada	estipêndio/encargo/remuneração/via/rodovia/taxa/boca/custo/estrada/caminho
entre	interior
entrega	transporte/transferência
entregador	assalariado/empregado/operário
entrelaçamento	arapuca/armadilha/rede
entreperna	ângulo/ângulos
entreposto	shopping
entulho	detrito/lixo/resíduo
enumeração	listagem/lista
envio	abastecimento/provimento/fornecimento/partida
enxada	implemento/instrumento/ferramenta
enxadrista	jogador/participante
enxofre	enxôfre
enxoval	traje/roupa
enxôfre	enxofre
enzima	proteína
enzimas	proteína
enólogo	expert/experto/louvado/especialista/perito
eosinofilia	sintoma
eperlano	peixe
epicurismo	doutrina/filosofia
epifitismo	flora/planta/vegetal
episteme	cognição/noção/conhecimento/compreensão
epistemologia	filosofia
epistemóloga	filósofo
epistemólogo	filósofo
episódio	emissão/programa
epitáfio	comemoração
epopéia	poema/poesia
epsílon	caracter/caractér/carácter/letra
epífito	flora/planta/vegetal
epígrafo	frase/citação
epílogo	conclusão
epístola	missiva/carta
epítome	sinopse/sumário/resumo
epónimo	antenome/prenome/nome
epônimo	antenome/prenome/nome
epônimos	antenome/prenome/nome
equalizador	acção/feito/ato/ação
equalização	acção/feito/ato/ação
equanimidade	justeza/temperamento/disposição/justiça
equilíbrio	espaçamento/edifício/tecido/estrutura/situação/condição/posição
equipamento	ferramenta
equipe	time/seleção/companhia
equitação	esporte/meta/técnica/habilidade/talento
equivalente	cognição/noção/conhecimento/compreensão
equivalência	status/condição/estado/classe/posição
eqüidade	justeza/status/condição/estado/justiça/classe/posição
era	etapa/século/idade/época/tempo/período
erbio	metal/metais
ereção	procedimento/processo
ergonomia	engenharia/tecnologia
eros	apetite/pretensão/anseio/desejo
erradicação	demolição/destruição/desolação
erro	equívoco/engano/falha
erudição	educação/instrução
esboço	imagem/figura/ilustração/desenho
escabrosidade	perigo
escada	escadaria
escadas	escadaria/escada
escala	báscula/critério/balança/gangorra/padrões/proporção
escalador	atleta/desportista
escaler	batel/embarcações/bote/embarcação/navios/navio/barco
escandio	metal/metais
escansão	garçom/garçon/garçonete
escapatória	acção/feito/ato/ação
escape	acção/feito/ato/ação
escapo	caule/tronco
escapologia	disciplina/campo/domínio
escapulário	plumagem/pluma/pena
escaravelho	insectos/insetos/hemípteros/insecto/inseto
escargot	vianda/carne
escarlate	rubra/vermelhidão/encarnado/rubro/vermelho
escarpa	declive/declives/subida/encosta/costa/ladeira
escassez	ausência/necessidade/deficiência/falta/carência
escatologia	teologia
escavadeira	maquinaria/máquina
escavador	artesão/artífice
escavadora	maquinaria/máquina
escavação	locação/sítio/lugar
esclarecimento	educação/instrução
escola	etapa/prédio/edifício/tempo/período
escolar	garotinha/guria/menininha/meninota/mocinha/menina/garota/moça/rapariga
escolas	prédio/edifício
escolhedor	alguém/indivíduo/alma/pessoa
escolhido	querido/amor/bem
escombros	detrito/lixo/resíduo
esconderijo	guarida/vivenda/asilo/santuário/habitação/refúgio/área/região/casa
escorredor	rack/prateleira
escorregador	brinquedo
escorrego	brinquedo
escrava	alguém/indivíduo/alma/escravo/trabalhador/pessoa
escravidão	mão-de-obra/costume/hábito/trabalho
escravo	alguém/escrava/indivíduo/alma/trabalhador/pessoa
escriba	assalariado/empregado/operário
escritor	autor
escritura	documentação/documento
escritório	aposento/quarto/sala
escrivaninha	mesa/secretária
escudo	protecção/proteção
escultor	artista
escultura	colecção/coleção/aglomeração/arte/acúmulo
escuridão	trevas
escápula	osso
escândalo	problema
escândio	metal/metais
esfenoide	osso
esfinge	alguém/estatua/estátua/indivíduo/alma/pessoa
esforço	mão-de-obra/projeto/tarefa/tentativa/trabalho
esfriamento	mecanismo
esférula	orbe/esfera/bola
esfíncter	musculo/músculo
esgoto	escoadouro/lixo/resíduo/água
esgrima	peleja/pugna/disputa/combate/batalha/luta
eslavo	alguém/indivíduo/alma/pessoa
eslavos	linhagem/raça/povo
esmagamento	couros/couro/pele
esmalte	camada/capa
esmeralda	joia/jóia/verde/gema/verde
esmeril	minérios/mineral
esmola	contributo/doação
espacial	lixo/resíduo
espada	gládio/armamento/arma
espaldar	encosto/apoio/suporte
espanta-espíritos	adorno/ornato/ornamento/decoração
esparadrapo	atadura/curativo
espargo	verdura/hortaliça/legume/vegetal
espasmo	sintoma
espaçamento	posição
espaço	grafema/letra/locação/localização/extensão/ponto/lugar
espaçonave	satélites/satélite
especialidade	vocação/profissão/vantagem/ocupação/virtude/propriedade/recurso/bem
especialista	alguém/indivíduo/alma/pessoa
especialização	vocação/disciplina/profissão/ocupação/campo/domínio
especiação	evolução/filogenia/filogênese/evolução
espectador	alguém/indivíduo/observador/alma/pessoa
espectro	escopo/psiquê/alcance/órbita/alma/área
espectrograma	foto/retrato/fotografia/imagem
especulação	investimento/consideração/opinião/reflexão
espelta	trigo
esperança	alguém/expetativa/estado/indivíduo/expectativa/alma/situação/condição/estado/pessoa
espessura	amplidão/dimensão/magnitude/extensão
espetador	espectador/observador
espeto	fornos/forno
espiga	fruto/coração/fruta/centro
espigão	pele
espinela	minérios/mineral
espiral	curva/edifício/tecido/estrutura/arco
espiritismo	convicção/crença/fé/opinião
espirito	convicção/crença/fé/opinião
espirro	sintoma
espiã	espião
espião	agente
esponsais	rito/ritual
esporro	ruído
esporte	jogo
esportista	atleta/desportista
esportiva	atleta/desportista
esportivo	atleta/desportista
esporófito	flora/planta/vegetal
esposa	cónjuge/consorte/cônjuge/esposo/marido/parente/companheiro/mulher
esposo	cónjuge/consorte/cônjuge/esposa/marido/parente/companheiro
espuma	borbulha/materiais/bolha
espádua	osso
espécie-tipo	espécie/espécies/espécie
espécies	categoria/família/classe
espírito	abalo/comoção/emoção/sentimento
