aba	fronteira/limite
cômoda	alfaia/movéis/mobília/mobiliário/móvel
cônjuge	parente/cara-metade
cúmulo	colecção/coleção/aglomeração/acúmulo
cúpula	reunião
dado	datum/informação/conhecimento
dados	colecção/coleção/aglomeração/acúmulo
dama	mulher
dano	alteração/modificação/variação/mudança
dança	recreaçao/diversão
data	dia
datum	informação/conhecimento
debate	idioma/discussão
decadência	pecado
decisão	selecção/escolha/seleção
declaração	mensagem/afirmação/tópico/assunto/conteúdo
declive	formação
declives	formação
declínio	diminuição/abatimento
decomposição	atividade/ação
decoração	adorno/ornato/ornamento/artefato
decreto	ato
decréscimo	alteração/modificação/variação/mudança
decênio	etapa/tempo/período
dedo	dígito/membro
defeito	situação/condição/estado
defensor	alguém/indivíduo/alma/pessoa
deferência	atitude
defesa	edifício/tecido/estrutura/combate/batalha
deficiência	necessidade/carência
deflagração	ocorrente/ocorrência/acontecimento
defunto	cadáver/morto/corpo
degrau	encosto/apoio/suporte
deidade	espirito
deidades	espirito
delegação	organização/autorização/situação/condição/estado
deleite	prazer
delicadeza	acção/atividade/ato/ação
delimitação	fronteiras/fronteira/limite
delinquência	estado/situação/condição/estado
delito	atividade/ocupação
demissão	termino/terminação/conclusão
demolição	chegada/conclusão/resultado/fim/final
denominação	antenome/prenome/nome
dente	osso
dentes	osso
dentista	médico
departamento	prédio/edifício/divisão
depósito	matéria/substância/colocação/acumulação/acúmulo
derrota	chegada/conclusão/resultado/fim/final/fracasso/desastre/falha/erro
desabafo	atividade/ocupação
desafiante	competidor/contendor
desafortunado	alguém/indivíduo/alma/pessoa
desaparecimento	termino/terminação/conclusão
desastre	ocorrente/ocorrência/acontecimento
descendente	parente
descendência	parente/genealogia
descensão	traslado/deslocamento/movimento
descoberta	acção/feito/ato/ação
descobrimento	acção/feito/ato/ação
desconsideração	desfeita/ofensa/injúria
descrença	incerteza/dúvida
descrição	afirmação/declaração
descuido	equívoco/engano/falha/erro
desejo	apetite/pretensão/anseio/emoção/sentimento/impressão
desembaraço	certeza/segurança
desembocadura	formação
desempenho	acção/atividade/ato/ação
desenho	afiguração/representação/criação/imagem/figura/ilustração
desenvolvimento	uso/utilização/melhoramento/melhoria
desfeita	conduta/comportamento
desfile	romaria/procissão
desgosto	mágoa/tristeza/dor/pesar
desgraça	desonra/vergonha
designação	dever/obrigação/decisão/resolução
deslocamento	mudança
desmoralização	degradação
desolação	demolição/chegada/destruição/conclusão/resultado/fim/final
desonestidade	delito/transgressão
desordem	situação/condição/estado
despacho	partida
despedida	partida
desperdício	atividade/ocupação
desportista	competidor/contendor
desprezo	desconsideração
destino	causador/causa/ocorrente/ocorrência/acontecimento/estado
destruição	chegada/conclusão/resultado/fim/final/termino/terminação/situação/conclusão/condição/estado
desvantagem	passivo/risco/responsabilidade
desventurado	alguém/indivíduo/alma/pessoa
detalhe	facto/verdade
detenção	confinamento
deterioração	declínio/atividade/ação/diminuição
deus	espirito
deusa	espirito
devastação	termino/terminação/conclusão
dever	tarefa/trabalho
dia	oportunidade/etapa/chance/tempo/período/era/época/momento/tempo/período
dianteira	face/lado
diferença	flutuação/variação/mudança/qualidade
dificuldade	qualidade/problema/obstáculo
difusão	atividade/ação
dignidade	status/condição/estado/classe/posição
dimensão	grandeza/magnitude/número
diminuição	alteração/modificação/variação/mudança/abatimento
dinheiro	cobre/divisa/moeda/activos/ativos/bens/recursos/ativo/divisa/moeda/possessão/riqueza/bem
diocese	jurisdição
directiva	pronunciamento
director	administrador/gerente
direcção	itinerário/itinerários/percurso/rota/linha/estrada/caminho
direita	local/lugar/posição
direito	abstracção/abstracto/abstrato
diretiva	pronunciamento
diretor	administrador/gerente/executivo
diretriz	pronunciamento
direção	itinerário/itinerários/percurso/rota/linha/estrada/caminho
dirigente	administrador/gerente
disciplina	feição/peculiaridade/conhecimento/saber
discordância	desacordo/discordo/discrepância/discórdia
discurso	mensagem/comunicação/comunicado/faculdade/comunicação/talento
discussão	comunicado/desacordo/discordo/discrepância/comunicação/debate/discórdia/idioma/discordância
discípulo	seguidor
dispositivo	apetrecho/linguagem/discurso/equipamento/instrumento/língua/estilo
disposição	feição/peculiaridade/acção/feito/ato/ação/índole/natureza
disputa	peleja/pugna/combate/batalha/luta/desacordo/discordo/discrepância/conflito/discórdia/discordância/luta
dissimulação	adulteração/falsificação
distinção	diferença
distracção	entretenimento/diversão/entreterimento/divertimento
distração	entretenimento/diversão/entreterimento/divertimento
distribuição	acção/feito/ato/ação
districto	regiões/região
distrito	regiões/região/municipalidade/município
distância	espaçamento
ditado	locução/provérbio/expressão/idioma
diversão	recreaçao/atividade/ocupação
divertimento	entretenimento/diversão/entreterimento/recreaçao/diversão/atividade/ocupação
divindade	espirito
divinidade	espirito
divisa	cobre/moeda/dinheiro/moeda
divisão	distribuição/separação/corpo
divisória	edifício/tecido/estrutura
divulgador	booker
diário	livros/livro
doação	aquisição/partilha/partição
doce	petisco/guloseima/prato
documentação	documentos
documento	mensagem/comunicação/afiguração/documentos/representação/imagem/figura/ilustração/desenho
doença	enfermidade/transtorno/distúrbio/bagunça
doenças	enfermidade/doença
dom	aquisição
domicílio	endereço/alojamento/abrigo/casa
dominancia	estado/situação/condição/estado
doméstico	servidor
domínio	regiões/estado/situação/condição/estado/região/ambiente/conhecimento/saber
dona	mulher
dona-de-casa	esposa/mulher
dono	alguém/homemdenegócios/indivíduo/empresário/negociante/alma/comerciante/pessoa
dor	sintoma/desgosto/emoção/mágoa/sentimento/tristeza/impressão/pesar
doutor	médico
doutrina	convicção/crença/fé/opinião
dr.	médico
dramaturgia	comunicado/comunicação
drinque	porção
droga	agente
drogaria	boutique/loja/venda
drograria	boutique/loja/venda
ducto	aqueduto/conduto/duto/canal
dupla	reunião
duração	etapa/tempo/período
duto	aqueduto/conduto/ducto/canal
dádiva	aquisição
débito	dívida/obrigação
década	etapa/tempo/período
dígito	membro
dívida	obrigação
dívidas	dívida/obrigação
dólar	divisa/peça/moeda/prata
dúvida	incerteza
economia	sistema/organização/acção/atividade/ato/ação
edifício	tecido/estrutura/artefato
edição	obra/trabalho
educacionista	profissional
educador	profissional
efeito	consequência/fenómeno/fenômeno/conseqüência/resultado/fim/causalidade/causa
efeitos	consequência/conseqüência/efeito/resultado/fim/poder/força
efeméride	dia
efetividade	poder
efetuação	acção/feito/ato/ação
eficiência	poder
eficácia	poder
egocentrismo	feição/peculiaridade
egoísmo	feição/peculiaridade
electricidade	energia
elegância	qualidade
eleição	selecção/decisão/escolha/seleção
elemento	categoria/porção/componente/parte
elenco	organização
eletricidade	energia
elevação	propulsão/traslado/deslocamento/impulsão/formação/movimento
eliminação	acção/feito/ato/ação
elipse	cónica/cônica
embaixada	organização
embalagem	colecção/coleção/aglomeração/acúmulo/contentor/contêiner/recipiente
embalagens	cobertura/capa
embarcação	embarcações/navios/navio/barco
emblema	ornamento/sinal/símbolo
embrulho	colecção/coleção/aglomeração/acúmulo
emigração	migração
emissão	espectáculo/show
emoção	sentimento/impressão
empatia	camaradagem/simpatia/compaixão/piedade
empenho	mão-de-obra/trabalho
empregado	servidor/trabalhador
empregador	líder/chefe
emprego	costume/hábito
empreiteiro	contratador
empresa	comercialismo/mercantilismo/estabelecimento/instituição/comércio/instituto/organização/companhia
empresas	empresa
empresário	booker/capitalista
empréstimo	débito/dívida/dívidas/dívida
empurrão	propulsão/impulsão
enaltecimento	aumento
encabeçamento	melodia/linha
encargo	designação/dívida/tarefa/obrigação
encendedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
encepamento	colecção/coleção/aglomeração/acúmulo
enchido	defunto/cadáver/morto/corpo
enchimento	artefato
encontro	assembléia/reunião/convergência
encosta	formação
encosto	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
endosso	apoio/suporte
enfermeira	médico
enfermeiro	médico
enfermeiros	médico
enganação	adulteração/falsificação
engano	insucesso/falha
engenharia	disciplina/campo/domínio
engenheiro	alguém/indivíduo/alma/pessoa
engrandecimento	aumento
enjôo	nojo/asco/repugnância/náusea/abominação/repulsa/aversão
ensejo	fenómeno/fenômeno
entendimento	faculdade/talento
enterro	cerimónia/cerimônia/festa
entorno	região
entorpecente	agente
entrada	via/rodovia/estrada/caminho/chegada/vinda
entrega	transporte/transferência
entretenimento	recreaçao/diversão
entreterimento	recreaçao/diversão
entusiasmo	emoção/sentimento/impressão
envelope	contentor/contêiner/recipiente
envio	partida
envolvente	região
envólucro	cobertura/capa
epidemia	ocorrente/ocorrência/acontecimento
epifitismo	flora/planta/vegetal
episódio	ocorrente/ocorrência/acontecimento
epífito	flora/planta/vegetal
equilíbrio	edifício/tecido/estrutura
equino	perissodáctilos/ungulados
equinodermo	invertebrados/invertebrado
equinodermos	invertebrados/invertebrado
equipamento	ferramenta/artefato/apetrecho/instrumento
equídeo	perissodáctilos/ungulados
equívoco	insucesso/falha
era	etapa/século/idade/época/tempo/período
eros	apetite/pretensão/anseio/desejo
erro	equívoco/engano/falha/insucesso/falha
erupção	ocorrente/ocorrência/acontecimento
erva	aromatizante/traqueófitos/condimento/tempero
ervas	erva
escadas	escadaria/escada
escalada	ascensão/elevação
escaler	embarcações/embarcação/navios/navio/barco
escapada	escapatória/escape/fuga
escapatória	acção/feito/ato/ação/abertura
escape	acção/feito/ato/ação/escapatória/fuga
escapismo	recreaçao/diversão
escassez	ausência/necessidade/deficiência/falta/carência
escola	prédio/edifício
escolas	prédio/edifício
escolha	acção/selecção/decisão/seleção/atividade/ato/ação
esconderijo	área/região
escova	implemento/instrumento/ferramenta
escravidão	costume/hábito
escrita	atividade/ocupação
escritor	comunicador
escrivaninha	mesa
escudeiro	folhas/folha
escudo	proteção/capa
escuridão	iluminação
escuta	percepção
esdrúxulo	mutante/mutantes/mutação
esfera	ambiente
esforço	mão-de-obra/tentativa/trabalho/atividade/ocupação
esgrima	acção/atividade/ato/ação
esmagamento	compressão/pressão
esnobada	desconsideração
espanto	emoção/sentimento/impressão
espaçamento	posição/colocação/localização/posição
espaço	colocação/localização/posição
especialista	alguém/indivíduo/alma/pessoa
espectador	gente/povo/massa
esperança	alguém/indivíduo/alma/pessoa/emoção/expectativa/sentimento/impressão
espiga	fruto/fruta
espirito	convicção/crença/fé/opinião
esporte	jogo/recreaçao/diversão
esposa	cónjuge/consorte/cônjuge/esposo/marido/parente/companheiro/mulher/cara-metade
esposo	parente/cara-metade
espécie	taxon/taxón/táxon/categoria/espécies/raça/género/tipo/classe
espécies	categoria/família/classe/taxon/taxón/táxon
espírito	abalo/comoção/emoção/sentimento/espirito
espólio	compra/aquisição
esqueleto	sistema
esquema	afiguração/representação/imagem/figura/ilustração/desenho
estabelecimento	edifício/tecido/estrutura/início/começo
estacada	barreira/obstáculo
estado	autoridades/regime/governo/atributo/predicado/característica/situação/condição/propriedade
estafeta	corrida
estanho	metal/metais
estante	alfaia/movéis/mobília/mobiliário/móvel
estação	etapa/infra-estrutura/instalação/tempo/período
estigma	simbolo/símbolos/aceno/emblema/símbolo/sinal
estilo	mensagem/comunicação/atributo/categoria/espécies/raça/sabor/género/propriedade/tipo/classe
estimativa	critica/juízo/julgamento
estimulante	informação/conhecimento
estio	sazão/estação/tempo/período
estoque	acumulação
estrada	artefato/via/fronteira/caminho
estrago	alteração/modificação/variação/mudança
estrangeira	turista/viajante
estrangeiro	turista/viajante
estrato	população/gente/pessoal/povo/região
estratégia	programa
estrela	astro
estrondo	problema/triunfo/êxito/sucesso
estrutura	constituição/composição/artefato/atributo/propriedade
estudante	alguém/indivíduo/alma/pessoa/seguidor
estudo	documentação/documento
estufa	prédio/edifício
estupefação	espanto/admiração/surpresa
estupor	estupefação
estádio	edifício/tecido/estrutura
estágio	etapa/tempo/período
estímulo	informação/conhecimento
estômago	anatomia
etapa	travessia/viagem
europeu	habitante/morador
evento	ocorrente/ocorrência/circunstância/acontecimento
eventualidade	ocorrente/ocorrência/acontecimento
evidência	agouro/indício/presságio/indicação/sinal
exame	comunicado/comunicação
examinar	investigação
exaustor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
excedente	categoria/porção/componente/parte
excepção	instância/exemplo/representante
exceção	instância/exemplo/representante
excrescência	projeção
excursão	jornada/viagem
excêntrico	anomalia
executivo	administrador/gerente
execução	acção/feito/ato/ação/acção/atividade/ato/ação
exemplo	líder/chefe/ocorrente/ocorrência/acontecimento/informação/conhecimento
exercício	treinamento/treino/preparação
exibição	entretenimento/diversão/entreterimento/divertimento/apresentação
existência	situação/condição/estado/ser
expatriação	migração
expectativa	emoção/sentimento/impressão
expedição	industria/empresa/negócio/comércio/partida
experiente	especialista
experiência	educação/instrução/ocorrente/ocorrência/acontecimento
explanação	afirmação/declaração
explicação	afirmação/declaração
exploração	maltrato/uso/utilização
explosivo	química/substância
explosão	ruído/ocorrente/ocorrência/acontecimento
exportação	bens/mercadoria/fazenda/produto/artigo/bem
exposição	colecção/coleção/aglomeração/acúmulo/exibição/apresentação
exposições	colecção/coleção/aglomeração/acúmulo
expressão	comunicado/semblante/comunicação/idioma/rosto/aparência
extensão	grandeza/espaço/magnitude/número/alcance
exterior	região
extremidade	região
exército	turba/montão/multidão
fabricante	fazedor
fabricação	edificação/construção
face	alguém/semblante/indivíduo/aspecto/superfície/alma/pessoa/aparência
faceta	característica/qualidade
facto	informação/conhecimento
faculdade	capacidade/poder/habilidade/talento
fado	causador/causa/ocorrente/ocorrência/acontecimento
faixa	banda
falecimento	alteração/modificação/variação/mudança
falha	acção/feito/ato/ação/insucesso
falsificação	delito/transgressão
falta	necessidade/carência
falésia	formação
falência	insolvência
fama	honra
família	clã/colecção/familia/conceito/coleção/parente/aglomeração/concepção/tribo/idéia/acúmulo/ideia/taxon/taxón/táxon/genealogia/sangue/descendência/linhagem
fanatismo	intolerância
fantasma	espirito
farda	vestimenta/vestuário/traje/roupa/vestido
fardamento	vestimenta/vestuário/traje/roupa/vestido
farinhas	alimento
farmacia	boutique/loja/venda
farmácia	boutique/loja/venda
farol	torres/roque/torre
fase	etapa/tempo/período/situação/condição/estado
fatia	porção/tomo/secção/porção/pedaço/parte
fato	informação/vestuário/roupa
fator	componente/causa
fazedor	creador/criador/criativo
fazenda	laboratório/oficina/emprego/trabalho/artefato/imobiliária/imóvel
façanha	feito/conquista/realização/proeza/acção/feito/atividade/ato/ação/realização
federação	união
feitio	maneira/estilo
feito	conquista/façanha/realização/acção/acontecimento/evento/fato/atividade/ato/ação
feiura	semblante/aspecto/aparência
feição	atributo/predicado/característica/propriedade
feiúra	semblante/aspecto/aparência
felicidade	espírito/humor/emoção/sentimento/impressão
fenda	espaço/vão/abertura
fenestra	infra/estrutura/abertura
feriado	dia
ferimento	danificação/deterioração
fermentação	álcoois/álcool
ferramenta	efetuação/aparato/apetrecho/dispositivo/implementação/implemento/aparelho/equipamento/mecanismo/execução/instrumento/realização
ferro	metal/metais
festa	acontecimento/recreaçao/diversão/balada
festival	celebração/festividade/festa
festividade	recreaçao/diversão
fiasco	equívoco/engano/falha/erro
fibra	materiais
fibras	materiais
ficheiro	registro
fichário	registro
figura	adulto/afiguração/formato/forma/representação/criação/imagem/ilustração/desenho
fila	formação
fileira	bicha
filha	criança/filho/menino/fêmea
filho	descendência/parente/descendente/rapaz/menino
filhote	criatura/animal/besta/bicho/ser
filme	espectáculo/show/bens/produto/produção
filo	taxon/taxón/táxon
filosofia	convicção/crença/fé/opinião
fim	fenómeno/fenômeno/meta/alvo/objectivo/intenção/extremidade
final	extremidade
finança	industria/empresa/negócio/comércio
finanças	activos/ativos/bens/recursos/ativo
fineza	dificuldade
fio	artefato/corda
firmamento	superfície
firmeza	feição/peculiaridade
fissura	vão/fenda
fitopatologia	doenças/doença
flanco	sub-figura
flerte	brincadeira
flora	colecção/coleção/aglomeração/acúmulo/organismo/ser
floresta	flora/vegetação/chão/locação/relevo/localização/solo/terra/ponto/lugar/bioma/biomas
florestas	chão/relevo/solo/terra/bioma/biomas
floricultura	horticultura
fluido	matéria/substância
flutuação	alteração/modificação/variação/mudança
fluxos	atividade/ação
fluído	substância
foco	concentração/lugar
fofoca	contas/reporte/relato/relatório
fogo	ocorrente/ocorrência/acontecimento
folha	folhas/papel/jornalismo/imprensa/órgão/jornal
folhagem	órgão
folhas	verdura/hortaliça/legume/vegetal/papel/folha
fonte	infra-estrutura/instalação/lugar
forca	laço/propulsão/impulsão
forma	atributo/predicado/característica/propriedade
formato	atributo/predicado/característica/propriedade
formação	objeto/arranjo
fornada	comida
fornecedor	provedor/empresário
fornecimento	atividade/ocupação
fortuna	fenómeno/fenômeno
força	causador/agressão/hostilidade/causa/intensidade/atributo/poder/propriedade
fossil	resto
foto	afiguração/representação/imagem/figura/ilustração/desenho
fotografia	afiguração/representação/imagem/figura/ilustração/desenho
foz	formação
fracasso	insucesso/falha
fractura	traumatismo/dano/machucado/lesão/mal
fragância	odor/cheiro
fraqueza	impotência/atributo/propriedade
frasco	vasilhame/vasilha/vaso
fraternidade	estrato/classe/cordialidade
fratura	traumatismo/dano/machucado/lesão/mal
freguesia	população/gente/pessoal/povo
frente	face/lado/local/lugar/posição
fresta	vão/abertura/fenda
frete	mercadoria/produto/artigo
fricção	recontro/confronto/conflito
fronte	local/lugar/posição
fronteira	locação/localização/ponto/lugar/limite/fronteiras/extremidade/alcance/linha/extensão/limite
fronteiras	extremidade
frota	colecção/coleção/aglomeração/acúmulo
fruta	hortifruti/hortifruto/fruto
fruto	bens/produto/produção
fuelóleo	carburante/combustível/hidrocarboneto
fuga	acção/feito/ato/ação/escapatória/escape
fulgor	elegância
fundação	pressuposição/suposição/hipótese/conexão/relação
fundilhos	anatomia
fundo	depressão/face/possessão/lado/propriedade/divisa/superfície/moeda/dinheiro/região
fundos	activos/ativos/bens/recursos/ativo
funeral	cerimónia/cerimônia/festa
fungo	organismo/ser
fungos	organismo/ser
função	software/dever/obrigação/programa/utilidade
furo	abertura
furto	crime
fusão	estado/união/ligação
futuro	tempo
fábrica	usina/planta
fé	convicção/crença/opinião/certeza/segurança
fêmea	alguém/criatura/animal/besta/bicho/indivíduo/alma/pessoa/ser
física	ciência
fósseis	resto
fóssil	resto
fúria	zanga/ira/cólera/raiva
gafe	equívoco/engano/falha/erro
galardão	dádiva/brinde/dom/doação/presente
galera	população/gente/pessoal/povo
galho	caule/tronco
galhofa	atividade/ocupação
galáxia	colecção/coleção/aglomeração/acúmulo
gangue	associação/sociedade/união/organização/ordem/reunião
ganho	custo
garanhão	cavalo
garantia	declaração
garota	mulher/fêmea
garotinha	fêmea
garoto	rapaz/varão/menino/macho/homem
garrafa	vasilhame/vasilha/vaso/conteúdo
gasolina	carburante/combustível/hidrocarboneto
gastos	despesa/gasto
gaveteiro	alfaia/movéis/mobília/mobiliário/móvel
geek	anomalia
genealogia	clã/familia/tribo/família
genitor	progenitor
genitália	órgão
gente	população/pessoal/povo/agrupação/conjunto/grupo
gentileza	acção/atividade/ato/ação
geração	população/gente/pessoal/povo
gerenciamento	gestão/administração
gerente	líder/administrador/cabeça/chefe/liderança/responsável
gesto	mudança/gestos
gestor	administrador/gerente
gestão	administração
giba	projeção
giro	rotação
gleba	região
glória	honra
gola	faixa
golpe	mudança
gordura	lipido/lipídio/lípido/lípidos/macromolécula/lípidos
gorjeio	ruído/som
gosto	emoção/sentimento/sensação/impressão
gota	esfera/fragmento/pedaço
governador	alguém/indivíduo/alma/pessoa
governante	alguém/indivíduo/alma/pessoa
gozação	recreaçao/diversão
gradação	hierarquia/posto/classe/posição
grama	ervas/gramínea/gramíneas/erva
gramado	gleba/terreno/região
gramínea	erva
gramíneas	erva
grana	divisa/moeda/dinheiro
grandeza	atributo/propriedade
granja	laboratório/oficina/emprego/trabalho
gratidão	emoção/sentimento/impressão
grau	hierarquia/posto/classe/posição/atributo/situação/condição/estado/propriedade
greta	vão/fenda
grupo	colecção/coleção/aglomeração/acúmulo/abstração/aglomeração
guarda	protetor/aparato/designação/dispositivo/guardião/aparelho/defensor/equipamento/mecanismo/tarefa/instrumento/ferramenta
guarda-lama	barreira/obstáculo
guarda-roupas	alfaia/movéis/mobília/mobiliário/móvel
guardarroupas	alfaia/movéis/mobília/mobiliário/móvel
guerra	combate/batalha
guilda	associação/sociedade/união/organização/ordem
guito	divisa/moeda/dinheiro
guloseima	alimentação/nutriente/nutrição/comida/alimento
guria	fêmea
gás	líqüido/fluido
género	categoria/família/classe/taxon/taxón/táxon/categoria/espécies/raça/tipo/classe
gênese	início/começo/princípio
habilidade	cognição/meta/noção/técnica/conhecimento/compreensão/talento/situação/capacidade/condição/estado/poder/qualidade/talento
habitante	alguém/indivíduo/alma/pessoa
habitação	morada/alojamento/aposento/moradia/prédio/acção/domicílio/feito/residência/edifício/abrigo/ato/lar/ação/casa
hall	aposento/prédio/edifício/quarto/sala
hardware	componente/parte
hebraica	alguém/indivíduo/alma/pessoa
hebraico	alguém/indivíduo/alma/pessoa
hebreia	alguém/indivíduo/alma/pessoa
hebreu	alguém/indivíduo/alma/pessoa
hemisfério	região
hemípteros	artropode/artrópode/artrópodes
herança	compra/aquisição
herbívoro	criatura/animal/besta/bicho/ser
hidrófita	traqueófitos
hierarquia	status/condição/estado/classe/posição
himenópteros	insectos/insetos/hemípteros/insecto/inseto
hipótese	conceito/concepção/possibilidade/idéia/suposição/teoria/ideia
historieta	contas/reporte/relato/relatório
história	mensagem/tópico/assunto/conteúdo/contínuo
hobby	recreaçao/diversão
hoje	tempo
homem	alguém/adulto/indivíduo/alma/amante/humano/pessoa/agrupação/conjunto/varão/macho/grupo
homemdenegócios	empresário
homicídio	termino/terminação/conclusão
hominídeo	primata/primatas
honestidade	moralidade/moral/virtude
hora	etapa/tempo/período/dado/instante/leitura/momento/segundo
horda	turba/montão/multidão
hormona	secreção
hormônio	secreção
hormônios	secreção
hortaliça	hortifruti/hortifruto
horticultura	agricultura/pecuária/cultivo
hortifruti	comida
hortifruto	comida
horto	campos
horário	intervalo/tempo
hospedaria	hotel
hospedeiro	adulto/organismo/ser
hostelalbergue	alojamento/abrigo/casa
hostilidade	acção/ódio/atividade/situação/ato/condição/estado/aversão/ação
hotel	prédio/edifício
humanidade	humano/agrupação/conjunto/grupo
humano	hominídeo
humor	abalo/comoção/emoção/sentimento/emoção/sentimento/impressão
hábito	costume/atividade/ocupação/costume/emprego
iate	embarcações/embarcação/navios/navio/barco
idade	etapa/tempo/período/atributo/época/propriedade/período
ideia	conceito/idéia/pensamento/opinião/perspicácia/pensamento/opinião
identidade	temperamento/personalidade/pessoa/similardidade/semelhança
identificação	evidência/indicação
ideologia	orientação
idioma	mensagem/comunicação/linguagem/discurso/língua/faculdade/talento
idoso	adulto
idéia	conceito/pensamento/opinião
ignomínia	desonra/vergonha
igreja	prédio/edifício/estabelecimento/instituição/instituto/casadeoração/templo
igrejas	estabelecimento/instituição/instituto/casadeoração/igreja/templo
ilha	chão/relevo/zona/solo/terra
iluminação	situação/condição/estado
ilustração	afiguração/representação/criação/imagem/figura/desenho
imagem	afiguração/representação/criação/figura/ilustração/desenho
imaginação	criatividade
imaturidade	situação/condição/estado
imitação	atuação/representação/personificação/interpretação
imobiliária	possessão/propriedade
imoralidade	transgressão
impedimento	acção/feito/edifício/tecido/estrutura/ato/ação
imperfeição	situação/condição/estado
implementação	acção/feito/ato/ação
implemento	apetrecho/equipamento/instrumento/ferramenta
importação	bens/mercadoria/fazenda/produto/artigo/bem
importância	preços/preço/qualidade
impossibilidade	inexistência
imposto	dívida/encargo/taxa/obrigação
impostos	imposto
impotência	qualidade
impulso	propulsão/impulsão
impulsão	acção/feito/ato/ação/propulsão
imunidade	estado/situação/condição/estado
imóvel	possessão/propriedade
incapacidade	cognição/noção/conhecimento/compreensão
incidente	ocorrente/ocorrência/acontecimento
inclinação	mudança
incompatibilidade	característica/qualidade
incumbência	dever/obrigação
incêndio	ocorrente/ocorrência/acontecimento
indagação	pergunta/inquérito/questão
independência	liberdade/vitória
indicação	agouro/indício/mensagem/presságio/comunicação/sinal
indiferença	emoção/sentimento/impressão
indivíduo	causador/causa/organismo/ser
industria	comercialismo/mercantilismo/comércio
indício	mensagem/comunicação
indústria	industria/empresa/negócio/comércio
inflamação	sintoma
influência	consequência/conseqüência/efeito/resultado/fim/poder
informação	cognição/colecção/coleção/noção/aglomeração/acúmulo/conhecimento/compreensão/mensagem/tópico/assunto/conteúdo/conhecimento
infortunado	alguém/indivíduo/alma/pessoa
infortúnio	problema/azar
infra-estrutura	artefato/estoque
infracção	crime/ofensa
infraestructura	estoque
infraestrutura	estoque
infração	crime/ofensa
infância	imaturidade/época/período
ingestão	atividade
ingrediente	alimento
ingresso	chegada/vinda
iniciação	início/começo/princípio
inimigo	população/gente/pessoal/povo
inimizade	ódio/situação/condição/estado/aversão
iniqüidade	estado/situação/condição/estado
injúria	desfeita/conduta/ofensa/comportamento/maltrato
inovação	criatividade
inquérito	requerimento/requisição/solicitação/pedido/petição/investigação/apelo
inscrição	documentos/ingresso/entrada
insecto	artropode/artrópode/artrópodes
insectos	artropode/artrópode/artrópodes
inserção	movimento
inseto	artropode/artrópode/artrópodes
insetos	artropode/artrópode/artrópodes
inspecionar	investigação
inspeção	fiscalização/inspecção/vistoria/inspecionar/examinar/teste
instalação	infra-estrutura/artefato
instante	quantia/quantitativo/medida/quantidade/momento
instituição	associação/sociedade/união/organização/ordem/estabelecimento
instituto	associação/sociedade/união/organização/ordem
instrumentalista	intérprete
instrumentista	intérprete
instrumento	artefato/aparato/apetrecho/dispositivo/implemento/aparelho/equipamento/mecanismo/ferramenta
instância	ocorrente/ocorrência/acontecimento/informação/conhecimento
insucesso	acção/feito/ato/ação
insulto	desfeita/ofensa/injúria
insurreição	conflito/luta
intelecto	alguém/indivíduo/alma/pessoa
intelectual	alguém/indivíduo/alma/pessoa
inteligência	faculdade/capacidade/poder/habilidade/talento
intensidade	grau
intenção	conceito/meta/alvo/idéia/objectivo/pensamento/opinião/mensagem/tópico/assunto/conteúdo
interação	acção/atividade/ato/ação
intercessor	negociador
intercorrência	decisão
interesse	preocupação/curiosidade
interferencia	obstrução/impedimento/obstáculo
interferência	acção/feito/ato/ação
interior	região
intermediário	negociador/empresário
interpretação	atividade/ocupação
interrogatório	pergunta/inquérito/questão
interrogação	pergunta/inquérito/questão
interrupção	ocorrente/ocorrência/acontecimento/intervalo/tempo
interseção	conjunto
intervalo	ociosidade/quantia/quantitativo/medida/quantidade
intolerância	atitude
intoxicante	entorpecente/droga/medicamento/remédio
introdução	movimento
intérprete	artista
invenção	criatividade
inverno	sazão/estação/tempo/período
invertebrado	criatura/animal/besta/bicho/ser
invertebrados	criatura/animal/besta/bicho/ser
investigação	tarefa/trabalho
investimento	activos/ativos/bens/finança/recursos/ativo
invitação	missiva/carta/requerimento/requisição/solicitação/pedido/petição/apelo
invólucro	cobertura/capa
início	ocorrente/ocorrência/acontecimento/instante/começo/princípio/momento
ira	abalo/zanga/comoção/cólera/emoção/sentimento/raiva
irmandade	estrato/classe/cordialidade
irmã	membro
irmão	amiga/camarada/conhecido/amizade/amigo
isqueiro	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
item	categoria/porção/componente/parte
itinerário	fronteira
itinerários	fronteira
janela	infra/estrutura/abertura
jardim	campos
jazida	território/ambiente/área/região
jeito	efetuação/implementação/execução/realização
jejum	abstinência
jipe	auto/automóvel/viatura/carro/veículo
joalharia	ornamento/decoração
joalheria	ornamento/decoração
jogada	proeza/feito/façanha/realização
jogar	uso/utilização
jogo	certame/colecção/concurso/coleção/competição/aglomeração/torneio/acúmulo/partida/actividade/recreaçao/quantia/acção/diversão/quantitativo/medida/atividade/ocupação/componente/quantidade/ação
jogos	actividade/acção/atividade/ação
jornada	etapa/tempo/período/travessia/viagem
