aba	fronteira/limite
caracterizar	distinguir/diferenciar/lembrar/pensar
caracterização	atuação/descrição/representação/interpretação
característica	conceito/atributo/concepção/idéia/propriedade/qualidade/ideia/abstração/qualidade
caractér	grafema/letra
caramelo	bala/doce
caraterizar	distinguir/diferenciar/lembrar/pensar
caraterização	descrição
carburar	tornar/virar/mudar
carga	mercadoria/produto/artigo
carneiro	bovídeos
carnívoro	mamífero
carpete	tapete
carregamento	mercadoria/produto/artigo
carregar	modificar/alterar/completar/completar/transportar/encher/encher/levar/mudar/apresenta/dispõe/deslocar/deslocar/mover/mover/encher
carro	auto/automóvel/viatura/veículo
carta	texto/papel/documento
cartaz	anúncio
cartão	papel
carácter	grafema/letra
caráter	feição/peculiaridade
carência	necessidade
casa	endereço/morada/alojamento/aposento/moradia/prédio/prédio/domicílio/domicílio/locação/residência/residência/edifício/edifício/edifício/localização/abrigo/habitação/tecido/estrutura/lar/ponto/lugar
casaco	sobretudo
casademoinho	fábrica/usina/planta
casadeoração	prédio/edifício
casal	família
casamento	cerimónia/rito/cerimônia/ritual/festa/família
casar	unificar/reunir
casar-se	unificar/reunir
caso	interesse/preocupação/ocorrente/ocorrência/circunstância/acontecimento
castelão	governante/governador
castrar	esterilizar
catar	coligir/ajuntar/recolher/coletar/juntar/reunir
catedrático	acadêmico/professor
categoria	colecção/conceito/coleção/aglomeração/concepção/idéia/acúmulo/família/ideia/classe
catequizar	comunicado/comunicação
cativo	desafortunado/desventurado/infortunado
caule	órgão
causa	acção/feito/ato/ação/gênese/iniciação/origem/começo
causalidade	acção/feito/ato/ação
causar	criar/criar/provocar/provocar/fazer/fazer
cavalgar	viajar/caminhar/ir/andar
cavalheiro	homem
cavalo	égua/equino/equídeo/ungulados/macho
cavar	retirar/remover/tirar
cave	pavimento/piso/andar
caça	criatura/animal/besta/bicho/ser
caçada	traslado/deslocamento/movimento
caçar	perseguir
ceder	regalar/oferecer/entregar/dar/transferir/entregar/dar
cefaleia	sintoma
celebrar	encontrar/reunir
celebração	acontecimento/festa/recreaçao/diversão
celebridade	honra
celenterados	invertebrados/invertebrado
cena	situação/condição/território/ambiente/região/área
central	laboratório/oficina/emprego/trabalho
centrar	raciocinar/cogitar/refletir/pensar
centro	prédio/edifício/lugar
centúria	etapa/tempo/período
cenário	situação/condição
cerca	barreira/obstáculo
cercar	assaltar/atacar
cerimónia	acontecimento/festa
cerimônia	acontecimento/festa/atividade/ocupação
cerque	região
certeza	convicção/crença/fé/opinião/segurança/qualidade
cesta	contentor/contêiner/recipiente
cesto	contentor/contêiner/recipiente/conteúdo/conteúdo
cevar	modificar/alterar/mudar
chacinar	matar
chamar	impetrar/telecomunicar/intimar/mandar/rotular/classificar/ordenar
chance	oportunidade/existência/existência/possibilidade/ser
chapa	organização/artefato
chaparral	flora/vegetação
chapéu	vestimenta/vestuário/traje/fragmento/roupa/vestido/parte
charco	água
charneca	planície/campanha
chave	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
checar	analizar/examinar
chefe	alguém/líder/orientador/supervisor/indivíduo/alma/pessoa
chegada	acção/atividade/ato/ação
chegar	estar/ser/vir
cheirar	aperceber/aperceber-se/recender/perceber/entender/parecer
cheiro	atributo/percepção/propriedade
chibata	aparelho/instrumento/ferramenta
chicote	aparelho/instrumento/ferramenta
chilro	ruído/som
chinchilla	traço
chocalhar	ressoar/soar/fazer
chocar	colidir/atingir/bater
choramingar	chorar
chover	precipitar/cair
chumbo	metal/metais/metais
chupar	beber/tomar
chutar	golpear/bater/computar/propulsar/propulsionar/calcular/impulsionar/tocar
chute	porrada/golpe/esforço/tentativa
chuva	precipitação
chá	bebida
chácara	laboratório/oficina/emprego/trabalho
chão	relevo/objeto/solo/terra
cicatrizar	melhorar
ciclomotor	moto/mota/motocicleta
cidade	municipalidade/município
cidadã	súdito/cidadão
cidadão	alguém/indivíduo/alma/pessoa/súdito
cientista	alguém/indivíduo/alma/pessoa
cilindro	sólida/sólido
cimeira	reunião/reunião
cimento	materiais
cindir	partir/dividir/separar
cinema	bens/produto/produção
cio	apetite/pretensão/anseio/desejo
cipó	traqueófitos
circular	viajar/caminhar/ir/andar
circulação	colecção/coleção/aglomeração/acúmulo
circunscrever	reduzir/diminuir
circunscrição	regiões/região
circunstância	ambiente/informação/conhecimento
civilizar	lustrar/polir/refinar
ciência	disciplina/campo/domínio/conhecimento/saber
clarear	modificar/alterar/mudar/descolorir/colorir
classe	colecção/conceito/coleção/aglomeração/categoria/concepção/idéia/acúmulo/população/gente/pessoal/família/ideia/povo/jogo/grupo/taxon/taxon/taxón/táxon/categoria/espécies/raça/género/tipo/reunião/reunião
classificar	balizar/denominar/designar/avaliar/julgar
clava	bastão/pau/vara
clientela	população/gente/pessoal/povo
clube	prédio/associação/edifício/sociedade/união/organização/ordem
coagir	compelir/obrigar/forçar
coalizão	organização/estado/união/ligação
cobertor	cobertura/capa
cobertura	artefato/capa/capa
cobrar	contabilizar/computar/calcular/contar
cobre	metal/metal/metais/metais/metais/metais/condutor/condutor
cobres	divisa/moeda/dinheiro
cobrir	tampar/tampar/encetar/abordar/cumprir/encostar/realizar/satisfazer/iniciar/tocar
cocegar	afagar/acariciar
cochichar	proferir/verbalizar/conversar/falar/dizer
cochilar	dormir/repousar/descansar
coerência	conexão/ligação
coesão	conexão/ligação
cogitar	raciocinar/refletir/pensar
cognome	antenome/prenome/nome
coincidência	ocorrente/ocorrência/acontecimento
coisa	abstracção/entidade/ocorrente/abstracto/ocorrência/abstrato/acção/acontecimento/atividade/ato/ação
coisas	objeto
colapsar	mudar
colapso	enfermidade/doença/ocorrente/ocorrência/acontecimento
colar	anexar/encostar/grudar/juntar/juntar/unir/tocar
colarinho	abertura/faixa
colectas	imposto
colecção	agrupação/conjunto/grupo
colega	amiga/amiga/camarada/camarada/conhecido/conhecido/amizade/amizade/amigo/amigo
coletar	cobrar
coletânea	publicação/edição
coleção	publicação/edição/agrupamento/agrupação/conjunto/grupo
colheita	rendimento
colher	coligir/coligir/ajuntar/ajuntar/recolher/recolher/coletar/coletar/juntar/juntar/reunir/reunir
colidir	atingir/bater
coligação	organização/estado/união/ligação
colina	elevação
colisão	toque
colocar	botar/botar/botar/tampar/fixar/pôr/pôr/pôr/prender/carregar/carregar/carregar/cobrir/vestir-se/arrumar-se/deslocar/mover/vestir
colocação	acumulação/acúmulo/atividade/ocupação
colonialismo	victimização/exploração
colorante	materiais
colorir	alterar/mudar
colégio	prédio/edifício
colônia	comunidade/grupo
comandar	dirigir/conduzir
comarca	regiões/região
combate	certame/concurso/competição/torneio/partida/batalha/jogo/boxe/pugilismo/conflito/luta
combater	brigar/disputar/lutar
combinar	amalgamar/equivaler/interagir/acrescer/somar/unificar/igualar/acrescentar/adicionar/misturar/mudar
combinação	colecção/coleção/aglomeração/acúmulo/cáculo/operação
combustir	tornar/virar/mudar
comensalismo	organismo/ser
comentário	afirmação/declaração
comer	acasalar/ingerir/ingerir/ingerir/copular/consumir/consumir/consumir/tomar/tomar/tomar
comercialismo	transação
comerciante	empresário
comestivel	nutriente/comida/alimento
cometer	agir/atuar/fazer
começar	agir/atuar/fazer
começo	ocorrente/ocorrência/acontecimento/instante/início/início/princípio/princípio/momento
comida	nutriente/alimento
comissionar	ceder/entregar/passar/dar
comissão	organização
comité	organização
comitê	organização
compactação	compressão/pressão
compaixão	camaradagem/simpatia/piedade/piedade
companheiro	parente/amiga/amiga/amiga/camarada/camarada/camarada/conhecido/conhecido/conhecido/amizade/amizade/amizade/amigo/amigo/amigo
companherismo	amizade
companhia	visitante/visita/organização/organização/corpo
comparar	analizar/examinar/estar/ser
comparação	inspecionar/conexão/examinar/relação
compartilhar	comunicar/agir/atuar/transmitir/fazer
compartir	comprar/obter/adquirir/receber
compatibilizar	corresponder/combinar/concordar
compelir	obrigar/induzir/forçar
compensar	pagar
compensação	recompensa/recompensa
competidor	alguém/indivíduo/alma/pessoa/contendor
competição	certame/concurso/torneio/partida/jogo
completar	modificar/alterar/mudar
componente	conceito/concepção/idéia/ideia/porção/parte
compor	verbalizar/representar/representar
comportamento	feição/peculiaridade/actividade/acção/atividade/atividade/atividade/ocupação/ocupação/ação
comportar-se	agir/portar/atuar/fazer
compositor	musico/músico/músico
composição	espaçamento/posição/atributo/criação/propriedade
comprar	obter/adquirir/receber/estar/ser
compreender	abarcar/incluir/conter/conhecer/saber/entender
comprimir	estreitar/apertar
computador	maquinaria/máquina
computar	raciocinar
compêndio	publicação/edição
comunicado	acção/feito/ato/ação
comunicador	alguém/indivíduo/alma/pessoa
comunicar	interagir
comunicação	acção/feito/ato/ação/abstração
comunidade	reunião
comércio	comercialismo/mercantilismo/transação
concavidade	sólida/sólido
conceber	imaginar
conceder	alocar/acordar/concordar/entregar/entregar/entregar/entregar/dar/dar/dar/dar
conceito	idéia/pensamento/opinião
conceitualizar	imaginar
concentrar	raciocinar/cogitar/refletir/pensar
concentração	assembléia/reunião/crescimento/aumento
concepção	conceito/idéia/pensamento/opinião/criatividade/criatividade/início/começo/princípio
concerto	atuação
concertos	atuação
concha	carapaça
conciliar	acordar/concordar
concluir	modificar/alterar/mudar/encerrar/encerrar/finalizar/finalizar/terminar/terminar
conclusão	seção/parte
concordar	corresponder/combinar/equivaler/igualar/acordar
concorrente	competidor/contendor
concretizar	causar/criar/provocar/fazer
concupiscência	apetite/pretensão/anseio/desejo
condado	região
condensar	reduzir/diminuir
condimento	aromatizante/ingrediente/tempero
condição	atributo/predicado/característica/situação/estado/propriedade
conduta	feição/peculiaridade/acção/atividade/atividade/ocupação/ato/ação
condutor	materiais
conduzir	modificar/alterar/mudar/agir/portar/deslocar/mover/lidar/lidar/cuidar/cuidar/atuar/guiar/guiar/fazer
conectar	raciocinar/cogitar/fixar/refletir/pensar/prender
conectar-se	acessar
conector	apetrecho/equipamento/instrumento
conexão	conhecida/conhecido/amizade/amigo/abstração/provedor/fornecedor/estado/união/memória/ligação
confabular	dialogar/dialogar/conversar/conversar
confeccionar	causar/criar/provocar/fazer
confederação	coalizão/coligação/fusão/união
conferir	analizar/examinar
conferência	reunião
confiança	convicção/crença/fé/opinião
confiar	ceder/consentir/permitir/deixar/entregar/passar/dar
confidenciar	ceder/entregar/passar/dar
confinar	reduzir/diminuir/desabilitar/desativar/incapacitar
conflagrar	tornar/virar/mudar
conflito	peleja/pugna/disputa/combate/batalha/luta/situação/condição/estado
conforto	socorro/ajuda/assistência
confronto	resistência/situação/condição/estado
congelar	solidificar/tornar/virar/mudar
conglomerar	acrescer/acrescentar/crescer/aumentar
conhaque	álcool
conhecida	alguém/indivíduo/alma/pessoa
conhecido	alguém/alguém/indivíduo/indivíduo/alma/alma/pessoa/pessoa
conhecimento	cognição/noção/compreensão/compreensão
conjecturar	antecipar/imaginar
conjeturar	imaginar
conjunto	colecção/coleção/aglomeração/acúmulo/abstração/abstração
conjuntura	ocorrente/ocorrência/acontecimento
conquista	acção/atividade/ato/ação
conquistar	comportar-se/agir/atuar/parecer
consagração	santificação
consciência	compreensão
conselho	proposta
consenso	concórdia/harmonia/paz/conformidade/acordo
consentir	aprovar/concordar/aceitar
consequência	fenómeno/fenômeno
conseqüência	fenómeno/fenômeno/placar/resultado
consertar	reparar/aperfeiçoar/emendar/melhorar
conserto	melhoramento/melhoria
conservar	cozinhar/preservar/preparar/reter/guardar/segurar/manter
considerar	sentir/experimentar/pensar/pensar/achar/achar/achar/ver
considerar-se	estar/ser
consideração	informação/conhecimento
consignar	comissionar/incumbir/confidenciar/confiar/entregar
consolação	socorro/ajuda/assistência
consolo	socorro/ajuda/assistência
consorte	parente
consternação	abalo/comoção/emoção/sentimento
constipar	indispor
constituir	pioneirar/empreender/iniciar/representar
constituição	leis/atributo/início/lei/começo/propriedade
construir	causar/causar/criar/criar/provocar/provocar/fazer/fazer
construção	edificação
consulta	acção/atividade/ato/ação
consultar	indagar/perguntar
consumir	despender/gastar/ingerir/tomar
consumo	demanda/pedido/atividade
consórcio	associação/sociedade/união/organização/ordem
conta	número
contagem	número
contaminar	modificar/alterar/mudar
contar	proferir/exprimir/recitar/verbalizar/informar/informar/determinar/expressar/estar/ser/achar
contato	interação/acção/feito/ato/ação/toque
contemplar	raciocinar/cogitar/refletir/pensar/mirar/mirar/observar/observar/olhar/olhar/ver/ver
contendor	alguém/indivíduo/alma/pessoa/competidor
contentor	apetrecho/equipamento/instrumento
conter	abarcar/abarcar/incluir/incluir/negar/refrear/limitar/controlar
contexto	ambiente
conteúdo	mensagem/comunicação
continuar	viajar/caminhar/ir/andar/agir/atuar/estar/estar/estar/ser/ser/fazer
continuidade	etapa/tempo/período/coerência/coesão/ligação
contorcer	deslocar/mover/mexer
contornar	encostar/tocar
contrafazer	recriar
contrair	estreitar/apertar
contrapeso	edifício/tecido/estrutura
contribuir	modificar/alterar/pagar/mudar/entregar/dar
controlar	manejar/manusear/manipular
controle	atividade/ocupação/habilidade
controlo	atividade/ocupação
controvérsia	desacordo/discordo/discrepância/discórdia/discordância
contêiner	apetrecho/equipamento/instrumento
contínuo	tempo
convalescer	melhorar
convencer	persuadir/influir/influenciar
convencimento	comunicado/comunicação
convergência	ocorrente/ocorrência/acontecimento
conversa	debate/idioma/discussão
conversar	dialogar/dialogar/proferir/comunicar/verbalizar/transmitir/falar/falar/dizer
conversação	idioma
conversão	mudança
converter	modificar/alterar/substituir/mudar
convexidade	sólida/sólido
convicção	crença/fé/opinião
convidar	interagir/comover/emocionar/estimular/excitar
convir	corresponder/combinar/concordar
convite	missiva/carta/requerimento/requisição/solicitação/pedido/petição/apelo
convocar	impetrar/intimar/mandar/ordenar
coorte	população/gente/pessoal/povo
copiar	assemelhar-se/assemelhar/reproduzir/parecer/causar/criar/provocar/fazer
copo	contentor/contêiner/recipiente
copular	acasalar/juntar/unir
coque	carburante/combustível
cor	materiais/camada/capa/colorante/colorante/corante/corante/tinta/tinta
corante	materiais/colorante/tinta/cor
corar	descolorir/colorir
corcova	edifício/tecido/estrutura
corda	artefato/fio/linha
cordados	criatura/animal/besta/bicho/ser
cordilheira	formação
corpo	defunto/cadáver/morto/exército/anatomia
correio	mensagem/comunicado/comunicação
correios	comunicado/comunicação
corrente	acção/água/atividade/ato/ação
correr	manar/manar/fluir/fluir/deslocar/mover/apressar/mexer/viajar/atravessar/caminhar/ir/andar/passar/apressar-se/despachar-se/agir/acelerar/apressar/atuar/passar/fazer
corresponder	combinar/concordar/equivaler/igualar
corretor	empresário
correção	melhoramento/melhoria
corrida	certame/certame/concurso/concurso/competição/competição/torneio/torneio/partida/partida/jogo/jogo/locomoção
corrigir	modificar/alterar/mudar/inverter/reverter/tornar/virar
corromper	modificar/alterar/pagar/mudar
cortar	descolar/desgrudar/separar
corte	vianda/carne/assembleia/assembléia/maneira/abertura/estilo
cortina	mobília/mobiliário/móvel/proteção/capa
costa	orla/litoral/formação/formação
costas	anatomia
costume	hábito/atividade/ocupação/emprego/hábito
cotovelar	propulsionar/empurrar
coxear	caminhar/ir/andar
cozedura	carburante/combustível
cozinha	aposento/quarto/sala/culinária/preparação
cozinhar	confeccionar/fabricar/construir/mudar
coçar	irritar/cortar
creador	alguém/indivíduo/alma/pessoa
creme	lacticínio/laticínio
crepe	têxteis/pano/tecido/fazenda
crepitar	ressoar/soar
crer	acreditar/aceitar
crescer	acrescer/acrescentar/aumentar/progredir/desenvolver
crescimento	alteração/modificação/variação/mudança
cria	criatura/animal/besta/bicho/ser
criado	trabalhador
criador	alguém/indivíduo/alma/pessoa
criancinha	criança/filho/menino
criança	alguém/descendência/indivíduo/alma/descendente/filho/pessoa/juvenil/menor/jovem
criar	agir/atuar/causar/causar/provocar/provocar/fazer/fazer/fazer
criatividade	capacidade/capacidade/poder/poder/habilidade/habilidade/talento/talento
criativo	alguém/indivíduo/alma/pessoa
criatura	alguém/indivíduo/alma/pessoa/organismo/ser
criação	artefato/atividade/início/ocupação/começo/princípio/produção
crime	ofensa/transgressão
crise	conjuntura/ocasião/ponto
cristal	sólida/sólido
cristalino	órgão
critica	acção/feito/ato/ação
cronometrar	mensurar/quantificar
crustáceo	artropode/artrópode/artrópodes
crustáceos	artropode/artrópode/artrópodes
cruz	edifício/tecido/estrutura
cruzar	reproduzir/criar
crédito	débito/dívida/dívidas/dívida
crónica	registro
crônica	registro
cubo	sólida/sólido
cuidado	protecção/proteção/endosso/tarefa/trabalho
cuidar	governar/reger/lidar/guiar
cuidar-se	embonecar/empetecar/embelezar
culinária	cozinha/preparação
cultivar	lustrar/polir/refinar
cultivo	produção
cultura	ontogenia/ontogénese/crescimento
cumprimentar	acostar/vir
cumprir	encerrar/finalizar/acabar/terminar/ocasionar/efetuar/efetuar/produzir/executar/realizar/satisfazer/provocar/atingir
curar	melhorar
curso	itinerário/itinerários/percurso/rota/linha/estrada/caminho/rumo/rumo/direcção/direcção/acção/direção/direção/sequência/série/atividade/ato/ação/reunião/reunião/fronteira
curtir	celebrar
curva	segmento/seção/linha/linha
curvar	virar-se/virar-se/tornar-se/tornar-se/virar/virar/deformar
curvar-se	gesticular
curvas	linha
curvatura	contorno
custar	estar/ser
custo	gastos/custos/preços/preço/preço/qualidade
custos	preços/preço/qualidade
custódia	confinamento
cutucar	propulsionar/empurrar
cáculo	cálculo
cálculo	critica/juízo/procedimento/processo/julgamento
cárie	apodrecimento/putrefação/deterioração/decomposição
cão	carnívoro
cérebro	inteligência
céu	superfície/região
cólera	abalo/zanga/comoção/ira/emoção/sentimento/raiva
cómoda	alfaia/movéis/mobília/mobiliário/móvel
cónjuge	parente
cópia	afiguração/representação/imagem/figura/ilustração/desenho
córrego	água
cômoda	alfaia/movéis/mobília/mobiliário/móvel
cômodas	alfaia/movéis/mobília/mobiliário/móvel
cônjuge	parente
cúmulo	colecção/coleção/aglomeração/acúmulo
cúpula	reunião
dado	datum/informação/informação/conhecimento
dados	colecção/coleção/aglomeração/acúmulo
dama	mulher/mulher
danificar	modificar/alterar/mudar
dano	alteração/modificação/variação/mudança
dança	recreaçao/diversão
dançar	deslocar/deslocar/mover/mover/mexer/mexer
dar	regalar/regalar/ceder/prover/abastecer/fornecer/suprir/oferecer/oferecer/entregar/entregar/entregar/passar/provisionar/prover/transferir/transferir/abastecer/informar/fornecer/causar/causar/contar/criar/dirigir/provocar/provocar/servir/entregar/entregar/conduzir/fazer
data	dia
datum	informação/conhecimento
debate	idioma/discussão
debilitar	enfraquecer
debruçar	vergar/curvar/dobrar/torcer
decadência	pecado
decair	piorar/tornar/virar/mudar
decapitar	matar
decidir	seleccionar/selecionar/escolher/encerrar/finalizar/concluir/terminar
decisão	selecção/escolha/seleção
declarar	contar/falar/dizer/balizar/avaliar/julgar
declaração	mensagem/afirmação/tópico/assunto/conteúdo
declivar	debruçar/inclinar
declive	formação
declives	formação
declínio	diminuição/abatimento
decomposição	atividade/ação
decoração	adorno/ornato/ornamento/artefato
decretar	resolver/decidir
decreto	ato
decréscimo	alteração/modificação/variação/mudança
decênio	etapa/tempo/período
dedo	dígito/membro
deduzir	reter/guardar/segurar/manter/computar/calcular
defeito	situação/condição/estado
defender	impedir/atrapalhar/evitar
defensor	alguém/indivíduo/alma/pessoa
deferência	atitude
defesa	edifício/tecido/estrutura/combate/batalha
deficiência	necessidade/carência
deflagração	ocorrente/ocorrência/acontecimento
defletir	virar-se/tornar-se/virar
deformar	alterar/mudar
defraudar	victimizar/vitimar
defrontar	estar
defunto	cadáver/morto/corpo
degenerar	decair/piorar
deglutir	ingerir/consumir/tomar
degolar	matar
degradar	decair/piorar/humilhar/mortificar/aviltar/rebaixar
degrau	encosto/apoio/suporte
deidade	espirito
deidades	espirito
deitar	botar/pôr/colocar/carregar
deixar	modificar/regalar/alterar/ceder/deslocar/mover/mexer/oferecer/entregar/entregar/mudar/passar/dar/dar/alterar/consentir/prover/induzir/aprovar/concordar/aceitar/mudar/dar
delapidar	despender/gastar
delegar	responsabilizar/nomear
delegação	organização/autorização/situação/condição/estado
deleite	prazer/alegria
deletar	remover/tirar
delicadeza	acção/atividade/ato/ação
delimitar	limitar/restringir/conter
delimitação	fronteiras/fronteira/limite
delinear	marcar
delito	atividade/ocupação
delongar	adiar
demissão	termino/terminação/conclusão
demonstrar	apresentar/mostrar/transmitir/passar
denominar	rotular/classificar
denominação	antenome/prenome/nome
denotar	significar/informar/contar
dente	osso
dentes	osso
dentista	médico
departamento	prédio/edifício/divisão/divisão
depender	estar/ser
depositar	entregar/dar
depravar	modificar/alterar/mudar
depósito	matéria/substância/colocação/acumulação/acúmulo
derivar	redundar/sobrevir/resultar/suceder/seguir
derramar	prover/abastecer/fornecer/suprir/disseminar/deslocar/mover/distribuir/espalhar
derrapar	escorregar/deslizar
derreter	dissolver
derrota	fracasso/desastre/falha/erro
derrubar	virar-se/tornar-se/virar
desabafo	atividade/ocupação
desabilitar	modificar/alterar/mudar
desabrochar	progredir/desenvolver
desafiante	competidor/contendor
desafiar	convidar/pedir
desafortunado	alguém/indivíduo/alma/pessoa
desaguar	disseminar/distribuir/espalhar
desalojar	retirar/remover/tirar
desaparafusar	afrouxar
desaparecer	sumir/deslocar/mover/mexer
desaparecimento	termino/terminação/conclusão
desastre	ocorrente/ocorrência/acontecimento
desativar	modificar/alterar/mudar
descansar	estar/ser
descartar	livrar/rejeitar
descascar	retirar/remover/tirar
descendente	parente
descendência	parente/genealogia
descensão	traslado/deslocamento/movimento
descer	viajar/caminhar/ir/andar
descerrar	informar/contar
descoberta	acção/feito/ato/ação
descobrimento	acção/feito/ato/ação
descobrir	conceitualizar/conceber/apresentar/mostrar
descolar	partir/dividir/separar
descolorir	alterar/mudar
descompor	magoar/ofender/provocar
desconectar	partir/dividir/separar
desconsiderar	tratar/rejeitar
desconsideração	desfeita/ofensa/injúria
descontrair	tornar/virar/mudar
descrença	incerteza/dúvida
descrever	informar
descrição	afirmação/declaração
descuido	equívoco/engano/falha/erro
desculpar	conceder
desdobrar	operar/deformar/funcionar
desejar	ansiar/ansiar/ansiar/ansiar/ansiar/ansiar/querer/querer/querer/querer/querer/querer/proferir/exprimir/verbalizar/expressar
desejo	apetite/apetite/pretensão/pretensão/anseio/anseio
desembaraço	certeza/segurança
desembocadura	formação
desembolsar	pagar
desempacotar	retirar/remover/tirar
desempenhar	recriar/cumprir/efetuar/executar/realizar/atingir
desempenho	acção/atividade/ato/ação
desenho	afiguração/representação/criação/imagem/figura/ilustração
desentranhar	retirar/remover/tirar
desenvolver	progredir/alterar/crescer/mudar/aumentar
desenvolvimento	uso/utilização/melhoramento/melhoria
deserdar	privar
desfazer-se	desintegrar/separar
desfeita	conduta/comportamento
desfilar	caminhar/ir/andar
desgosto	mágoa/tristeza/tristeza/dor/pesar/pesar
desgraça	desonra/vergonha
desgrudar	partir/dividir/separar
designação	dever/obrigação/decisão/resolução
desinfectar	assear/purgar/limpar
desinfetar	assear/purgar/limpar
desinformar	informar
desintegrar	mudar
desistir	descontinuar/cessar/ceder/finalizar/acabar/terminar/parar/deixar/entregar/passar/dar
desligar	ligar
deslizar	escorregar/viajar/viajar/caminhar/caminhar/ir/ir/andar/andar/deslocar/mover
deslocamento	mudança
deslocar	mover
deslocar-se	deslocar/mover
desmantelar	retirar/remover/tirar
desmarcar	remover/tirar
desmentir	representar
desmontar	descer/baixar/cair
desmoralização	degradação
desmoronar	desintegrar/mudar/mudar/separar
desobrigar	ceder/entregar/passar/dar
desobstruir	modificar/alterar/mudar
desolação	demolição/destruição
desonestidade	delito/transgressão
desordem	situação/condição/estado
desordenar	modificar/alterar/mudar
desorganizar	desordenar/bagunçar
desovar	causar/provocar/fazer
desoxidar	alterar/mudar
despachar	matar/transmitir/expedir/deslocar/mover/embarcar/transportar/enviar/trazer
despachar-se	viajar/caminhar/ir/andar
despacho	partida
despedaçar	mudar
despedida	partida
despejar	prover/abastecer/fornecer/suprir
despender	pagar
desperdiçar	delapidar/despender/dilapidar/esbanjar/gastar
desperdício	atividade/ocupação
despertar	tornar/virar/mudar
despidir	cumprimentar/saudar
desportista	competidor/contendor
desprender	retirar/remover/tirar
desprezo	desconsideração
destinar	planejar
destino	causador/causa/ocorrente/ocorrência/acontecimento
destripar	retirar/remover/tirar
destruir	estraçalhar/destroçar/arruinar
destruição	termino/terminação/situação/conclusão/condição/estado
desvalorizar	humilhar/mortificar/aviltar/rebaixar
desvanecer	deslocar/mover
desvantagem	passivo/risco/responsabilidade
desventrar	retirar/remover/tirar
desventurado	alguém/indivíduo/alma/pessoa
desvirtuar	modificar/alterar/mudar
desviscerar	retirar/remover/tirar
detalhe	facto/verdade
detenção	confinamento
deter	reter/guardar/segurar/manter/desabilitar/desativar/incapacitar
deteriorar	decair/piorar/avariar/danificar
deterioração	declínio/atividade/ação/diminuição
deus	espirito/espirito
deusa	espirito
devastar	matar
devastação	termino/terminação/conclusão
dever	tarefa/estar/ser/trabalho
dia	oportunidade/etapa/etapa/etapa/chance/tempo/tempo/tempo/período/período/período/era/época/momento/tempo/período
dialogar	comunicar/transmitir/falar
dianteira	face/lado
diferenciar	caracterizar/caraterizar/distinguir/identificar/qualificar/reconhecer/separar
diferença	flutuação/variação/mudança/qualidade
dificuldade	qualidade/problema/obstáculo
difundir	lançar
difusão	atividade/ação
digladiar	brigar/disputar/lutar
dilapidar	despender/gastar
dimensão	grandeza/grandeza/grandeza/magnitude/magnitude/magnitude/número/número/número
diminuir	modificar/alterar/reduzir/reduzir/mudar
diminuição	alteração/modificação/variação/mudança/abatimento
dinheiro	cobre/cobre/divisa/divisa/moeda/moeda/divisa/moeda/possessão/riqueza/bem
diocese	jurisdição/jurisdição
director	administrador/gerente
direcção	itinerário/itinerários/percurso/rota/linha/estrada/caminho
direita	local/lugar/posição
direito	abstracção/abstracto/abstrato
diretor	administrador/gerente/executivo
direção	itinerário/itinerários/percurso/rota/linha/estrada/caminho
dirigente	administrador/gerente
dirigir	governar/reger/viajar/caminhar/ir/andar/lidar/cuidar/guiar
dirigir-se	comunicar/transmitir
disciplina	feição/peculiaridade/conhecimento/saber
discordância	desacordo/discordo/discrepância/discórdia
discriminar	distinguir/diferenciar/separar
discurso	mensagem/mensagem/comunicação/comunicação/comunicado/faculdade/comunicação/talento
discussão	comunicado/desacordo/discordo/discrepância/comunicação/debate/discórdia/idioma/discordância
discutir	proferir/verbalizar/conversar/conversar/falar/falar/dizer
discípulo	seguidor
disfarçar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
dispensar	entregar/dar
dispersar	partir/separar
dispor	botar/despender/gastar/pôr/colocar/carregar/providenciar/arranjar
dispositivo	apetrecho/linguagem/discurso/equipamento/instrumento/língua/estilo
disposição	feição/peculiaridade/acção/feito/ato/ação/índole/natureza
disputa	peleja/pugna/combate/batalha/luta/desacordo/discordo/discrepância/conflito/discórdia/discordância/luta
dissimulação	adulteração/falsificação
dissipar	delapidar/dilapidar/esbanjar/desperdiçar
dissolver	mudar
distanciar	conservar/reter/manter
distanciar-se	conservar/reter/manter
distinguir	caracterizar/caraterizar/identificar/qualificar/diferenciar/reconhecer/separar
distinção	diferença
distracção	entretenimento/diversão/entreterimento/divertimento
distração	entretenimento/diversão/entreterimento/divertimento
distribuição	acção/feito/ato/ação
districto	regiões/região
distrito	regiões/região/municipalidade/município
disturbar	comover/agir/afetar/impressionar/atuar/parecer/fazer
distância	espaçamento/espaçamento
ditado	locução/provérbio/expressão/idioma/idioma
ditar	proclamar
diversão	recreaçao/atividade/atividade/ocupação/ocupação
divertimento	entretenimento/diversão/entreterimento/recreaçao/recreaçao/diversão/diversão/atividade/ocupação
divertir	entreter
dividir	comprar/expulsar/obter/adquirir/receber/computar/calcular/alterar/deslocar/mover/partir/mudar/mudar/mudar/separar
divindade	espirito
divinidade	espirito
divisa	cobre/moeda/dinheiro/moeda
