abacateiro	abacate
esperma	espermatozoide/espermatozóide/espermatozóide/flagelo
espermatozoide	flagelo
espermatozóide	flagelo/flagelo
espingarda	ferrolho
espinha	cóccix/vertebra/vértebra
espinhaço	cóccix/vertebra/vértebra
espira	jante
esporte	prorrogação/rodada/manobra/turno/jogo/tempo
espádua	acrômio
espécie	variedade/variedade
espécies	variedade
estame	antera
estante	prateleira/prateleira
estatuo	aditamento/acréscimo
estatuto	aditamento/acréscimo
estereofonia	amplificador/amplificadores
estilo	estigma/estigma
estio	canícula/solstício
estonia	livonia/livónia/livônia/tallinn/tartu
estonujo	livonia/livónia/livônia/tallinn/tartu
estrada	acostamento/berma/encruzilhada/cruzamento/curva/rotatória/trevo
estrada-de-ferro	travessa/trilho/dormente
estratosfera	ozonosfera
estrofe	melodia/linha
estrutura	alicerce/pé/base
estábulo	baia/baia/curro/curro
estábulos	baia/curro
estádio	gramado/campo/arquibancada
estónia	livonia/livónia/livônia/tallinn/tartu
estória	climax/anticlímax
estômago	intestino/intestinos/barriga/umbigo/abdómen/barriga
estônia	livonia/livónia/livônia/tallinn/tartu
eua	alasca/arizona/arkansas/florida/flórida/idaho/illinois/illinóis/kentucky/maine/michigan/minesota/minnesota/mississippi/mississíppi/montana/nebrasca/nebraska/nevada/oregon/utah/vermont/wisconsin/wyoming/arcansas/california/califórnia/connecticut/havaí/luisiana/massachusetts/missouri/oklahoma/sul/virgínia/colorado/delaware/geórgia/indiana/iowa/kansas/maryland/ohio/ohio/pensilvânia/tennessee/alabama/texas/washington/norte
eurasia	europa/cítia/urss/ásia/rússia/rússia/rússia
europa	alemanha/andorra/austria-hungria/balcãs/belarus/bielorrussia/bielorrússia/bulgaria/bulgária/bélgica/checoslovaquia/checoslováquia/continentes/escocia/escócia/eslovaquia/eslováquia/estonia/estonujo/estónia/estônia/finlândia/flandres/frança/gibraltar/holanda/holando/hungria/inglaterra/italia/itália/lapónia/lapônia/letonia/letónia/letônia/liechtenstein/listenstaine/moldávia/monaco/mónaco/neerlândia/polonia/polónia/polônia/portugal/roménia/romênia/ruménia/silesia/silésia/suiça/suíça/tcheco-eslováquia/tchecoslováquia/ucrania/ucránia/ucrânia/áustria/áustria-hungria/áustria-hungria/escandinávia/escandinávia/espanha/frísia/grécia/irlanda/islândia/luxemburgo/mônaco
eurásia	europa/cítia/urss/ásia/rússia/rússia/rússia
exabit	petabit
exabyte	pebibyte/petabyte/petabyte
exbibyte	pebibyte
explanação	fundação/base
explicação	fundação/base
expressão	fone/fonema
extinção	dispersão/absorção
eólia	lesbos
faca	lâmina/lâmina/pico/ponta/ponta
face	bochecha/chinchilla/mento/sobrancelha/sobrancelha/sobrolho/supercílio/testa/óculo/olho/nariz/olfato/queixo/barba/traço/mandíbula/boca
falo	glande/uretra/glande/prepúcio
fanerozoico	cenozoico/cenozóico
fanerozóico	cenozoico/cenozóico
faqueiro	taramela/trinco/alça/cabo
faringe	língua/adenoide/adenóide/bucofaringe/nasofaringe/nasofaringe/orofaringe/orofaringe
farmacia	farmacopéia
farmacopéia	entorpecente/droga/medicamento/remédio
farmácia	farmacopéia
fazenda	quinta/bainha
fechadura	tranca
feijão	fava
feira	prateleira/estante
felino	pata/pé
felídeos	pata/pé
fenestra	mainel/vidraça/janela
fenícia	cártago
ferramenta	taramela/trinco/alça/cabo
ferrovia	travessa/trilho/dormente
fidji	suva
figo	sicónio/sicônio
figo-da-índia	figueira-da-índia
figueira-comum	figo/sicónio/sicônio
figura	subtítulo/legenda/lenda/título
fiji	suva
filipinas	luzon/manila/mindanau/mindoro/cebu/cebu
filme	plano/legenda
fim-de-semana	domingo/sábado
finlândia	aland/carélia/espoo/helsinque/helsínque/helsínquia/mariehamn/tampere/åland
firmamento	zénite/zénite/zênite/nadir/zodíaco
flange	morso/rédea/bocal/bocado
flecha	haste/cabo
flor	estame/pistilo/ovário
flora	fragmento/parte
florada	estame/pistilo/ovário
floração	estame/pistilo/ovário
florida	everglades/miami/pensacola/sarasota/tallahassee
florim	cêntimo/centavo
flórida	everglades/miami/pensacola/sarasota/tallahassee
foguetes	foguete
fogão	grade
fogões	grade
folha	manchete/quadrinhos/editorial/notícia/coluna
fonógrafo	captador
forcado	dente
forja	bigorna/bigorna/bigorna/bigorna
formação	lição/tarefa
formosa	taichung/taipei/taipé/taipéi
fornada	miga/migalha
fornalha	grade
fornalhas	grade
forno	grade/grade
fortaleza	ameia/muralha/trincheira/baluarte
forte	ameia
fortificação	muralha/trincheira/baluarte
frango	galinha
frança	alpes/alsácia/anjou/aquitania/aquitânia/artois/auvergne/auvérnia/avinhão/bordeaux/bretanha/calais/calé/cannes/centro/champanha-ardenas/champanha-ardenas/chartres/dijon/escalda/garona/gasconha/grenoble/ilha-de-frança/isère/languedoc-roussillon/languedoque-rossilhão/lascaux/lille/loire/lorena/lorraine/lyon/marselha/meuse/mosa/nancy/nantes/normandia/pas-de-calais/pays-de-la-loire/picardia/pireneus/pirenéus/pirineus/pirinéus/poitou-charentes/poitou-charentes/provença/reims/ródano/ródano-alpes/ródano-alpes/sena/tolosa/toulon/toulouse/tours/vichy/bordéus/borgonha/chablis/córsega/nice/paris/reno/versalhes/versalhes
frase	cláusula/constituinte/oração
frigideira	taramela/trinco/alça/cabo
fruta	pele/casca/endosperma/epicarpo
frígia	colossos
fundilhos	glúteo
fungo	himénio/himênio/micélio/chapéu
fungos	himénio/himênio/micélio/chapéu
furadeira	pua/verruma/broca
furador	ponta
furlong	rod
furna	estalagmite/fundo
fuselagem	empenagem/vigia/cauda/rabo
futebol	bexiga/metade
fuzil	ferrolho
gabao	libreville
gabão	libreville
gado	bife/carne
galho	súber/súber/casca/casca
galileia	nazaré
galiléia	nazaré
galinha	frango
galináceo	crista
galo	frango/galinha
galão	quarto
gana	acra/kumasi/tamale
ganancia	atribuição
gansa	ganso
gansu	lanzhou
garfo	dente
garganta	língua/adenoide/adenóide/bucofaringe/glote/gogó/nasofaringe/nasofaringe/orofaringe/orofaringe
garoupa	cherne
garrafa	tampa/chupadouro
gaveta	fechadura
gaveteiro	gaveta/prateleira/estante/caixa
geleira	morena
gelosia	grelha
geosfera	crosta/manto/superfície
gerador	estator/rotor
gestação	trimestre/termo
geórgia	abecásia/savannah/tbilisi/tíflis/valdosta/atlanta/georgia
gibibyte	mebibyte/mebibyte/megabyte
gigabit	megabit/megabit
gigabyte	mb/megabyte
gigantismo	hiperpituitarismo
gilete	lâmina
gill	onça/onça
glaciar	morena
glaciares	morena/morena
gládio	lâmina/lâmina/pico/ponta/empunhadura/punho/cabo
goiabeira	goiaba
gol	trava/barra
golfodebótnia	aland/åland
governo	judiciário/administração/organização
gozo	espermatozoide/espermatozóide/espermatozóide/esperma
grafo	curvas/curva
grama	quilate
gramado	meio-campo
gramofone	captador
granada	alhambra
grandesantilhas	hispaniola/cuba/haiti/jamaica
granizo	glóbulodegranizo
granja	quinta
grau	minuto
gravidez	clivagem/segmentação
grelo	prepúcio
gripa	rinorreia/rinorréia
gripe	rinorreia/rinorréia
groselheira	groselha
gruta	estalagmite/fundo
grutas	estalagmite/fundo
gráfico	curvas/curva
grã-bretanha	escocia/escocia/escócia/escócia/inglaterra
grécia	acaia/arcádia/atenas/beócia/corinto/corínto/creta/cíclades/delfos/dodecaneso/lacónia/lacônia/lemnos/lesbos/micenas/olimpo/peloponeso/quios/quíos/rodes/salonica/salónica/salônica/tessália/áccio/ática/âccio/épiro/ítaca/argos/ciclades
guarda-chuva	taramela/trinco/alça/cabo
guelra	onça/onça
guerra	combate/batalha/luta/agressão/combate/batalha/luta
guiana	stabroek
guidom	taramela/trinco/alça/cabo
guidon	taramela/trinco/alça/cabo
guidão	taramela/trinco/alça/cabo
guilder	cêntimo/centavo
guiné	conacri/níger
guiné-bissau	bissau
gyros	pita
gâmbia	banjul
gónada	epididimo/epidídimo
güiana	stabroek
habitação	estudio/mansarda/trapeira/sótão/ático/dormitório/escritório/cozinha/quarto/banheiro/alpendre/camarim/gabinete/refeitório/biblioteca/salão/banheiro/sala/sala
hadron	quark
hagiógrafo	eclesiastes/salmos
halibute	hipoglosso
hamburger	hamburguer/hambúrguer/hambúrguer
hambúrguer	hamburguer
hampshire	winchester
hectare	are/erre/seja
hectolitro	decalitro
hectômetro	decâmetro/decâmetro
hejaz	makkah/meca/medina
hemípteros	ala/asa/queixo/alvéolos
hidrosfera	oceano/mar/água
himalaia	annapurna/dhaulagiri/kanchenjunga/lhotse/makalu/nuptse/shishapangma
hipermédia	sgbdoo
hipermídia	sgbdoo
hipertireoidismo	exoftalmia
hipertiroidismo	exoftalmia
hipófise	adenoipófise/neuroipófise/neuroipófise
hispaniola	haiti
história	introdução/era/idade/época/conclusão/período/antiguidade/climax/idade-média/renascentismo/renascimento/anticlímax
histórico	era/idade/época/período/antiguidade/idade-média/renascentismo/renascimento
hokkaido	sapporo
hokkaidō	sapporo
holanda	amesterdão/amsterdã/amsterdão/apeldoorn/arnhem/arnhemia/eindhoven/haia/ijsselmeer/leida/meuse/mosa/nimegue/roterdão/utrecht/reno
holando	amesterdão/amsterdã/amsterdão/apeldoorn/arnhem/arnhemia/eindhoven/haia/ijsselmeer/leida/meuse/mosa/nimegue/roterdão/utrecht/reno
honduras	tegucigalpa
honshu	hiroshima/kobe/kōbe/nagano/nagoya/osaka/quioto/toyota/tóquio/yokohama
honshū	hiroshima/kobe/kōbe/nagano/nagoya/osaka/quioto/toyota/tóquio/yokohama
hora	min/minuto/quarto
hospital	sala/uti/clínica
hp	watt
humano	anatomia/braço/mão/carne/face/pata/rosto/cara/corpo/pé/pêlo/cabelo/lombo
hungria	budapeste/danúbio
hádron	quark
hádrons	quark
hélice	jante
idade	sessenta/setentas
idaho	boise/lewiston/pocatello
idioma	léxico/vocabulário
iemen	adem/aden/sana/sanaa/áden
ignição	distribuidor/vela
igreja	abside/cuboderoda/nartex/nave/nártex/presbitério/sacristia/sacristia/transepto/ábside/nave
igrejas	abside/cuboderoda/nartex/nave/nártex/presbitério/sacristia/sacristia/transepto/ábside/nave
illinois	champaign/chicago/moline/cairo/springfield
illinóis	champaign/chicago/moline/cairo/springfield
ilustração	subtítulo/legenda/lenda/título
impériobizantino	bisâncio/bizâncio
inconsciente	superego
incubadora	termostato
india	agra/assam/bangalore/bihar/bombaim/bombaím/calcutá/caxemira/chennai/deli/déli/ganges/goa/gujarat/himalaia/jabalpur/karnataka/lucknow/maharashtra/manipur/mysore/orissa/sikkim/siquim/guzerate/hyderabad
indiana	gary/indianapolis/indianápolis/lafayette
indivíduo	temperamento/anatomia/carne/personalidade/pessoa/corpo
indochina	birmânia/lao/laos/laus/malasia/malásia/miamar/mianmar/mianmá/miãmar/myanmar/tailândia/vietname/vietnã/camboja/sião
indonesia	bali/báli/celebes/célebes/krakatao/samatra/sumatra/timor/bornéu/java
indonésia	bali/báli/celebes/célebes/krakatao/samatra/sumatra/timor/bornéu/java
inferno	aqueronte/cócito/estige
infinito	locação/localização/ponto/lugar/aeroespaço
inflorescéncia	bráctea
inflorescência	bráctea
infra-estrutura	gás/água
infraestructura	gás/água
infraestrutura	gás/água
infância	adolescência
inglaterra	bath/berkshire/blackpool/brighton/bristol/brístol/cambridge/cornualha/coventry/cumbria/cúmbria/devon/essex/gloucester/gloucestershire/hampshire/hertfordshire/hull/lancashire/leicester/leicestershire/lincolnshire/liverpool/london/londres/londrina/manchéster/montescheviot/northamptonshire/northumberland/oxford/peninos/sunderland/surrey/sussex/tâmisa/worcester/yorkshire/birmingham/manchester/portsmouth/somerset/somerset/leitura
inhame	batata-doce
insecto	ala/asa/queixo/alvéolos
insectos	ala/asa/queixo/alvéolos
inseto	ala/asa/queixo/alvéolos
insetos	ala/asa/queixo/alvéolos
instrução	lição/tarefa
interpretação	atuação/representação
iowa	dubuque/ottumwa
irao	cáspio/isfahan/kavir/meshed/persepolis/persepólis/persépolis/shiraz/syrah/tabriz/teerã/teerão/urmia/xiraz
iraque	assiria/assur/assíria/bagda/bagdad/bagdade/bagdá/baçora/baçorá/caldeia/caldéia/eufrates/karbala/kirkuk/mesopotamia/mesopotâmia/mossul/ninive/nínive/suméria/tigre/babilónia/babilônia
irlanda	cork/dublim/dublin/galway/limerick/waterford
irã	cáspio/isfahan/kavir/meshed/persepolis/persepólis/persépolis/shiraz/syrah/tabriz/teerã/teerão/urmia/xiraz
irão	cáspio/isfahan/kavir/meshed/persepolis/persepólis/persépolis/shiraz/syrah/tabriz/teerã/teerão/urmia/xiraz
islandia	islândia
islândia	reiquijavique/reykjavik/reykjavík
israel	cesareia/cisjordânia/galileia/galiléia/haifa/jerusalem/jerusalém/negev/sodoma/tel-aviv/acre
istambul	chalkedon
italia	alpes/anzio/apeninos/apulia/apúlia/basilicata/bolzano/brindisi/bréscia/calabria/calábria/campania/campânia/emília-romanha/etrúria/ferrara/herculano/liguria/ligúria/lombardia/lácio/marche/matterhorn/molise/piemonte/pompeia/pompéia/puglia/sicilia/tirol/toscana/toscânia/umbria/veneto/vesúvio/véneto/vêneto/úmbria/marcas/roma/sicília
itália	alpes/anzio/apeninos/apulia/apúlia/basilicata/bolzano/brindisi/bréscia/calabria/calábria/campania/campânia/emília-romanha/etrúria/ferrara/herculano/liguria/ligúria/lombardia/lácio/marche/matterhorn/molise/piemonte/pompeia/pompéia/puglia/sicilia/tirol/toscana/toscânia/umbria/veneto/vesúvio/véneto/vêneto/úmbria/marcas/roma/sicília
iucatã	mérida
iugoslávia	belgrado/danúbio/montenegro/servia/sérvia
iémen	adem/aden/sana/sanaa/áden
iêmen	adem/aden/sana/sanaa/áden
jaca	jaqueira/jaqueira
jamaica	kingston
jan	epifania/natal
janeiro	epifania/epifania/natal/natal
janela	mainel/vidraça
japão	fukuoka/hokkaido/hokkaidō/honshu/honshū/iwojima/kitakyushu/kyushu/kyūshu/kyūshū/nagano/nagasaki/nagoya/osaka/quioto/riukyu/ryukyu/ryūkyū/sapporo/shikoku/toyota/tóquio/yokohama
jarda	pé
jardim	terraço/pátio
java	bandung/jacarta/jakarta/semarang
javali	colmilho
javardo	colmilho
jerusalem	gólgota/calvário/sião
jerusalém	gólgota/calvário/sião
jibuti	djibouti/djibuti
joalharia	gema/pedra
joalheria	gema/pedra
joelho	patela/patela/rótula
jogo	metade/turno
jordania	amã/aqaba
jordânia	amã/aqaba
jornada	manhã/etapa/parada
jornal	manchete/quadrinhos/editorial/notícia/coluna
joule	erg/erg
juglans	noz/nogueira/nogueira-comum
jugoslávia	belgrado/danúbio/montenegro/servia/sérvia
julgamento	processo
jun	solstício
junho	solstício
jurisprudência	leis/lei
justiça	fbi/fbi
jutlândia	dinamarca
juventude	adolescência
jóia	gema/pedra
kansas	hays/lawrence/salina/topeka/arcansas
kentucky	frankfort/louisville/tennessee
kibibyte	palavra
kiribati	bairiki/bairiki
kiribáti	bairiki
kislev	chanuca/chanucá
km	hectômetro/hectômetro
kuwait	koweit/kuait/coveite/cuaite
kyushu	fukuoka/kitakyushu/nagasaki
kyūshu	fukuoka/kitakyushu/nagasaki
kyūshū	fukuoka/kitakyushu/nagasaki
l	decilitro
labirinto	cóclea/cóclea/endolinfa/endolinfa/perilinfa/perilinfa/caracol
ladeira	vertente/declive/rampa/encosta
lago	baía/enseada
lagosta	coral
laminação	calceteiro/calceteiro
lao	vienciana/vientiane
laos	vienciana/vientiane
lar	dormitório/cozinha/quarto/banheiro/camarim/gabinete/refeitório/salão/banheiro/sala/sala
laranja	casca
laranjeira	laranja
lareira	chaminé/lar
laringe	glote/gogó
lauda	margem/paginação
laus	vienciana/vientiane
lavada	enxaguadela/enxaguadura
lavagem	enxaguadela/enxaguadura
lavação	enxaguadela/enxaguadura
laço	forca/nó
lebre	coelho
lebrão	coelho/lebre
lei	leis
leicestershire	leicester
leito	colchão
lepidium	mastruço
lesoto	maseru
letonia	daugavpils/liepāja/livonia/livónia/livônia/riga/rīga
letónia	daugavpils/liepāja/livonia/livónia/livônia/riga/rīga
letônia	daugavpils/liepāja/livonia/livónia/livônia/riga/rīga
levante	extremo-oriente
leão	crina/crina/juba
libra	péni/pêni/onça/onça
libéria	monrovia/monróvia
liechtenstein	vaduz
ligadura	gaze
liguria	genova/génova/gênova
ligúria	genova/génova/gênova
limeira	limão/limão
limoeiro	limão
linguado	solha
linguagem	léxico/vocabulário
lista	item
listagem	item
listenstaine	vaduz
litoral	praia
litosfera	crosta/manto/superfície
litro	decilitro
lituania	kaunas/klaipeda/klaipėda/vilnius/vílnio/vílnius
lituânia	kaunas/klaipeda/klaipėda/vilnius/vílnio/vílnius
livro	regra/norma/prescrição/regra/capa
livros	capa
lofiformes	tamboril
loganberry	framboesa
lombardia	cremona/milão
london	bloomsbury/greenwich/newgate/soho/wembley/westminster/whitehall/wimbledon
londres	bloomsbury/greenwich/newgate/soho/wembley/westminster/whitehall/wimbledon
londrina	bloomsbury/greenwich/newgate/soho/wembley/westminster/whitehall/wimbledon
lophiiformes	tamboril
luisiana	shreveport/monroe
lula	calamar
luminaria	difusor
luminária	difusor
luta	porrada/golpe
lápis	pico/ponta/borracha/ponta
lâmina	seção/parte
lâmpada	base/abajur/difusor/tomada/bocal
lâmpadas	base/abajur/difusor/tomada/bocal/lâmpada
légua	milha
léxico	verbete
líbano	beirute/biblo/biblos/byblo/byblos/sidom/sidon/sídon/tiro/trípoli
líbia	bengasi/tripoli/trípoli
língua	léxico/vocabulário
m	decímetro/decímetro
macedónia	skopje
macedônia	skopje
machado	lâmina/lâmina
macieira	maçã
maconha	canabis/canábis/cânabis/erva
madagascar	antananarivo/madagáscar
madagáscar	antananarivo/madagascar
magrebe	algéria/argelia/argélia/marrocos/tunisia/tunísia
mahabharata	bagavadguitá
maine	bangor/brunsvique/portland
makkah	caaba/caaba/kaaba
mala	tampa/taramela/tiradecouro/trinco/alça/tira/cabo
malaria	febre
malasia	putrajaya
malaui	lilongwe
malavi	lilongwe
malawi	lilongwe
maleta	taramela/trinco/alça/cabo
mali	bamako/tombuctu/níger
malta	valeta
malária	febre/febre
malásia	putrajaya
malávi	lilongwe
maléolo	astrágalo/tálus/tálus
mama	areola/aréola/aréola
mamadeira	chupadouro
mamute	proboscide/probóscide/tromba
mamão	mamoeiro/papaia
mamífero	pelagem/pelo/pêlo
mandrágora	mandragora
manga	cotovelo/punho
mangueira	manga
manhattan	harlem/soho
manilkara	sapotizeiro
manitoba	winnipeg
manjericão	alfavaca/alfavaca/basílico
mansão	sala
mar	baía/anunciação/golfo/baía/enseada/equinócio
marketing	propaganda/propaganda/promoção/promoção/publicidade/publicidade/anúncio/anúncio/distribuição/distribuição/distribuição/distribuição/venda/venda
marmeleiro	marmelo
marrocos	casablanca/fez/marrakech/marraquexe/oujda/rabat/tanger/tânger
maryland	annapolis/baltimore/frederico/pimlico
março	anunciação/anunciação/equinócio/equinócio
massachusetts	boston/bóston/medford/plymouth/springfield
matraca	prendedor
maturidade	maioria/adolescentes/teens/quarenta
mauritania	nouakchott
mauritânia	nouakchott
mb	kilobyte
mebibyte	kibibyte/kibibyte
meca	caaba/caaba/kaaba
mediterrâneo	adriático/corsega/creta/egeu/sardenha/chipre/córsega/malta/sicília
megabit	kilobit/kilobit/quilobit/quilobit
megabyte	kibibyte/kilobyte
megahertz	quilohertz
meia-calça	calças/ceroulas/cuecas/meia
meias-calças	calças/ceroulas/cuecas/meia
meiose	anafase/anáfase/citocinese
melancieira	melancia
melanesia	vanuatu
melanésia	vanuatu
melodia	frase
melão	meloeiro
membro	glande/uretra/coto/glande/prepúcio
memória	registrador
mento	cavaignac/cavanhaque/cavanhaque/perilla
mercado	industria/prateleira/empresa/negócio/comércio/estante
mercado/mercadinho	prateleira/estante
mercadologia	propaganda/promoção/publicidade/anúncio/distribuição/distribuição/venda
mercantilismo	transportação/transporte/expedição
mesa	gaveta/caixa/pé/louça
mesoamérica	méxico
mesopotamia	assiria/assíria/babilonia/caldeia/caldéia/babilónia/babilónia/babilônia/babilônia
mesopotâmia	assiria/assíria/babilonia/caldeia/caldéia/babilónia/babilónia/babilônia/babilônia
mesozoico	cretáceo/jurássico/triássico
mesozóico	cretáceo/jurássico/triássico
mesquita	mihrab/mihrab/minarete/minarete
mesquitas	mihrab/minarete
metabolismo	anabolismo/anabolismo/catabolismo/catabolismo/catabolismo/catabolismo
metacarpo	metacarpal/metacarpiano/metacárpico
metais	valva/valva/válvula/válvula
metro	decímetro/decímetro
metrópole	centro/centro
mexeriqueira	mandarina/mexerica/bergamota/bergamoteira/tangerineira/tangerina
mezzanino	camarote
mhz	quilohertz
miamar	mandalay/yangon/yangum/yangôn
mianmar	mandalay/yangon/yangum/yangôn
mianmá	mandalay/yangon/yangum/yangôn
michigan	detroit/flint/lansing/marquette/monroe
microcomputadores	microprocessador/microprocessadores
micronesia	micronésia
micronésia	kiribati/kiribati/kiribáti/kolonia/quiribati/quiribáti/nauru
microorganismo	pilus
microrganismo	pilus
microssegundo	nanosegundo
micrómetro	nanometro/nanómetro/nanômetro/nanômetro
micrômetro	nanometro/nanómetro/nanômetro/nanômetro
micélio	hifa
milha	furlong
milho	cereal/cereal/sabugo/sabugo/espiga/espiga/espiga/espiga
milimetro	micrómetro/micrômetro
milissegundo	microssegundo
milénio	centúria/século/séculos/século
milênio	centúria/século/séculos/século
milímetro	micrómetro/micrômetro
min	sec/s/segundo
mina	poço/chaminé
minesota	bemidji/minneapolis
minnesota	bemidji/minneapolis
minuto	sec/s/segundo/segundo
miofibrilha	sarcoplasma/sarcómero/sarcômero/sarcômero
miose	anafase/anáfase/citocinese
mississippi	columbo/greenville/natchez/nyssa
mississíppi	columbo/greenville/natchez/nyssa
missiva	melodia/linha/destino
missouri	columbia/springfield
mitose	citocinese/metafase/metáfase/prófase/telófase
miãmar	mandalay/yangon/yangum/yangôn
mm	micrómetro/micrômetro
moeda	coroa/cara
moldura	borda
moldávia	chisinau/chişinău/chișinău
molusco	cuticula/cutícula/carapaça/concha
moluscos	cuticula/cutícula/carapaça/concha
molécula	átomo/radical/cadeia
monaco	mônaco
monastério	cela/scriptorium
mongólia	ulaanbaatar
monitor	janela/osciloscópio/oscilógrafo/janela
montana	helena
montanha	cimo/vertente/cimeira/cume/declive/rampa/encosta/encosta/ladeira
montanhas	cimo/cimo/cimeira/cimeira/cume/cume/encosta/encosta
monte	cimo/vertente/cimeira/cume/declive/rampa/encosta/encosta/ladeira
morada	dormitório/cozinha/quarto/banheiro/camarim/gabinete/refeitório/salão/banheiro/sala/sala
moradia	dormitório/cozinha/quarto/banheiro/camarim/gabinete/refeitório/salão/banheiro/sala/sala
morcego	ala/asa
morro	vertente/declive/rampa/encosta/ladeira
mosaico	azulejo/tessera/téssera/téssera
moscou	kremlin
moscovo	kremlin
mostarda-preta	sinapis/sinapis
mosteiro	cela/scriptorium
motor	escapamento
moçambique	beira/maputo/zambeze
mundo	chão/hemisfério/relevo/céu/solo/terra/astro/geosfera/hidrosfera/litosfera/ar/atmosfera/estrela
munição	armamento/arma
muralha	arco/apainelamento/pórtico/pilar/acesso/porta/portão/entrada
muro	arco/apainelamento/pórtico/pilar/acesso/porta/portão/entrada
musculatura	ligamentos/tendão/ligamento/músculo
myanmar	mandalay/yangon/yangum/yangôn
máli	bamako/tombuctu/níger
máquina-de-escrever	teclado/carreta/carrinho/fita
mão	dedo/metacarpo/palma
médio-oriente	egipto/irao/iraque/irã/irão/jordania/jordânia/levante/líbano/siria/síria/turquia/coveite/cuaite/egito/israel/israel/kuwait/pérsia
méxico	acapulco/colima/culiacán/durango/guadalajara/hermosillo/iucatão/mazatlán/mexicali/monterrei/nogales/puebla/tabasco/tampico/tepic/torreón/veracruz/villahermosa/iucatã/colorado
mês	semana/meia-lua/plenilúnio
mímica	gesto
míssil	focinhos/tromba/focinho
mónaco	mônaco
nalga	glúteo
namibia	kalahari/windhoek/windhuk
namíbia	kalahari/windhoek/windhuk
nanometro	angstrom/angström/ångström
nanómetro	angstrom/angström/ångström
nanômetro	angstrom/angstrom/angström/angström/ångström/ångström
nariz	narina/venta
narração	introdução/conclusão
nascente	extremo-oriente
nasofaringe	amígdala/amígdala/tonsila/tonsila/tônsila/tônsila
natureza	característica/qualidade
navalha	lâmina
navegacão	governo
navegação	governo/governo
navio	convés/convés/brandái/escora/gávea/proa/serviola/catraca/convés/popa/timão/vigia/casco/leme/leme/volante/âncora/turco/traseiro
navios	convés/convés/brandái/escora/gávea/proa/serviola/catraca/convés/popa/timão/vigia/casco/leme/leme/volante/âncora/turco/traseiro
navios-veleiro	vela/retranca/mastro/timão/leme/volante
nação	domínio
nebrasca	lincoln/omaha
nebraska	lincoln/omaha
neerlândia	amesterdão/amsterdã/amsterdão/apeldoorn/arnhem/arnhemia/eindhoven/haia/ijsselmeer/leida/meuse/mosa/nimegue/roterdão/utrecht/reno
nepal	annapurna/catmandu/dhaulagiri/himalaia/kanchenjunga/katmandu/lhotse/makalu/nuptse
nespereira	nêspera/ameixa
neurónio	axónio/axônio/dendrite/dendrito
neurônio	axónio/axônio/dendrite/dendrito
nevada	colorado
newton	dina
nicaragua	manágua
nicarágua	manágua
niger	niamey/níger
nigeria	abuja/ibadan/katsina/lagos/maiduguri/zaria/níger
nigéria	abuja/ibadan/katsina/lagos/maiduguri/zaria/níger
nogueira	noz/nogueira-comum
nogueira-comum	noz/nogueira
noitada	meia-noite/madrugada/noite
noite	meia-noite/anoitecer/crepúsculo/pôr-do-sol/madrugada/poente/crepúsculo
nome	nominal/substantivo
northamptonshire	northampton
northumberland	flodden
noruega	bergen/lofoten/oslo/stavanger/trondheim/svalbard
nutriente	comida
nádega	glúteo
nádegas	ferrolho
nêspera	ameixa
níger	niamey
núcleo	nucleon/nucleons/nucleão/núcleon
oahu	honolulu/waikiki
oca	estalagmite/fundo
oceania	melanesia/melanésia/micronesia/polinesia/polinésia/micronésia
oceânia	melanesia/melanésia/micronesia/polinesia/polinésia/micronésia
ocultismo	aventurança/fado/destino
oculto	aventurança/fado/destino
ohio	cincinnati/cleveland/columbus/mansfield/youngstown
oklahoma	bartlesville/enid/muskogee/arcansas
olfato	narina/venta
olho	pálpebra/conjuntiva/coroide/coróide/cristalino/córnea/epicanto/epicanto/esclera/esclerótica/retina/íris/úvea/íris/lente/abertura
oliveira	oliva/azeitona/azeitona
oman	mascate
ombro	axila/escápula/escápula/espádua/espádua/omoplata/omoplata/sovaco
omoplata	acrômio
omã	mascate
ontario	toronto/hamilton/otava
ontogenia	gastrulação
ontogénese	gastrulação
ontário	toronto/hamilton/otava
onça	dracma/dracma
operação	hemostase/hemostasia/incisão
oração	cláusula/constituinte
oregano	manjerona
oregon	salem
orelha	gabionada/lóbulo/tímpano
organismo	célula/anatomia
organização	hierarquia/hierarquia
oriente	extremo-oriente/extremo-oriente
orla	praia
orquídea	queixo
ortografia	caracter/caractér/carácter/letra/hifenização/hifenização
orégano	manjerona
orégão	manjerona
osso	medula/tutano
osteomalacia	desmineralização
ostra	marisco
outono	veranico
ovação	aplauso
ovelha	ubre/úbere/anho/borrego/borrego/cordeiro/carneiro/pé
ovinos	pé
ovo	casca/albumen/albúmen/clara/gema/gema
ovário	placenta
pacto	termo/condição
pacífico	aleutas/australasia/australásia/mardebering/oceania/oceânia/filipinas/japão
paica	ene
palavra	sílaba/afixo/baite/byte
paleozoico	cambriano/cambriano/carbonífero/devoniano/devónico/ordoviciano/permiano/siluriano
paleozóico	cambriano/cambriano/cambriano/cambriano/carbonífero/carbonífero/devoniano/devoniano/devónico/devónico/ordoviciano/ordoviciano/permiano/permiano/siluriano/siluriano
palmeira	côco/coco
paludismo	febre
panela	taramela/trinco/alça/cabo
pano	bainha
paquistão	carachi/caxemira/faisalabad/hindukush/indocuche/islamabad/lahore/pamir/peshawar/rawalpindi/hyderabad
paraguai	assunção/paraná
