abacateiro	persea
estado-unidense	e.u.a./eeuu/eua/américa
estirpe	espécie/espécies/espécie
estrela	constelação/galáxia/nebulosa
estrepeiro	crataegus
estrige	coruja/strigiformes
estrilda	ploceinae
esturjão-branco	acipenser
etrusco	etrúria
etíope	abissínia/etiopia/etiópia
eua	oea/otan
eubalaena	baleia-franca
eufórbio	euphorbia
eugenia	myrtaceae
eumops	molossidae
euonymus	celastraceae
eupatorium	asteraceae
euphorbia	euphorbiaceae
euphorbiaceae	geraniales
euriptéridos	merostomata
eustoma	gentianaceae
exacum	gentianaceae
exército	corpo
f	melissa
fabaceae	rosales
fabiana	solanaceae
faculdade	instituto/escola/universidade
fagaceae	fagales
fagopyrum	polygonaceae
fagáceas	fagales
faia	fagaceae/fagáceas
faia-europeia	faia
falcao	falconidae/falconídeos
falcatifolium	podocarpaceae
falco	falconidae/falconídeos
falconidae	falconiformes
falconiformes	aves
falconídeos	falconiformes
falcão	falcao/falco/falconidae/falconídeos
falcão-americano	falcao/falco/falcão
falcão-do-tanoeiro	accipiter
falecido	morto
família	ordem
fauna	biota/biologia
fava	vicia
feijão	fabaceae/phaseolus
feijão-de-lima	phaseolus
feijão-de-porco	canavalia
felicia	asteraceae
felino	carnivora/carnívoros/felinos/felídeos
felinos	carnivora/carnívoros
felis	felino/felinos/felídeos
felídeos	carnivora/carnívoros/felino/felinos
feminista	feminismo
festuca	poaceae
ficante	compromisso
ficomiceto	fungi/fungos
ficus	moraceae
figo-da-índia	opuntia
figueira	ficus/moraceae
filho	família
filipinas	asean
filipino	filipinas
filo	reino
finlandês	finlândia
finlândia	ue
firmiana	sterculiaceae/sterculioideae
fissípedes	placentalia/placentários
fitoplâncton	plancton/plâncton
flacourtia	flacourtiaceae
flamboyant	caesalpinioideae
flamingo	phoenicopteridae
flaviviridae	família/classe
flavivirus	flaviviridae/flavivírus
flavivírus	flaviviridae/família/classe
flora	biota/biologia/plantae
foca-comum	phoca
foeniculum	apiaceae
formicariidae	tyranni
formicarius	formicariidae
fothergilla	hamamelidaceae
frade	irmandade/fraternidade/ordem
frade-fedorento	phalangium
francesa	frança
franco-maçom	francomaçonaria/maçonaria
francês	frança
frança	otan/ue
fraxinus	oleaceae
fregatidae	pelecaniformes
freixo	fraxinus
fremontodendron	sterculiaceae/sterculioideae
fringilla	fringillidae
fritillaria	liliaceae
frota	armada/marinha
fruta-pão	artocarpus
fucaceae	fucales
fuinho	pica-pau/picapau/picidae
fulica	rallidae
fulmar	procellariidae
fumaria	fumariaceae
funcho	foeniculum
fungo	fungi/fungos
fungos	fungi
furnariidae	furnarius
furnariídeos	furnarius
fénix	arecaceae/palmeira
fênix	arecaceae/palmeira
gadidae	gadiformes
gado	grei/manada/rebanho/bos
gaivão	andorinhão/apodidae
galanga	cyperus
galangal	cyperus
galeirão	fulica
galeirão-americano	fulica
galináceo	galliformes
galium	rubiaceae
galliformes	aves
gallinula	rallidae
gallirallus	rallidae
galáxia	cosmo/universo/mundo/criação
gambiano	gâmbia
gambusia	poeciliidae
gangster	gangue/quadrilha
gansa	anatidae
ganso	anatidae
ganso-do-canadá	branta
gar	belonidae/bicuda
garança	rubiaceae
garcinia	clusiaceae
garça	ardeidae
gastrópodes	molusco/moluscos/moluscos
gato	felino/felinos/felis/felídeos
gato-bravo	felis
gato-de-pallas	felis
gato-do-mato	felis
gato-leopardo	felis
gato-maracajá	felis
gato-mourisco	felis
gaultheria	ericaceae
gavião	accipitridae
gaylussacia	ericaceae
gelechiidae	lepidoptera
gelsemium	loganiaceae
gempylidae	perciformes
genciana	gentianaceae
genciana-amarela	gentiana
genciana-de-turfeiras	gentiana
gendarme	gendarmaria
gengibre	zingiber
genitor	família
genovez	genova/génova/gênova
gente	humanidade/mundo/homem/povo
gentiana	gentianaceae
gentianaceae	gentianales
gentianales	magnoliopsida
gentianella	gentianaceae
gentianopsis	gentianaceae
geometridae	lepidoptera
georgiano	geórgia
geothlypis	parulini
geraniaceae	geraniales
geraniales	rosidae
gerbera	asteraceae
gergelim	sesamum
gerifalte	falcao/falco/falcão
gerreidae	perciformes
gerridae	percevejos/percevejo
gerânio	erodium/geraniaceae
geum	rosaceae
geórgia	cei
gilbratariano	gibraltar
gimnofiono	caeciliidae
ginja	eugenia
glaucium	papaveraceae
glaux	primulaceae
glechoma	lamiaceae
gleditsia	caesalpinioideae
gliridae	myomorpha
glossodia	orchidaceae/orquidea/orquídea
glossopsitta	loriinae
glyceria	poaceae
gnaphalium	asteraceae
gnatostomados	craniata
gobiesocidae	perciformes
gobiidae	perciformes
gobio	cyprinidae
goiabeira	psidium
golfinho	coryphaenidae
golfinho-comum-de-bico-curto	golfinho-comum-de-bico-longo
gomphrena	amarantaceae/amaranthaceae
goodeniaceae	campanulales
goodyera	orchidaceae/orquidea/orquídea
gossypium	malvaceae
gralha	pica
grammatophyllum	orchidaceae/orquidea/orquídea
gramínea	poaceae
gramíneas	poaceae
granada	oea
grande-rorqual	balaenoptera
graptophyllum	acanthaceae
grego	grécia
grias	lecythidaceae
grifo	gyps
grindelia	asteraceae
gringo	norte
griseliniaceae	cornaceae
groenlandia	potamogetonaceae
groselheira	ribes
grossulariaceae	rosales
grou	gruidae
grua	gruidae
gruidae	gruiformes
gruiformes	aves
grus	gruidae
grã-bretanha	otan/ue
grécia	otan/ue
guaiacum	zygophyllaceae
guaiúle	parthenium
guanaco	lama
guarda	polícia/lei
guatemala	oea
guatemalense	guatemala
guatemalteco	guatemala
guaxinim	procyon
guepardo	acinonyx
gutierrezia	asteraceae
gymnadenia	orchidaceae/orquidea/orquídea
gymnocladus	caesalpinioideae
gymnophiona	caeciliidae
gynura	asteraceae
gyps	accipitridae
gypsophila	caryophyllaceae
gângster	gangue/quadrilha
género	família/classe
gérbera	asteraceae
gênero	família/classe
habenaria	orchidaceae/orquidea/orquídea
hackelia	boraginaceae
haemanthus	amaryllidaceae
haematopus	charadriiformes
haematoxylum	caesalpinioideae
haemodoraceae	liliales
haemulidae	perciformes
haiti	oea
hakea	proteaceae
halenia	gentianaceae
halesia	styracaceae
haliaeetus	accipitridae
haliotidae	gastrópodes
halocarpus	podocarpaceae
haloragaceae	myrtales
hamster-sírio	mesocricetus
haplopappus	asteraceae
hazardia	asteraceae
hedeoma	lamiaceae
helenium	asteraceae
heleno	grécia
heliamphora	sarraceniaceae
helichrysum	asteraceae
helicidae	pulmonata
helicteres	sterculiaceae/sterculioideae
helipterum	asteraceae
helix	helicidae
helmintologia	cestoda/trematoda
helwingiaceae	cornaceae
heléboro	veratrum
hemerobiidae	neuroptera
hemerocallidaceae	liliaceae
hemiprocnidae	apodiformes
hemípteros	enxame/nuvem
hereros	angola/botsuana/botswana/namibia/namíbia
hererós	angola/botsuana/botswana/namibia/namíbia
heritiera	sterculiaceae/sterculioideae
heteranthera	pontederiaceae
heteromeles	rosaceae
heuchera	saxifragaceae
hevea	euphorbiaceae
hexalectris	orchidaceae/orquidea/orquídea
hexanchidae	elasmobranchii
hibbertia	dilleniaceae
himantoglossum	orchidaceae/orquidea/orquídea
himenópteros	hymenoptera
hindu	hinduismo/india/índia/hinduísmo
hippocastanaceae	sapindales
hipposideros	hipposideridae
hirundo	andorinha/hirundinidae
hoheria	malvaceae
holanda	benelux/otan/ue
holando	benelux/otan/ue
holandês	holanda/holando/neerlândia
holcus	poaceae
hominídeo	hominidae
homogyne	asteraceae
homoptera	hemiptera
honduras	oea
hordeum	poaceae
hortelã	mentha
hosta	liliaceae
houttuynia	saururaceae
hudsonia	cistaceae
hulsea	asteraceae
hunnemannia	papaveraceae
hutus	burundi/burúndi/ruanda
hyacinthaceae	liliaceae
hyacinthoides	liliaceae
hyalosperma	asteraceae
hybanthus	violaceae
hydnocarpus	flacourtiaceae
hydnoraceae	aristolochiales
hydrangeaceae	rosales
hydrobatidae	procellariiformes
hydrocharis	hydrocharitaceae
hydrozoa	cnidarios/cnidários
hyla	hylidae/perereca
hylophylax	formicariidae
hymenaea	fabaceae
hyoscyamus	solanaceae
hypericum	clusiaceae
hypochaeris	asteraceae
hypoxidaceae	liliales
hypoxis	hypoxidaceae
hyracotherium	equidae/equídeos
hystricidae	hystricomorpha
húngara	hungria
húngaro	hungria
hútus	burundi/burúndi/ruanda
ianque	norte
iaque	bos
iberis	brassicaceae
icterus	icterini
iemenita	iemen/iémen/iêmen
ies	faculdade/instituto/escola
ilex	aquifoliaceae
ilha	arquipélago
india	opep
indiano	india/índia
indivíduo	população/gente/pessoal/povo
indonesia	asean/opep
indonésia	asean/opep
indonésio	indonesia/indonésia
indridae	lemuroidea
inglesa	inglaterra
inglês	inglaterra
inhame	dioscorea
insecto	enxame/hemiptera/nuvem
insectos	enxame/nuvem
insectívoros	placentalia/placentários
inseto	enxame/hemiptera/nuvem
insetos	enxame/nuvem
instituto	faculdade/escola/universidade
ipomoea	convolvulaceae
iraniano	irao/irã/irão/pérsia
irao	opep
iraque	opep
iraquiano	iraque
iridaceae	liliales
irlanda	ue
irlandês	irlanda
irmã	sororidade/família
irmão	irmandade/fraternidade/família/ordem
irvingia	simaroubaceae
irã	opep
irão	opep
isatis	brassicaceae
islandês	islândia
islândia	otan
isopodos	malacostraca
isopyrum	ranunculaceae
israelense	israel
israelita	israel
isópodos	malacostraca
italia	otan/ue
italiano	italia/itália
itália	otan/ue
iugoslavo	iugoslávia/jugoslávia
ixia	iridaceae
ixobrychus	ardeidae
jaca	artocarpus
jacarandá-da-bahia	dalbergia
jacaré	crocodilianos/crocodilos
jacquinia	theophrastaceae
jaculus	dipodidae
jaguar	panthera
jaguarapinima	panthera
jaguaretê	panthera
jaguarundi	felis
jaguatirica	felis
jamaica	oea
jamaicano	jamaica
japonês	japão
jasmim	oleaceae
jasmim-da-noite	cestrum
jatropha	euphorbiaceae
jau	java
javali	dela/seu
javan	java
javanês	java
javardo	dela/seu
jegue	equus
jerico	equus
jibóia	boidae
joaninha	coccinellidae
jordaniano	jordania/jordânia
juglandaceae	juglandales
juglandales	magnoliopsida
juizado	autoridades/regime/governo
jujuba	ziziphus
jumento	equus
juncaceae	liliales
juncus	juncaceae
juniperus	cupressaceae
jurado	júri
juror	júri
juruva	coraciiformes
júri	juizado/tribunal/corte
khaya	meliaceae
khmer	camboja
kirkia	simaroubaceae
knightia	proteaceae
kuwait	opep
kuwaiti	coveite/cuaite/kuwait
kyphosidae	perciformes
labridae	perciformes
lacerta	lacertidae
lacraia	miriápodes/myriapoda
lactobacillaceae	monera
lactuca	asteraceae
lady	pariato/nobreza
lagarta	lepidoptera
lagenaria	cucurbitaceae
lagerstroemia	lythraceae
lagidium	chinchillidae
lagomorfos	placentalia/placentários
lagorchestes	macropodidae
lagosta	reptantia
lagostomus	chinchillidae
laguncularia	combretaceae
lambertia	proteaceae
lambis	strombidae
lamium	lamiaceae
lamnidae	elasmobranchii
lancastriano	lancastre
lanius	laniidae
lao	asean
laos	asean
laosiano	lao/laos/laus
laportea	urticaceae
lapão	lapónia/lapônia
lapônio	lapónia/lapônia
lardizabala	lardizabalaceae
lardizabalaceae	ranunculales
larice	larix
larix	pinaceae
lariço	larix
lariço-europeu	larix
larrea	zygophyllaceae
larus	laridae/larídeos
larva	lepidoptera
lasiocampidae	lepidoptera
lasthenia	asteraceae
lates	centropomidae
lauraceae	ranunculales
laurus	lauraceae
laus	asean
lavanda	lavandula
lavandula	lamiaceae
lavatera	malvaceae
laverca	alauda
layia	asteraceae
lebre	lepus
lebre-comum	lepus
lebre-ártica	lepus
lebrão	lepus
lecythidaceae	myrtales
ledum	ericaceae
legionário	legião
legislatura	autoridades/regime/governo
leigo	laico
leitão	dela/seu
lemingue	cricetidae
lemuridae	lemuroidea
lemuroidea	primatas
lenda	mitologia
leonotis	lamiaceae
leontopodium	asteraceae
leonurus	lamiaceae
leopardo	panthera
leopardo-das-neves	panthera
lepechinia	lamiaceae
lepidium	brassicaceae
lepidobotryaceae	geraniales
lepidothamnus	podocarpaceae
lepidópteros	lepidoptera
lepisosteiformes	belonidae/bicuda
lepisosteus	lepisosteidae
leporidae	lagomorfos
leptodactylus	leptodactylidae
lepus	leporidae
lesma	limacidae
lesquerella	brassicaceae
letra	alfabeto
letão	letonia/letónia/letônia
leucadendron	proteaceae
leucaena	mimosoideae
leucanthemum	asteraceae
lewisia	portulacaceae
leycesteria	caprifoliaceae
leymus	poaceae
leão	panthera
leão-baio	felis
leão-da-montanha	felis
liatris	asteraceae
libanês	líbano
libocedrus	cupressaceae
ligularia	asteraceae
ligustrum	oleaceae
liliaceae	liliales
liliales	liliidae
lilás	syringa
limacidae	gastrópodes
limax	limacidae
limonium	plumbaginaceae
linanthus	polemoniaceae
linaria	scrophulariaceae
lindera	lauraceae
linguado	solha
linha	tabela
linho	linum
linnaea	caprifoliaceae
linum	linaceae
liomys	heteromyidae
liriodendron	magnoliaceae
liriope	liliaceae
lirăo	gliridae
listera	orchidaceae/orquidea/orquídea
lithocarpus	fagaceae/fagáceas
lithophragma	saxifragaceae
lithospermum	boraginaceae
lituano	lituania/lituânia
lituânico	lituania/lituânia
lituânio	lituania/lituânia
livistona	arecaceae/palmeira
livro	jogo/grupo
loba	canis
lobata	tentaculata
lobo	canis
lobularia	brassicaceae
locomotiva	caminhos-de-ferro/locomotivas/trem/comboio
locomotivas	caminhos-de-ferro/trem/comboio
lofiformes	lophiidae
logania	loganiaceae
loganiaceae	gentianales
londrino	london/londres/londrina
longan	dimocarpus
lonicera	caprifoliaceae
lophiiformes	lophiidae
loranthaceae	santalales
loranthus	loranthaceae
loriinae	papagaio/psittacidae
lorisidae	lemuroidea
loureiro	laurus
louro	laurus
lovoa	meliaceae
loxia	fringillidae
lucy	australopithecus
lunaria	brassicaceae
lunda	torda
luscinia	turdidae/turdinae/turdídeos
lusitano	portugal
luso	portugal
lutjanidae	perciformes
lutjanus	lutjanidae
lutrinae	mustelídeos
luxemburgo	benelux/otan/ue
luxemburguês	luxemburgo
lycaenidae	lepidoptera
lycium	solanaceae
lycopersicon	solanaceae
lycophyta	plantae
lycopodiophyta	plantae
lycopus	lamiaceae
lycosa	aranha-lobo/lycosidae
lycosidae	aranhas/aranha
lymantriidae	lepidoptera
lyonia	ericaceae
lysichiton	araceae
lysimachia	primulaceae
lythraceae	myrtales
lythrum	lythraceae
láquesis	moiras
lémure	lemuroidea
lêmingue	cricetidae
lêmure	lemuroidea
líbia	opep
lírio	liliaceae
lúpulo	humulus
macaco-prego-de-cara-branca	cebus
macedônico	macedónia/macedônia
macedônio	macedónia/macedônia
machaeranthera	asteraceae
macleaya	papaveraceae
maclura	moraceae
macropus	macropodidae
madia	asteraceae
madressilva	lonicera
mafioso	máfia
magnoliaceae	ranunculales
magnoliidae	magnoliopsida
magnoliophyta	espermatófita
magnoliopsida	angiosperma/magnoliophyta
magydaris	asteraceae
mahonia	berberidaceae
maianthemum	liliaceae
mal-me-quer	bellis
malacanthidae	perciformes
malacothamnus	malvaceae
malaio	malasia/malásia
malasia	asean
malaxis	orchidaceae/orquidea/orquídea
malcolmia	brassicaceae
maldivo	maldivas
maliense	mali/máli
malpighia	malpighiaceae
malpighiaceae	geraniales
maltês	malta
malva	malvaceae
malvaceae	malvales
malvales	dilleniidae
malvaviscus	malvaceae
malásia	asean
mammea	clusiaceae
mamoncillo	melicoccus
mamão	carica/cárica
mamífero	placentalia/placentários
mandril	mandrillus
mangais	rhizophora
mangue	rhizophora
mangue-branco	laguncularia
mangue-vermelho	rhizophora
manihot	euphorbiaceae
manilkara	sapotaceae
maniraptora	terópoda/terópodes
marchantiaceae	marchantiales
margarida	bellis/leucanthemum
margarida-vulgar	bellis
margaridinha	bellis
marginal	gangue/quadrilha
marginocephalia	ornitísquios
marido	casal/casamento
mariquita	parulini
marroquino	marrocos
marrubium	lamiaceae
maruim	nematocera
mastruço	brassicaceae/lepidium
matricaria	asteraceae
matricária	asteraceae
matthiola	brassicaceae
maçom	francomaçonaria/maçonaria
meconopsis	papaveraceae
medusa	cnidarios/cnidários
megaderma	megadermatidae
megaloptera	neuroptera
megalosauridae	terópoda/terópodes
melampodium	asteraceae
melancia	citrullus
melancieira	citrullus
melanerpes	pica-pau/picapau/picidae
melanotis	mimini
melanthiaceae	liliaceae
melastoma	melastomataceae
melastomataceae	myrtales
melia	meliaceae
meliaceae	geraniales
melicoccus	sapindaceae
melicytus	violaceae
melissa	lamiaceae
melro	turdus
melro-preto	turdus
melão-de-são-caetano	momordica
menino	família
menispermaceae	ranunculales
menispermum	menispermaceae
menta	mentha
mentha	lamiaceae
mentzelia	loasaceae
menyanthaceae	gentianales
menyanthes	menyanthaceae
menziesia	ericaceae
merginae	anatidae
mergus	merginae
meropidae	coraciiformes
merops	abelharuco/meropidae
merostomata	chelicerata
mertensia	boraginaceae
meryta	araliaceae
mescal	lophophora
mesembryanthemum	aizoaceae
mesocricetus	cricetidae
mesquite	prosopis
mestre	colégio/escola
mesua	clusiaceae
metroxylon	arecaceae/palmeira
mexicana	méxico
mexicano	méxico
mexoeira	pennisetum
miamar	asean
mianmar	asean
mianmá	asean
microdesmidae	perciformes
microdipodops	heteromyidae
micromeria	lamiaceae
microstrobos	podocarpaceae
microtus	cricetidae
mikania	asteraceae
milhafre	accipitridae/buteo
milharós	paridae
milhete	poaceae
milho	poaceae
militar	exército
miltonia	orchidaceae/orquidea/orquídea
milvus	accipitridae
milícia	corpo
mimosoideae	fabaceae
mimus	mimini
minhoca	oligochaeta
minuartia	caryophyllaceae
miosótis	myosotis
mirabilis	nyctaginaceae
mirtilo	gaylussacia/vaccinium
mitchella	rubiaceae
mitella	saxifragaceae
mito	mitologia
miãmar	asean
moa	dinornithidae
mocho	coruja/strigiformes
moehringia	caryophyllaceae
mogno	meliaceae
moldávia	cei
molothrus	icterini
molusco	moluscos
moluscos	molusco
momordica	cucurbitaceae
momotidae	coraciiformes
monacanthidae	balistidae/peixe-porco
monagasco	monaco/mónaco/mônaco
monardella	lamiaceae
monodontidae	cetáceos
monotropa	monotropaceae
monotropaceae	ericales
monstro-de-gila	helodermatidae
montia	portulacaceae
moraceae	urticales
morango	morangueiro
morangueiro	rosaceae
morcego-anão	pipistrellus
morone	serranidae
morte	morto
morus	moraceae
mosca	musca
mosca-doméstica	musca
moscardo	tabanidae
mostarda-castanha	brassica
mostarda-preta	brassica
motacilla	motacillinae
moçambicano	moçambique
moçambiquense	moçambique
mu	equus
muflão	ovis
muflăo	ovis
muhlenbergia	poaceae
mula	equus
mulo	equus
mulá	ulema/ulemá
muridae	muroidea
muroidea	myomorpha
murta-comum	myrtaceae
musca	muscidae
muscari	liliaceae
musophaga	musophagidae/musophagiformes
musophagidae	cuculiformes
musophagiformes	cuculiformes
mustelídeos	carnivora/carnívoros
mutuca	tabanidae
muçulmano	islame/islã/islão/maometismo/islamismo
muçulmanos	islame/islã/islão/maometismo/islamismo
myadestes	turdidae/turdinae/turdídeos
myanmar	asean
mycteroperca	serranidae
myosotis	boraginaceae
myrcia	myrtaceae
myrica	myricaceae
myriophyllum	haloragaceae
myristicaceae	ranunculales
myrrhis	apiaceae
myrsinaceae	primulales
myrsine	myrsinaceae
myrtaceae	myrtales
myrtales	rosidae
mysidacea	malacostraca
myxine	peixe-bruxa
máquina	caminhos-de-ferro/locomotivas/trem/comboio
mãe	família
méxico	oea
nabo	brassica
nageia	podocarpaceae
nahuatl	tribo
naipe	baralho
naja	elapidae
najas	najadaceae
namorado	boda/casamento
napeia	malvaceae
napolitana	nápoles
napolitano	nápoles
napéia	malvaceae
natrix	colubridae
nauruano	nauru
nauruense	nauru
navio	frota
navios	frota
nebelia	colubridae
nebulosa	cosmo/universo/mundo/criação
nectarina	prunus
necturus	proteidae
neem	azadirachta
neerlandês	holanda/holando/neerlândia
neerlândia	benelux/otan/ue
nelumbonaceae	nymphaeaceae
nenúfar	nymphaeaceae
nepali	nepal
nepeta	lamiaceae
nephelium	sapindaceae
nephropidae	reptantia
neritidae	gastrópodes
nesokia	muridae
nespereira	eriobotrya
nicaraguense	nicaragua/nicarágua
nigeriano	nigeria/nigéria
noctuidae	lepidoptera
nogueira	nogueira-comum/nogueira-comum
nogueira-comum	nogueira
nogueira-pecã	carya
noitibó-da-europa	caprimulgus
noiva	boda/casamento
noivo	boda/casamento
nolina	agavaceae
nominal	declinação
normando	normandia
norte-americano	e.u.a./eeuu/eua/américa
nortista	norte
noruega	otan/escandinávia
norueguesa	noruega
norueguês	noruega
nothofagus	fagaceae/fagáceas
notophthalmus	salamandridae
notropis	cyprinidae
nuda	ctenophora
numenius	scolopacidae
numididae	phasianidae
nuphar	nymphaeaceae
nyctaginaceae	caryophyllales
nyctereutes	canídeos
nycticebus	lorisidae
nycticorax	ardeidae
nymphaea	nymphaeaceae
nymphaeaceae	ranunculales
nymphalidae	lepidoptera
nyssaceae	myrtales
não-me-esqueças	myosotis
não-te-esquece	myosotis
nécton	agregado/agregação/aglomeração
nêspera	eriobotrya
núbio	núbia
número	série
oceanites	hydrobatidae/painhos/paínho/painho
ocelote	felis
ochna	ochnaceae
ocimum	lamiaceae
odonatos	odonata
oedogoniales	chlorophyceae
oenanthe	apiaceae
oenothera	onagraceae
olea	oleaceae
oleaceae	gentianales
olearia	asteraceae
oliveira	olea
olmecas	tribo
olmo	ulmeiro
omanense	oman/omã
onagraceae	myrtales
oncorhynchus	salmonidae
onopordum	asteraceae
onça	panthera
onça-parda	felis
onça-pintada	panthera
onça-preta	panthera
operário	proletariado
ophiurida	ophiuroidea
ophiuroidea	equinoderme/equinodermes
ophrys	orchidaceae/orquidea/orquídea
opisthobranchia	gastrópodes
opistognathidae	perciformes
ora-pro-nobis	pereskia
ordem	espécies/classe
orectolobidae	elasmobranchii
oriolus	oriolini
orites	proteaceae
ornithogalum	liliaceae
orontium	araceae
orquídea	orchidaceae/orquidea
orthilia	pyrolaceae
ortópteros	orthoptera
oryza	poaceae
oryzomys	cricetidae
oryzopsis	poaceae
osmanthus	oleaceae
osmundaceae	polypodiales
osteichthyes	craniata
osteoglossiformes	teleostei
ostrya	betulaceae
ostryopsis	betulaceae
otididae	gruiformes
otus	strigidae
ouranopithecus	hominidae
ouriço	erinaceus
ouriço-do-mar	echinoidea
ouriço-terrestre	erinaceus
ouvinte	audiências/ouvintes/público
ovelha	grei/manada/rebanho/gado/ovis
ovinos	grei/manada/rebanho/gado/ovis
ovis	bovídeos
oxalidaceae	geraniales
oxandra	annonaceae
oxfordiano	oxford
oxicoco	vaccinium
oxydendrum	ericaceae
ozothamnus	asteraceae
packera	asteraceae
pagrus	sparidae
pai	família
paineira-vermelha-da-índia	bombax
painho	procellariiformes
painhos	procellariiformes
palanca	bovídeos
palha-da-costa	arecaceae/palmeira
paliurus	rhamnaceae
palma	arecaceae/palmeira
palmeira	arecaceae
panamenho	panamá
panamá	oea
panda	ailuropoda
panda-gigante	ailuropoda
pandanaceae	pandanales
pandanales	arecidae
panicum	poaceae
pantera	felis
panthera	felino/felinos/felídeos
pantufo	equus
papa	papado
papagaio-do-mar	torda
papaver	papaveraceae
paphiopedilum	orchidaceae/orquidea/orquídea
papoila	papaver/papaveraceae
papoila-dormideira	papaver
papoula	papaver/papaveraceae
paquistanês	paquistão
par	pariato/nobreza
paracheirodon	characidae
paraguai	oea
paraguaio	paraguai
paraquedista	paraquedistas
parceiro	sócios
pardal	passer/passeridae
parente	clã/familia/tribo/família
pargo	lutjanidae
parietaria	urticaceae
parisiense	paris
parkia	mimosoideae
paroquiano	freguesias/paroquianos/paróquia
parthenium	asteraceae
parthenocissus	vitaceae
partida	homens/mão-de-obra
parus	paridae
paspalhaça	alauda
passer	passeridae
passerina	emberizidae/emberizini
passiflora	passifloraceae
pastel	isatis
pastor	clero
pata	anatidae
patchouli	pogostemon
patinho	anas
pato	anatidae
pato-carolino	aix
pato-real	anas
patrício	nobreza/aristocracia/nobreza
payena	sapotaceae
paínho	procellariiformes
pectinidae	bivalves/bivalvia
pedilanthus	euphorbiaceae
pega	pica
pega-rabuda	pica
peiote	lophophora
peixe	cardume
peixe-boi	sirenia
peixe-bruxa	cyclostomata
peixe-cachimbo	syngnathidae
peixe-gato	silurus
peixe-papagaio	perciformes
pelargonium	geraniaceae
pelecaniformes	aves
pelotão	companhia
peltandra	araceae
pempheridae	teleostei
peneireiro-vulgar	falcao/falco/falcão
penelope	cracidae
pennisetum	poaceae
penstemon	scrophulariaceae
pepino	cucumis
pepino-do-mar	equinoderme/equinodermes
perca	perciformes
percevejo	hemiptera
percevejos	hemiptera
percidae	perciformes
perciformes	acanthopterygii
percina	percidae
percophidae	perciformes
perdiz-grega	alectoris
pericallis	asteraceae
periplaneta	blattidae
periquito-namorado	agapornis
pernis	accipitridae
perognathus	heteromyidae
peromyscus	cricetidae
perrexil	petroselinum
persa	irao/irã/irão/pérsia
persea	lauraceae
persoonia	proteaceae
peru	oea
peruano	peru
pessegueiro	prunus
pessoa	população/gente/pessoal/povo
pessoal	humanidade/mundo/homem/povo
petasites	asteraceae
petaurus	phalangeridae
petrel	procellariidae
petrel-mergulhador	procellariiformes
petroselinum	apiaceae
phalacrocoracidae	pelecaniformes
phalaenopsis	orchidaceae/orquidea/orquídea
phascogale	dasyuridae
phascolarctos	phalangeridae
phasianidae	galliformes
phellodendron	rutaceae/rutáceas
phillyrea	oleaceae
phlebotomus	psychodidae
phleum	poaceae
phoenicopteridae	ciconiiformes
phoeniculidae	coraciiformes
phoeniculus	phoeniculidae
phoenicurus	turdidae/turdinae/turdídeos
phoradendron	viscaceae
photinia	rosaceae
phoxinus	cyprinidae
phragmipedium	orchidaceae/orquidea/orquídea
phyllodoce	ericaceae
physalis	solanaceae
physidae	pulmonata
phytolaccaceae	caryophyllales
pica	corvidae
pica-pau	picapau/picidae/piciformes
pica-pau-bico-de-marfim	campephilus
picanço	laniidae
picapau	piciformes
picea	pinaceae
picidae	piciformes
piciformes	aves
picrasma	simaroubaceae
picris	asteraceae
picus	pica-pau/picapau/picidae
pieridae	lepidoptera
pilea	urticaceae
pilosella	asteraceae
pilreteiro	crataegus
pilriteiro	crataegus
pimenta	myrtaceae
pimenta-do-reino	piper
pimenta-longa	piper
pimenta-preta	piper
pimpinella	apiaceae
pinaceae	coníferas
pinguicula	lentibulariaceae
pinguim	spheniscidae
pinguim-africano	spheniscus
pinguim-imperador	aptenodytes
pinguim-rei	aptenodytes
pingüim-africano	spheniscus
pinheiro	abies/pinaceae/pinus/abeto
pintasilgo	carduelis
pinus	pinaceae
piolho	anoplura
piper	piperaceae
piperaceae	piperales
piperales	magnoliopsida
pipra	pipridae
pipridae	tyranni
piptadenia	mimosoideae
pipturus	urticaceae
pirambeba	characidae
piranga	thraupini
piranha	pirambeba
pirilampo	lampíride/lumeeira/vaga-lume
pirilteiro	crataegus
pisonia	nyctaginaceae
pistache	pistacia
pistacia	anacardiaceae
pita	agavaceae
pitanga	eugenia
piteira	agavaceae
pithecellobium	mimosoideae
plancton	agregado/agregação/aglomeração
planta	plantae
plantago	plantaginaceae
platanaceae	rosales
platanthera	orchidaceae/orquidea/orquídea
platao	atenas
platystemon	papaveraceae
platão	atenas
plebeu	galera/vulgo/nação/gente/pessoal/povo
pleione	orchidaceae/orquidea/orquídea
pleiospilos	aizoaceae
plesiossauro	sauropterygia
pleuronectes	pleuronectidae
pleurotus	agaricaceae
ploceus	ploceinae
plumbaginaceae	primulales
plumbaginales	primulales
plumeria	apocynaceae
pluvialis	charadriidae
plátano	platanaceae
plâncton	agregado/agregação/aglomeração
plêiades	taurus/touro
poa	poaceae
podargidae	caprimulgiformes
podargus	podargidae
podicipedidae	aves
podocarpaceae	coníferas
podocarpus	podocarpaceae
podophyllum	berberidaceae
poeciliidae	cypriniformes
pogostemon	lamiaceae
polaco	polonia/polónia/polônia
polianthes	agavaceae
policial	polícia/lei
