1940s	decênio/década
bimestre	etapa/tempo/período
bimilenio	etapa/tempo/período
binómio	soma/quantidade/número
binômio	soma/quantidade/número
bioengenharia	engenharia/tecnologia
biofísica	física/física
biogeografia	biologia
biografia	crónica/crônica
biografista	autor/escritor
biologia	colecção/coleção/aglomeração/acúmulo/vida/vida
biologista	cientista
biomassa	carburante/combustível
biombo	superfície
biorremediação	tratamento
biosfera	região
biossegurança	segurança
biota	colecção/coleção/aglomeração/acúmulo
biotecnologia	engenharia/tecnologia
biplano	aeroplano/avião
bisbilhotice	contas/reporte/relato/relatório
bisbolhetice	contas/reporte/relato/relatório
biscoito	bolo
bisel	aresta
bismuto	metal/metais/metais
bisonte	bovídeos
bispado	cargo/posto/posição
bissecção	divisão
bissetriz	divisão/linha
bissexualidade	transa/sexo
bisso	thread/fibras/fibra
bistrô	restaurante
bisão	bovídeos
bisão-americano	bovídeos
bisão-europeu	bovídeos
bit	medida/medição/unidade
bite	medida/medição/unidade
bitola	metro
bituca	porção/parte
biógrafo	autor/escritor
biólogo	cientista
biónica	engenharia/engenharia/tecnologia/tecnologia
bióxido	óxido
biônica	engenharia/tecnologia
blastema	célula
blastómero	célula
blastômero	célula
blaxploitation	victimização/exploração
blefarite	inflamação
blenda	minérios/mineral
blitzkrieg	ataque/ataque
bloco	colecção/coleção/aglomeração/acúmulo/papel/artefato/sólida/território/ambiente/região/área/sólido
blogueira	alguém/indivíduo/alma/pessoa
blogueiro	alguém/indivíduo/alma/pessoa
bloguista	alguém/indivíduo/alma/pessoa
bloqueador	medicamento/remédio
bloqueamento	obstrução
bloqueio	combate/batalha/incapacidade
boato	bisbilhotice/bisbolhetice/fofoca
bobagem	equívoco/engano/falha/erro/mensagem/mensagem/tópico/tópico/assunto/assunto/conteúdo/conteúdo
bobeira	feição/peculiaridade
bobine	edifício/tecido/estrutura
boca	abordagens/orifício/acesso/vão/fenda/estrada/caminho
bocado	era/época/fragmento/momento/pedaço/tempo/período
bochecha	traço
boda	cerimónia/cerimónia/cerimônia/cerimônia/festa/festa/festa
bodas	nupcias/casamento
bode	bovídeos/bovídeos
bodoque	brinquedo
bodum	aracnideos/aracnídeos/aracnídeo
bofetada	porrada/golpe
bogie	aeronave/aeroplano/avião
boi	macho
boicote	protesto
bola	brinquedo/brinquedo/artefato/aglomeração
bolacha	bolo
bolacha-da-praia	ouriço-do-mar
bolbo	caule/tronco
boleia	passeio
boletim	informação
boliche	jogo
bolinho	feito/conquista/façanha/realização
bolo	fornada
bolometro	metro
bolor	fungo/fungo/fungos/fungos
bolota	fruto/fruta/ração
bolsa	ajuda/contentor/contentor/contêiner/contêiner/sacola/sacola/sacola/sacola/recipiente/recipiente/saco/saco/saco/saco
bolsista	pupilo/aluno/estudante
bolso	finanças/fundos/dinheiro/bolsa
bolómetro	metro
bolômetro	metro
bomba	armamento/infortúnio/munição/azar/arma
bombardeio	ataque/tiro
bombardeiro	aeroplano/avião
bombeira	protetor/guardião/defensor/guarda
bombeiro	artesão/artífice/protetor/protetor/guardião/guardião/defensor/defensor/guarda/guarda
bombeiros	protetor/guardião/defensor/guarda
bombom	bala/caramelo
bondade	moralidade/acção/atividade/moral/ato/virtude/ação
bondage	transa/sexo
boneca	brinquedo/boneco
boneco	brinquedo/boneca
bonheur	felicidade/alegria
bonsai	árvore
boné	chapéu
booker	agente
boqueirão	vão/fenda
borato	sais/sal
borax	minérios/mineral
borda	fronteira/limite/fronteiras/fronteiras/fronteiras/fronteiras/aba/aba/margem/linha/fronteira/fronteira/fronteira/fronteira/fronteira/fronteira/fronteira/fronteira/fronteira/fronteira/fronteira/limite/limite/limite/limite/limite/limite/limite/limite/limite/limite/limite
bordado	criação
bordel	prédio/edifício
bordão	barra
bordéus	vinho
borra	sedimento/sedimento/depósito/depósito
borracha	implemento/instrumento/ferramenta
borrado	conceitualização/representação
borragem	erva/erva
borrasca	vento
borrego	vianda/vianda/carne/carne
borrifo	ruído
borrão	conceitualização/representação
borsch	sopa
bosque	flora/vegetação/chão/relevo/solo/terra/mata/floresta
bosquete	bosque/mata/floresta
bosão	partículas/partícula
bot	larva
bota	calçados/calçado
botanica	biologia
bote	barco
boteco	prédio/edifício
botelha	vasilhame/vasilha/vaso/conteúdo
botica	boutique/loja/venda
boticário	médico
botânica	biologia/biologia
botão	artefato/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/fragmento/ferramenta/parte
bougainvillea	parreira/cipó/videira
boutique	shopping/loja/venda
bovinos	bovídeos
bovídeos	ruminantes/ruminante
boy	assalariado/empregado/operário
boêmio	europeu
bracelete	joalharia/joalharia/joalheria/joalheria/jóia/jóia/faixa/faixa/faixa
brachiopoda	invertebrados/invertebrado
braguilha	abertura
branco	alguém/indivíduo/linhagem/raça/alma/pessoa/homem/povo
brancos	linhagem/raça/povo
brandy	álcool
brandái	fio/corda/linha
brasão	naipe/emblema
braçada	locomoção
braço	membro/perna
brecha	vão/fenda
brecho	boutique/loja/venda
brejos	planície/campanha
bretão	europeu
brie	queijo
briga	peleja/peleja/pugna/pugna/objeção/disputa/disputa/combate/combate/batalha/batalha/luta/luta
brigada	corpo/corpo
brigadegalo	combate/partida/jogo/luta
brilho	inteligência/luz
brincadeira	recreaçao/recreaçao/diversão/diversão
brinco	joalharia/joalheria/jóia
brinde	dádiva/dom/doação/presente/aquisição/drinque/bebida
brinquedo	artefato
brio	auto-estima/orgulho
brioche	pãozinho
brisa	vento
brita	rocha/pedra
britânico	europeu/nação/gente/povo
brocado	têxteis/pano/tecido/fazenda
brocha	implemento/instrumento/ferramenta
brochura	livros/livro/livro
brokat	têxteis/pano/tecido/fazenda
broker	empresário
broncodilatador	medicamento/remédio
broncodilatadores	medicamento/remédio
bronze	adorno/ornato/ornamento/decoração
brotação	ontogenia/ontogénese/crescimento
broto	departamento/divisão/folhas/vegetal
bruna	alguém/indivíduo/alma/pessoa
brunch	repasto/refeição
brutamontes	homem
bruxismo	acção/atividade/ato/ação
brânquias	órgão
budismo	religião/fé/igrejas/religião/igreja
bueiro	furo/vão/buraco
bufete	alfaia/movéis/mobília/mobiliário/móvel
buffet	repasto/refeição
bujão	comentário/observação
bulas	acta/decreto
buldózer	tractor/trator
buldôzer	tractor/trator
bulimia	sede/fome
bumbum	anatomia
bunda	anatomia/anatomia
buraco	furo/furo/vão/vão/vão/vão/abertura/abertura/abertura/fenda/fenda
buraco-negro	região
burburinho	ruído
burca	vestuário/roupa
bureta	metro
burgo	municipalidade/município
burgomestre	prefeito
burguesia	estrato/classe
burocracia	organização/administração/organização
burocrata	funcionário/serventuário
burrice	equívoco/engano/falha/erro
burrito	prato
bursite	inflamação
busca	inspecionar/investigação/pesquisa/buscar/examinar/procurar
buscador	alguém/indivíduo/alma/pessoa
buscar	atividade/ocupação
busque	acção/atividade/ato/ação
butano	carburante/combustível/alcano/parafina/gás
buteno	gás
butil	radical
buxo	arvoreta/arbusto/mato/moita
bário	metal/metais/metais
bárman	assalariado/empregado/operário
báscula	metro
bérberis	arvoreta/arbusto/mato/moita
bétula	árvore/madeira
bênção	reza/reza/oração/oração/petição/petição
bígamo	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
bócio	doenças/doença
bónus	mostra/amostra
bórax	minérios/mineral
bóson	partículas/partícula
bósons	partículas/partícula
bômbice	lagarta/larva
bômbix	lagarta/larva
bônus	pagamento/recompensa
búfalo	bovídeos
búlgaro	europeu
cabaceiro	garrafa/biberão/botelha/frasco/garrafa
cabalista	especialista
cabana	vivenda/habitação/casa/asilo/refúgio
cabaret	exibição/apresentação
cabaré	exibição/apresentação
cabaça	garrafa/biberão/botelha/frasco/garrafa
cabeceiros	elevação
cabeleireira	artesão/artífice
cabeleireiro	artesão/artífice
cabelo	fragmento/pedaço
cabeça	cognição/líder/noção/chefe/conhecimento/compreensão
cabeça-de-cobra	peixe
cabeçalho	encabeçamento
cabimento	intercorrência/opção/alternativa/eleição/escolha
cabo	chão/relevo/solo/terra/taramela/trinco/alça/apêndice/elevação/fio/instante/corda/região/barra/linha/momento
cabograma	telegrama
cabra	bovídeos
cabrito	bovídeos
cacau	bebida
cacete	clava/clava/porrete/porrete
cache	cobre/divisa/moeda/dinheiro
cachecol	vestuário/roupa
cachimbo	canais/pipeline/cano/condutas/conduto/tubo/ducto/duto/canal
cacho	cabelo/dobra
cachoeira	água
cachorra	canídeo/cão
cachorro	canídeo/cão
cacique	líder/chefe
caco	peça/pedaço
cad	software/software/programa/programa
cadeado	fechadura
cadeeiro	lâmpada/luz
cadeia	conseqüência/empresa/unidade/restrição/limitação
cadeira	alfaia/encosto/movéis/mobília/apoio/mobiliário/assento/assento/móvel/suporte/cargo/posto/posição
cadeirão	assento/cadeira
cadela	canídeo/cão
caderno	livros/livro
cadinho	vasilhame/vasilha/vaso
cadmio	metal/metais/metais
cadáver	defunto/defunto/morto/morto/corpo/corpo
cafeteria	restaurante/restaurante
cafetã	vestido
café	restaurante/árvore/bebida
cafés	restaurante
caiaque	canoa
caimento	maneira/estilo
cais	porto
caixa	contentor/contentor/contentor/contêiner/contêiner/contêiner/recipiente/recipiente/recipiente
caixa-forte	caixa
caixeiro	assalariado/empregado/operário
caixão	caixa
cal	óxido
calabouço	aposento/quarto/sala
calafrio	consternação/temor/terror/medo
calamidade	aflição/infortúnio/azar
calamina	minérios/mineral
calcanhar	esqueleto
calcetar	nascimento
calceteiro	artefato
calcio	metal/metais/metais
calcocita	minérios/mineral
calcopirita	minérios/mineral
calculador	maquinaria/máquina
calculadora	maquinaria/maquinaria/máquina/máquina
calculadoras	maquinaria/máquina
calculista	maquinaria/máquina
calcário	rocha/pedra
calcâneo	osso/osso
calda	adoçante
caldeira	vasilhame/vasilha/vaso
caldeiras	vasilhame/vasilha/vaso
caldo	sopa/sopa
caleche	carruagem
calefacção	instalação
calefação	calefacção/calefacção/aquecimento/aquecimento/instalação
caleidoscopio	brinquedo
caleidoscópio	brinquedo
calendário	listagem/lista/maquinaria/tabela/máquina/estrutura/sistema/organização/ordem
calhambeque	auto/automóvel/viatura/carro/veículo
calibrador	metro
calibração	atividade/ocupação
calibre	grau
caliche	rocha/pedra
califa	governante/governador
califado	cargo/jurisdição/posto/posição
californio	metal/metais/metais
califórnio	metal/metais/metais
calma	temperamento/disposição
calmante	medicamento/remédio
calor	temperatura/temperatura/energia
calorimetria	mensuração/mensuração/medição/medição/medida/medida
calorímetro	metro
calvados	brandy/conhaque
calvário	experiência
calça	vestuário/vestuário/roupa/roupa
calçadeira	aparato/aparato/dispositivo/dispositivo/aparelho/aparelho/equipamento/equipamento/mecanismo/mecanismo/instrumento/instrumento/ferramenta/ferramenta
calçado	calçados/calçados/vestimenta/cobertura/vestuário/traje/capa/roupa/vestido
calçados	cobertura/capa
camada	calceteiro/cobertura/região/capa
camaleão	alguém/indivíduo/alma/pessoa
camarada	alguém/indivíduo/alma/pessoa/amiga/amiga/amiga/conhecido/conhecido/conhecido/amizade/amizade/amizade/amigo/amigo/amigo
camareira	doméstico/empregado/servidor
camarilha	círculo/grupo/ordem
camarim	aposento/quarto/sala
camarote	cama/leito
cambada	reunião
camber	alinhamento
cambial	locução/provérbio/ditado/expressão/idioma
cambraia	têxteis/têxteis/têxteis/pano/pano/pano/tecido/tecido/tecido/fazenda/fazenda/fazenda
camelo	artiodáctilos/artiodátilos/artiodátilo/ungulados
camelopardalis	ruminantes/ruminante
camelus	artiodáctilos/artiodátilos/artiodátilo/ungulados
camembert	queijo
caminhada	travessia/jornada/locomoção/viagem/viagem
caminho	trâmite/jeito/conduta/via/via/modo/rodovia/rodovia/maneira/corrente/curso/ferramenta/estrada/estrada/meio/artefato/efetuação/implementação/jornada/acção/via/via/via/via/trilha/trilha/atividade/viagem/ato/execução/ação/realização/estrada/estrada/estrada/estrada/estrada/estrada/fronteira/fronteira
caminhos	trilha/estrada/caminho
caminhão	camiões/camião/camiões
camioneta	camiões/caminhão/camião/camiões
camisa	vestuário/roupa
camiseta	camisa
camião	camiões/caminhão/camiões
camiões	caminhão/camião
camomila	erva
camomila-romana	erva/erva
camomila-vulgar	erva
campanha	chão/relevo/manobra/solo/operação/terra/corrida
campanário	torres/torres/aposento/roque/roque/torre/torre/quarto/sala
campeão	desafiante/rival/competidor/contendor/concorrente
campismo	locação/locação/sítio/sítio/lugar/lugar
campo	regiões/regiões/infra-estrutura/instalação/região/região/gleba/gleba/gleba/terreno/terreno/terreno/conhecimento/região/região/região/região/região/região/saber
campos	gleba/território/terreno/ambiente/região/região/área
campus	terreno/campo
campânula	erva
camuflagem	envólucro/têxteis/pano/cobertor/cobertura/tecido/fazenda/capa/ocultação
camundongo	mus/mouse/ratazana/rato/roedor
camurça	têxteis/pano/tecido/fazenda
cana-brava	madeira
canal	canais/comunicado/pipeline/cachimbo/cano/condutas/conduto/comunicação/transmissão/tubo/água/água/ducto/duto/passagem
canaleta	transmissão
canapé	assento/cadeira
canastrão	actor/ator/artista/intérprete
cancela	infra/estrutura
cancelamento	anulação
cancioneiro	livro
candeeiro	luminaria/luminária
candeia	lâmpada/luz
candelabro	luminaria/luminária
candidato	alguém/alguém/indivíduo/indivíduo/alma/alma/pessoa/pessoa
candidatura	campanha/causa
canela	anatomia/anatomia/anatomia
canelite	inflamação
canga	conector/ligação
canhenho	livro
canhoneira	batel/bote/escaler/barco
canibalismo	costume/costume/hábito/hábito
canivete	faca/faca
cano	abertura
canoa	barco
canonização	santificação/santificação
canopo	cobertura/capa
cantador	instrumentalista/instrumentista/tocador/músico
canteiro	campos
cantil	garrafa/biberão/botelha/frasco/garrafa
cantina	boutique/restaurante/restaurante/restaurante/loja/venda
canto	tomo/secção/território/ambiente/porção/região/área/pedaço/parte/lugar
cantoneira	aço
cantor	musico/músico/músico/instrumentalista/instrumentista/tocador/músico
canudo	canais/pipeline/cachimbo/cano/condutas/conduto/tubo/ducto/duto/canal
canícula	etapa/tempo/período
canídeo	carnívoro
capa	caracter/caractér/carácter/letra/artefato/cobertura/cobertura/cobertura/cobertura/cobertura/sobretudo/proteção
capacete	chapéu
capacho	tapete
capacidade	cognição/noção/conhecimento/compreensão/habilidade/habilidade/aptidão
capataz	orientador/supervisor
capela	casadeoração/igreja/templo
capelas	casadeoração/igreja/templo
capex	gastos/gastos/custos/custos/preço/preço/custo/custo
capialço	abertura
capilar	canais/pipeline/cachimbo/cano/condutas/conduto/tubo/ducto/duto/canal
capim-amarelo	grama/relva
capital	divisa/moeda/dinheiro
capitalista	alguém/indivíduo/alma/pessoa
capitalização	desenvolvimento/avaliação/estimativa/cálculo/exploração/venda
capitania	cargo/posto/posição
capitel	topo
capitulação	derrota/perda
capitânia	embarcação/navios/navio/barco
capitão	líder/chefe
capivara	roedor
capo	líder/cabeça/chefe/liderança/responsável
capote	sombreiro/chapéu
cappuccino	café
capricho	apetite/pretensão/anseio/desejo
caprichoso	conceito/apetite/pretensão/anseio/idéia/pensamento/opinião/desejo
capsídeo	proteina/proteína/proteínas/proteínas
captura	crime/atividade/ação
capucha	chapéu
capuz	chapéu/proteção/capa
capão	cavalo
capítulo	estágio/fase/período/assembleia/episódio/assembléia/seção/parte
capô	proteção/capa
cara	alguém/indivíduo/alma/pessoa/homem/homem/homem/varão/macho/homem
cara-metade	alguém/indivíduo/alma/pessoa
caracol	condutas/tubo
caracter	grafema/letra
caracterização	atuação/descrição/descrição/representação/interpretação
característica	conceito/atributo/concepção/idéia/propriedade/qualidade/ideia/abstração/qualidade
caractér	grafema/letra
carambola	fruta
caramelo	bala/bala/bala/bala/doce
caraterização	descrição/descrição
caravanas	alojamento/abrigo/casa
caravancerá	albergaria/albergue/hospedaria/hotel/pousada
caravançarai	albergaria/albergaria/albergue/albergue/hospedaria/hospedaria/hotel/hotel/pousada/pousada
caravançará	albergaria/albergue/hospedaria/hotel/pousada
carbamato	sais/sal
carbamatos	sais/sal
carbonato	sais/sal
carbúnculo	doenças/doença
carda	erva
cardamomo	aromatizante/condimento/tempero/erva
cardinalidade	número
cardiomegalia	sintoma
cardite	inflamação
cardo	maconha
carga	mercadoria/produto/ataque/artigo/dor-de-cabeça/preocupação
cargo	situação/condição/estado
cargueiro	embarcação/navios/navio/barco
caridade	doação
caril	prato/prato
carimbo	marcadores/marcadores/marca/marca/selo/selo
cariótipo	constituição/composição/estrutura
carma	fado/destino/sorte
carminativo	medicamento/remédio
carnallita	minérios/mineral
carnaval	festival/exibição/apresentação
carne	vianda/corpo
carneiro	ovinos/ovinos/vianda/ovelha/ovelha/carne/bovídeos
carnificina	assassínio/assassinato/homicídio
carnivora	predadores
carniça	defunto/cadáver/morto/corpo/avanço/progressão
carnívoro	predadores/mamífero
carola	adoração
carolina	árvore/árvore
carona	passeio
carotenoide	pigmentos/pigmento
carotenoides	pigmentos/pigmento
carotenóide	pigmentos/pigmento
carpete	mobília/mobiliário/tapete/tapete/móvel
carpideira	desafortunado/desventurado/infortunado
carpino	árvore
carpintaria	ofício/arte/profissão
carpinteiro	artesão/artífice
carregamento	mercadoria/pão/produto/artigo
carregue	transporte/transferência
carreira	esporte/corrida
carreta	camiões/caminhão/camião/camiões
carriera	avanço/progressão
carril	barreira/obstáculo
carrilhão	música
carro	auto/automóvel/viatura/veículo
carro-bomba	bomba
carroceiro	artesão/artífice
carroceria	edifício/tecido/estrutura
carroça	carruagem
carroçaria	edifício/tecido/estrutura
carruagem	automotora/vagões/automóvel/trem/vagão/carro/comboio
carta	missiva/cartão/texto/papel/documento
cartadecrédito	crédito/documento
cartaz	anúncio
carteamento	distribuição
carteio	distribuição
carteira	contentor/contêiner/sacola/sacola/recipiente/saco/saco/bolsa/bolsa
cartel	consórcio/sindicato
cartesiano	seguidor
cartola	sombreiro/chapéu
cartucho	munição/munição
cartão	papel/papel
carvalho	árvore/madeira
carvalho-vermelho	árvore
carvoeiro	trabalhador
carvão	carbono/carburante/combustível/imagem/figura/ilustração/desenho
carácter	grafema/letra
caráter	feição/peculiaridade
carência	desvantagem/ausência/ausência/ausência/escassez/escassez/escassez/necessidade/deficiência/deficiência/deficiência/falta/falta/falta/quantidade/número
carícia	contato/toque
casa	audiências/endereço/morada/ouvintes/vivenda/alojamento/aposento/moradia/procedência/prédio/prédio/prédio/domicílio/domicílio/domicílio/locação/residência/residência/residência/edifício/edifício/edifício/edifício/localização/público/abrigo/habitação/habitação/raiz/tecido/estrutura/lar/nascente/fonte/família/ponto/lugar/ambiente
casaco	sobretudo/sobretudo/vestuário/roupa
casacão	casaco/sobretudo
casademoinho	fábrica/usina/planta
casadeoração	prédio/edifício
casal	dupla/par/família
casamento	cerimónia/nupcias/rito/cerimônia/ritual/promessa/festa/festa/sacramento/família
casario	terras/fazenda
casca	objeto
cascalho	rocha/pedra
cascata	água
casco	edifício/tecido/estrutura/chapéu
casebre	asilo/refúgio
casinha	vivenda/habitação/casa
casinhola	vivenda/habitação/casa
casmurro	idoso/velho
caso	alguém/indivíduo/alma/interesse/pessoa/preocupação/facto/ocorrente/ocorrência/circunstância/acontecimento/verdade
casquinha	artefato
cassete	contentor/contêiner/recipiente
cassetete	clava/porrete
cassiterita	minérios/mineral
casta	estrato/estrato/classe/classe
castas	estrato/classe
castelão	governante/governador
castidade	abstinência/moralidade/moral/virtude
castigo	penalização/penalidade/punição
castor	roedor
castrado	cavalo
castão	taramela/trinco/alça/cabo
cat	chibata/açoite/chicote
cat-gut	corda
cataclismo	infortúnio/azar
catalisadores	causador/causa
catalogação	listagem/lista
catamita	garoto/moço/rapaz/menino
catapulta	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
catarata	água
catarro	inflamação
catchup	condimento
catecismo	livro/interrogatório
catecolamina	hormona/hormônio/hormônios
catecumenato	pupilo/aluno/estudante
catedra	cargo/posto/posição
catedrais	igrejas/igreja/templo
catedral	igrejas/igrejas/igreja/igreja/templo/templo
catedrático	acadêmico/professor
categoria	colecção/conceito/coleção/aglomeração/concepção/idéia/acúmulo/família/ideia/classe/conexão/relação
categorização	agrupamento/arranjo
catenária	curva/arco
catequismo	livro
catequizar	comunicado/comunicação
catequização	convencimento/persuasão/catequizar
cateter	canais/pipeline/cachimbo/cano/condutas/conduto/tubo/ducto/duto/canal
catgut	corda
cativeiro	confinamento
cativo	desafortunado/desventurado/infortunado
catálogo	listagem/lista/livro
catástrofe	infortúnio/azar
catástrofes	infortúnio/azar
caubói	intérprete
caucasiano	alguém/indivíduo/linguagem/alma/idioma/pessoa/língua
caucus	reunião
cauda	dorso/reverso/verso/costas/pano/projeção
caudados	anfibios/anfíbios/anfíbio
caudal	tiro
caule	órgão
causa	acção/feito/ato/ação/gênese/iniciação/origem/começo
causalidade	acção/feito/ato/ação/conexão/relação
cavalaria	corpo
cavalariça	curral
cavaleiro	turista/viajante
cavalgador	turista/viajante
cavalheiro	homem
cavalo	égua/equino/equídeo/ungulados/macho
cave	pavimento/piso/andar
caveira	osso
caverna	formação
cavernas	formação
caxemira	têxteis/pano/tecido/fazenda
caça	aeroplano/criatura/mão-de-obra/animal/avião/besta/bicho/ser/trabalho
caçada	traslado/deslocamento/movimento
caçamba	vasilhame/vasilha/vaso
caçapa	vão/fenda
cdf	especialista
cear	repasto/refeição
cebola	caule/caule/verdura/hortaliça/legume/vegetal/tronco/tronco
cedro	madeira
cefaleia	sintoma
cefalometria	mensuração/medição/medida
cefalopodes	molusco/moluscos
cefalópodes	molusco/molusco/moluscos/moluscos
cegos	população/gente/pessoal/povo
ceia	repasto/refeição
cela	aposento/aposento/quarto/quarto/sala/sala
celebração	festividade/acontecimento/festa/festa/recreaçao/diversão
celebridade	honra/personagem
celeiro	armazem/аrmazenagem/depósito
celenterados	invertebrados/invertebrado
celha	cabelo
celibato	abstinência
celibatária	mulher
celibatário	homem
celta	europeu/europeu
celulite	inflamação
cemitério	locação/sítio/lugar
cemitérios	locação/sítio/lugar
cena	situação/condição/território/ambiente/região/área
cenografia	afiguração/representação/imagem/figura/ilustração/desenho
cenotáfio	monumento/monumentos
cenoura	raíz/raiz/erva
centavo	divisa/peça/moeda/prata
centelha	expressão/rosto/aparência
centenário	idoso/velho
centenários	idoso/velho
centopeia	artropode/artrópode/artrópodes
centopéia	artropode/artrópode/artrópodes
central	laboratório/oficina/emprego/trabalho
centralização	reunião
centrifuga	aparato/aparelho/equipamento
centrifugação	atividade/ação
centro	ideologia/jazida/jazida/prédio/edifício/lugar
centésima	hierarquia/posto/classe/posição
centésimo	hierarquia/posto/classe/posição
centípede	artropode/artrópode/artrópodes
centúria	etapa/tempo/período
cenário	cerque/entorno/envolvente/ambiente/situação/condição/meio
ceo	executivo
cepa	taxon/taxon/taxón/táxon
cephalochordata	filo/filo
cera	lipido/lipídio/lípido/lípidos/lípidos/gordura
ceramista	artesão/artífice
ceratite	inflamação
cerca	barreira/obstáculo
cercado	terreno/campo
cercanias	ambiente
cereais	grama/relva
cereal	farinhas/grama/relva
cerefólio	erva
cereja	fruta
cerejeira	madeira
cerimonial	norma/prescrição/regra
cerimónia	acontecimento/festa
cerimônia	acontecimento/festa/atividade/atividade/ocupação/ocupação
cerio	metal/metais/metais
cerque	região
certeza	convicção/crença/fé/opinião/segurança/segurança/qualidade
certidão	documentação/documento
certificado	documentação/documento
cerveja	fermentação
cervejaria	fábrica/fábrica/usina/usina/planta/planta
cervejeiro	fabricante/produtor/fazedor
cervicite	inflamação
cervidae	ruminantes/ruminante
cervo	ruminantes/ruminante
cervídeo	ruminantes/ruminante
cerâmica	arte/utensílio/apetrecho/equipamento/instrumento/ferramenta
cessar-fogo	paz
cessação	términio/parada
cesta	caixa/contentor/contêiner/recipiente
cesto	cesta/caixa/contentor/contêiner/recipiente/conteúdo/conteúdo
cesura	interrupção/suspensão/pausa
cetim	têxteis/têxteis/pano/pano/tecido/tecido/fazenda/fazenda
cetonúria	sintoma
cetose	sintoma
cevada	farinhas/cereal
cfo	executivo
chacal	canídeo/cão
chacota	comentário/observação
chade	papel
chaetognatha	filo/filo
chafariz	edifício/tecido/estrutura
chaga	infeção/infecção
chalé	vivenda/vivenda/habitação/habitação/casa/casa
chaminé	morada/aposento/moradia/domicílio/residência/habitação/lar/casa/nicho/passagem
champô	clareador
chance	oportunidade/oportunidade/oportunidade/coincidência/acidente/existência/existência/possibilidade/ser
chancelaria	cargo/posto/posição
chanfradura	aresta
chapa	organização/artefato/lousa/placa/placa
chaparral	flora/vegetação
chapeleiro	fazedor
chapéu	vestimenta/vestuário/traje/fragmento/roupa/vestido/parte
chapéu-coco	sombreiro/chapéu
chapéu-panamá	sombreiro/chapéu
charada	verbo/vocábulo/termo/palavra
charco	água
charcutaria	vianda/carne
charia	jurisprudência/lei
chariá	jurisprudência/lei
charlatanismo	desonestidade
charneca	arvoreta/arbusto/mato/moita/planície/campanha
charrete	carruagem
chave	listagem/lista/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
chavão	comentário/observação
check-in	chegada/vinda
checoslovaco	europeu
cheesecake	bolo
chefa	mulher
chefe	alguém/empregador/empregador/líder/líder/orientador/supervisor/indivíduo/alma/pessoa
chefão	personagem
chegada	ocorrente/ocorrência/acção/acontecimento/atividade/ato/ação
cheiro	atributo/percepção/sensação/propriedade
chibata	aparelho/instrumento/ferramenta
chicla	bala/doce
chiclete	bala/doce
chicote	aparelho/instrumento/ferramenta
chicória	raíz/raiz
chifre	corno
chili	prato
chilro	ruído/som
chinchila	roedor
chinchilla	traço
chinela	calçados/calçado
chinelas	calçados/calçado
chinelo	calçados/calçado
chinês	mídia
chipriano	europeu
chiqueiro	curral
chispa	expressão/rosto/aparência
chocadeira	terreno/campo
chocalho	brinquedo/contentor/contêiner/recipiente
chocolate	bebida
chofer	manipulador/operador
choque	peleja/pugna/disputa/combate/batalha/luta
choro	atividade
choupana	tenda/barraca/asilo/refúgio
choupo	madeira
choça	vivenda/habitação/casa/asilo/refúgio
chucrute	prato
chuinga	bala/doce
chumbo	metal/metais/metais
chupadouro	tampa/genitália/genitália
chupeta	genitália/aparato/dispositivo/genitália/aparelho/equipamento/mecanismo/coisa/instrumento/ferramenta
churrascaria	restaurante
churrasqueira	restaurante
chute	porrada/golpe/esforço/tentativa
chutney	condimento
chuva	objeto/precipitação
chuva-de-pedra	precipitação
chuvisco	chuva/chuva/precipitação
chuço	armamento/arma
chá	erva/bebida
chácara	laboratório/oficina/emprego/trabalho
chávena	contentor/contêiner/recipiente/conteúdo
chão	relevo/objeto/solo/terra
cianeto	sais/sal
cianetos	sais/sal
cianite	minérios/mineral
cianogênio	gás
cianose	sintoma
cianureto	sais/sal
cicatriz	sintoma
cicio	ruído
ciclismo	esporte/esporte
ciclo	repetição/programa/intervalo/tempo
ciclomotor	moto/mota/motocicleta
cidadania	conduta/procedimento/comportamento/maneira
cidade	municipalidade/municipalidade/município/município
cidade-estado	país/república/nação
cidadã	súdito/cidadão
cidadão	alguém/indivíduo/alma/pessoa/súdito
cidra	bebida
cientista	alguém/indivíduo/alma/pessoa
cientologia	igrejas/religião/igreja
cierzo	vento
cifra	custo
ciliados	protozoário
cilindro	contentor/contêiner/estância/sólida/recipiente/sólido
ciliophora	protozoário
cilício	camisa
cima	região/área
cimeira	reunião/reunião
cimento	materiais
cinco	dado
cine	mídia/teatro/casa
cinema	mídia/bens/teatro/produto/produção/casa
cinetoscópio	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
cinetose	doença
cinta	chibata/açoite/chicote/banda
cinto	restrição/limitação
cintura	porção/parte
cinza	residuo
cinzas	residuo
cio	apetite/pretensão/anseio/desejo
cipriota	europeu
cipó	parreira/traqueófitos/videira
circassiano	comunidade
circo	elenco/pessoal/companhia/exibição/apresentação
circuitaria	armamento/munição/arma
circuito	itinerário/itinerários/percurso/rota/linha/estrada/caminho
