abadia	monastério/mosteiro/convento
enchido	defunto/cadáver/morto/corpo
enchidos	vianda/carne
encobrir	omitir/tampar/tapar/acobertar/ocultar/esconder
encolher	decrescer/desabar/minguar/diminuir
encontrar	comprar/obter/adquirir/receber
encontro	assembléia/reunião
encruzilhada	junção
encurtar	reduzir/diminuir
endireitar	modificar/alterar/mudar
energia	violência/força
engaiolar	deter/confinar/prender
enganar	desinformar
enganchar	fixar/prender
engatinhar	viajar/caminhar/ir/andar
engenhar	planejar
engenharia	disciplina/campo/domínio
engenheiro	alguém/indivíduo/alma/pessoa
engolir	aturar/tolerar/aguentar/suportar
engrenagem	mecanismo
enlevo	espírito/humor
enroscar	deslocar/mover/mexer
ensaio	ensaios/prática/exercício
ensejo	fenómeno/fenômeno
enterro	cerimónia/funeral/funeral/cerimônia/festa
entornar	manar/fluir/correr
entrada	estipêndio/encargo/remuneração/via/rodovia/taxa/custo/estrada/caminho
entregar	regalar/expulsar/oferecer/dar
enunciar	contar/falar/dizer
envenenar	narcotizar/dopar/drogar
enxergar	aperceber/aperceber-se/perceber/entender
enxugar	esfregar
episódio	emissão/programa
equilíbrio	espaçamento/situação/condição/posição
equipamento	ferramenta
equipar	prover/abastecer/fornecer/suprir
era	etapa/século/idade/época/tempo/período
errar	viajar/caminhar/ir/andar
esbanjar	despender/gastar
escadas	escadaria/escada
escala	critério/padrões
escaler	embarcações/embarcação/navios/navio/barco
escassez	ausência/necessidade/deficiência/falta/carência
escavação	locação/sítio/lugar
escola	prédio/edifício
escolas	prédio/edifício
escolher	seleccionar/selecionar/resolver/decidir
esconder	omitir/tampar/tapar/acobertar/ocultar/encobrir
escorraçar	expulsar
escorregador	brinquedo
escorregar	deslizar/viajar/caminhar/ir/andar
escorrego	brinquedo
escovar	enxugar/esfregar/limpar
escrava	alguém/indivíduo/alma/pessoa
escravo	alguém/indivíduo/alma/pessoa
escritura	documentação/documento
escritório	aposento/quarto/sala
escuridão	trevas
escutar	aperceber/aperceber-se/perceber/entender
escândalo	problema
esfaquear	lesionar/lesar/ferir/machucar
esmagar	prensar/pressionar/apertar
esmurrar	golpear/bater
espada	armamento/arma
esparadrapo	atadura/curativo
espaço	grafema/letra/locação/localização/ponto/lugar
especialidade	vantagem/virtude/propriedade/recurso/bem
especialista	alguém/indivíduo/alma/pessoa
espectador	alguém/indivíduo/observador/alma/pessoa
espectro	escopo/psiquê/alcance/órbita/alma/área
especular	antecipar/raciocinar/cogitar/refletir/pensar
especulação	opinião
espernear	deslocar/mover/mexer
espetador	espectador/observador
espirar	pausar/interromper/parar
espiã	espião
esposa	cónjuge/consorte/cônjuge/esposo/marido/parente/companheiro/mulher
esposo	cónjuge/consorte/cônjuge/esposa/marido/parente/companheiro
espremer	prensar/pressionar/apertar
espírito	abalo/comoção/emoção/sentimento
esquema	imagem/figura/gráfico/ilustração/desenho
esquife	caixa
estabelecimento	organização
estalar	deslocar/mover/mexer
estandarte	bandeira/pendão/bandeira/pavilhão
estanho	metal/metais
estante	alfaia/encosto/movéis/mobília/apoio/mobiliário/móvel/suporte
estatua	escultura
estação	etapa/tempo/período
estender	modificar/alterar/mudar
esticar	deslocar/mover/mexer
estilhaçar	arrombar/arrebentar
estimar	prezar/respeitar/venerar
estimativa	cálculo
estio	sazão/estação/tempo/período
estipulação	premissa/pressuposto
estofar	completar/encher
estoque	mercadoria/produto/artigo
estourar	arrebentar/explodir
estrago	alteração/modificação/variação/mudança
estrangular	comprimir/contrair
estrato	população/gente/pessoal/povo
estremecer	sacudir/tremer/agitar
estudante	alguém/indivíduo/alma/pessoa
estudio	aposento/laboratório/oficina/quarto/emprego/sala/trabalho
estudo	documentação/documento
estufa	prédio/edifício
estufar	completar/encher
estupefação	consternação/temor/terror/medo
estuprar	agredir/assaltar/atacar
estádio	edifício/tecido/estrutura
estágio	etapa/tempo/período
estátua	escultura
estória	notícia/notícias/artigo
estúdio	laboratório/oficina/emprego/trabalho
etica	filosofia
exagerar	desinformar/enganar
examinador	investigador
excedente	categoria/porção/componente/parte
exceder	ultrapassar/derrotar/vencer/superar/bater
excepção	instância/exemplo/representante
excerto	passagem
excetuar	eliminar/extinguir
exceção	instância/exemplo/representante
excluir	eliminar/extinguir
executar	penalizar/punir/castigar/matar
executivo	líder/cabeça/chefe/liderança/responsável
exemplificar	elocubrar/elaborar/expandir/expor
exemplo	líder/chefe
exercício	treinamento/treino/preparação
exigir	solicitar/requisitar/demandar/requerer/pedir
exilar	expulsar
expandir	explicar
expectativa	convicção/crença/fé/opinião
expedição	industria/empresa/negócio/comércio
experiente	especialista
experiência	educação/instrução
expert	especialista
experto	especialista
expetativa	convicção/crença/fé/opinião
explicar	esclarecer
explodir	estourar/arrebentar
explosão	ruído
expor	explicar
exposição	colecção/coleção/aglomeração/acúmulo
exposições	colecção/coleção/aglomeração/acúmulo
extensão	grandeza/magnitude/número
exterior	superfície
extorquir	roubar
extraditar	expulsar
extrato	passagem
extremo	grau
face	superfície
faceta	característica/qualidade
fachada	frente
facho	luz
falecimento	alteração/modificação/variação/mudança
falha	circunstâncias/sina/destino/sorte
falhanço	circunstâncias/sina/destino/sorte
falta	ausência/escassez/necessidade/deficiência/carência
fama	bisbilhotice/bisbolhetice/honra/fofoca
família	conceito/concepção/idéia/ideia
fanfarrear	exagerar/aumentar
fantasia	apetite/pretensão/anseio/desejo
fantasma	psiquê/alma
fardo	penca/molho/feixe/pacote
fascinar	atrair
fase	etapa/tempo/período
fato	informação
favorecer	avançar/promover
fazenda	chácara/granja/quinta/laboratório/oficina/sítio/possessão/emprego/propriedade/trabalho
fazer	desempenhar/produzir/apresentar/construir/criar
febre	sintoma
fenda	greta/racha/fresta/fissura
ferida	traumatismo/dano/machucado/lesão/mal
ferimento	traumatismo/dano/machucado/lesão/mal
ferir	lesionar/lesar/machucar
ferrar	doer
ferro	metal/metais
fervor	ardor/paixão
festa	acontecimento
festival	celebração/festividade/festa
fibra	materiais
fibras	materiais
fila	bicha/linha
filaúnica	fila/bicha/linha
filho	descendência/parente/descendente
filhote	criatura/animal/besta/bicho/ser
filipeta	reclame/reclamo/propaganda/publicidade/anúncio
filme	espectáculo/objeto/show
filosofia	convicção/crença/fé/opinião
filósofo	estudioso/erudito/especialista/acadêmico
fim	fenómeno/fenômeno/meta/alvo/objectivo/intenção
fim-de-semana	etapa/tempo/período
finalidade	meta/alvo/objectivo/intenção
finança	gestão/administração
fita	gravação
flabelar	sacudir/tremer/agitar
flecha	projéctil/míssil/projétil
flexionar	deslocar/mover/mexer
flora	colecção/coleção/aglomeração/acúmulo
floresta	chão/locação/relevo/localização/solo/terra/ponto/lugar
florestas	chão/relevo/solo/terra
fluido	matéria/substância
fluir	deslocar/mover/mexer
flutuação	alteração/modificação/variação/mudança
focar	raciocinar/cogitar/refletir/pensar
fofoca	bisbilhotice/bisbolhetice
fogo	criticismo/crítica/julgamento
foguete	viatura/veículo
foguetes	viatura/veículo
folha	folhagem/papel
folhas	papel
folheto	livro
fome	ausência/escassez/deficiência/falta/carência
formar	modificar/alterar/mudar
formatação	informação
formato	informação
formação	espaçamento/posição
formulário	documentação/documento
fornecedor	mercador/negociante/comerciante
foro	documentação/documento
fortuna	fenómeno/fenômeno
força	causador/agressão/hostilidade/causa
fotocopiar	reproduzir
fotógrafa	artista
fotógrafo	artista
fractura	traumatismo/dano/machucado/lesão/mal
frasco	vasilhame/vasilha/vaso
frase	excerto/extrato/trecho/passagem
fratura	traumatismo/dano/machucado/lesão/mal
freguês	consumidor
frente	liderança
fretamento	documentação/documento
frete	transportação/transporte/expedição
fricção	recontro/confronto/conflito
frio	temperatura
frontispício	frente
frustação	deceção/desapontamento/decepção
frustração	deceção/desapontamento/decepção
fruta	fruto/semente
fundo	vista/panorama/face/lado
funeral	cerimónia/enterro/cerimônia/festa
fura-greve	trabalhador
furadeira	implemento/instrumento/ferramenta
furtar	agarrar/capturar/segurar/pegar
fábrica	usina/planta
fèbre	sintoma
fé	convicção/crença/amizade/opinião
féretro	caixa
fórmula	procedimento/processo
fósforo	acendedor/encendedor/isqueiro
fúria	zanga/ira/cólera/raiva
galardão	dádiva/brinde/dom/doação/presente
galera	população/gente/pessoal/povo
galeria	aposento/quarto/sala
galgar	ascender/subir
galho	caule/tronco
galinha	frango/galo
galáxia	colecção/coleção/aglomeração/acúmulo
ganhar	comprar/obter/adquirir/receber
garoa	chuva
garota	mulher
garrafa	vasilhame/vasilha/vaso
gasolina	carburante/combustível
gastar	pagar
gatinhar	viajar/caminhar/ir/andar
gaveteiro	alfaia/movéis/mobília/mobiliário/móvel
geleca	matéria/substância
gemer	emitir/soltar
gemir	emitir/soltar
gene	seqüência/sequência
genealidade	inteligência
genes	seqüência/sequência
gente	população/pessoal/povo
gerar	produzir/construir/criar/fazer
geração	população/gente/pessoal/povo
gerenciar	virar-se/aguentar/lidar/sobreviver
gerente	líder/administrador/cabeça/chefe/liderança/responsável
gerir	governar/reger
gesso	esparadrapo/penso/atadura/ligadura
gesto	mudança
gestor	administrador/gerente
ghost-writer	autor/escritor
ghostwriter	autor/escritor
girar	virar-se/deslocar/mover/tornar-se/mexer/virar
gládio	armamento/arma
glória	honra
golpear	tocar/bater
gosma	matéria/substância
gotejar	entornar/verter/derramar
governar	reger
gracejo	comentário/observação
gradação	hierarquia/posto/classe/posição
graduado	estudioso/erudito/especialista/acadêmico
grama	terreno/campo
gramado	terreno/campo
grampear	ouvir/escutar
granja	chácara/quinta/laboratório/oficina/sítio/emprego/fazenda/trabalho
grau	hierarquia/grandeza/magnitude/posto/número/classe/posição
gravidade	atração
gravitação	atração
greda	solo/terra
gritar	emitir/berrar/soltar
grupo	colecção/coleção/aglomeração/acúmulo
gráfico	mapa
guarda-roupa	colecção/coleção/aglomeração/acúmulo
guardar	proteger/defender/reter/segurar/ter/manter
guen	seqüência/sequência
guerreiro	alguém/indivíduo/alma/pessoa
guerrilha	guerreiro
guerrilheiro	guerreiro
guia	líder/regulamento/norma/chefe/lei/regra
guilda	associação/sociedade/união/organização/ordem
habilidade	meta/técnica/talento
habitante	alguém/indivíduo/alma/pessoa
habitat	cerque/entorno/envolvente/ambiente/meio
habitação	morada/alojamento/aposento/moradia/prédio/domicílio/residência/edifício/abrigo/lar/casa
hall	aposento/prédio/edifício/quarto/sala
hardware	componente/parte
harmonia	música
hasta	venda
herança	possessão/propriedade
herdade	chácara/granja/quinta/sítio/fazenda
herdar	comprar/obter/adquirir/receber
herói	líder/chefe
hierarquia	status/condição/estado/organização/classe/posição
hipotetizar	antecipar
hipótese	conceito/concepção/idéia/opinião/ideia
historiador	estudioso/erudito/especialista/acadêmico
historiografo	estudioso/erudito/especialista/acadêmico
história	falsidade/mentira/passado
histórico	passado
homem	cónjuge/consorte/cônjuge/esposa/esposo/marido/adulto/companheiro
homem-bomba	alguém/indivíduo/alma/pessoa
horripilar	atemorizar/amedrontar/assustar/aterrorizar/intimidar
hortaliça	hortifruti/hortifruto
horário	listagem/cronograma/lista/agenda/programa
hospedar	divertir/entreter
hospedaria	hotel
hospedeiro	adulto
hospitalidade	recepção
hotel	prédio/edifício
humor	abalo/comoção/emoção/sentimento
hábito	tradições/costumes/tradição/costume
hóspede	visitante/visita
iate	embarcações/embarcação/navios/navio/barco
idade	etapa/século/era/época/tempo/período
ideia	conceito/concepção/idéia/pensamento/cálculo/opinião
identidade	temperamento/personalidade/pessoa
idioma	mensagem/comunicação/linguagem/discurso/língua
idéia	conceito/concepção/pensamento/opinião/ideia
igual	alguém/indivíduo/alma/pessoa
igualar	confromar-se/adaptar-se/adequar-se/ajustar
ilha	chão/relevo/solo/terra
ilustrar	elocubrar/elaborar/expandir/expor
ilusão	desempenho/performance/interpretação/apresentação
imigração	migração
imitar	reproduzir
impactar	modificar/alterar/mudar
impacto	consequência/conseqüência/efeito/resultado/fim
impertinência	apetite/pretensão/anseio/desejo
importunar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/perturbar/irritar/incomodar
imprensa	maquinaria/máquina
impressão	semblante/aspecto/aparência
impulsionar	deslocar/mover/mexer
impulso	violência/força
império	monarquia
imunidade	desistência/renúncia
inaugurar	iniciar/começar
incarcerar	deter/confinar/prender
incendiar	queimar
inclinação	gradiente
incluir	abarcar/conter
incomodar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar
incumbência	dever/obrigação
indicador	dedo
indicação	aconselhamento/mensagem/comunicação/conselho/direção
indicações	regulamento/norma/lei/regra
indiciar	clamar/declarar
indivíduo	alguém/causador/alma/pessoa/causa
indulgir	delapidar/dilapidar/esbanjar/desperdiçar
industria	comercialismo/mercantilismo/comércio
indício	mensagem/comunicação
indústria	industria/empresa/negócio/comércio
infecção	incidente/evento
influência	consequência/conseqüência/efeito/resultado/fim
informática	engenharia/tecnologia
infracção	crime/ofensa
infração	crime/ofensa
ingrediente	componente/parte
inicial	caracter/caractér/carácter/letra
inimigo	alguém/antagonista/adversário/indivíduo/opositor/alma/população/gente/pessoa/pessoal/povo
injúria	conduta/comportamento
inscrever	recrutar/registar/registrar
inspector	investigador
inspetor	investigador
instalar	botar/pôr/colocar/carregar
instituição	organização
instituto	organização
instructor	instrutor/docente/mestre/professor
instruir	leccionar/lecionar/ensinar
instrumento	documentação/documento
intento	meta/alvo/objectivo/intenção
intenção	conceito/significância/meta/significação/alvo/idéia/objectivo/pensamento/opinião/significado
interceptar	ouvir/escutar
interdição	acta/decreto
interior	campo
intermediária	representante
introduzir	iniciar/começar
introdução	apostila/sebenta/compêndio/texto
inumação	funeral/enterro/funeral
inundar	completar/encher
inventário	mercadoria/produto/artigo
inverno	sazão/estação/tempo/período
inverter	modificar/alterar/mudar
investigador	cientista/especialista
investir	modificar/alterar/mudar
invitação	missiva/carta
ir	viajar/caminhar/andar
ira	abalo/zanga/comoção/cólera/emoção/sentimento/raiva
irmão	frei/monge/frade
irritar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/incomodar
jantar	repasto/refeição
jaqueta	casaco/sobretudo
jardim	flora/vegetação/terreno/campo
jerimum	verdura/hortaliça/legume/vegetal
joelho	coxa/anca
jogar	arremeter/competir/concorrer/atirar/lançar
jogo	certame/colecção/concurso/coleção/competição/aglomeração/torneio/acúmulo/partida
juiz	funcionário/serventuário
julgamento	acção/feito/ato/ação
julgar	resolver/decidir
junta	comissão/comité/comitê
junção	área/região
jurisprudência	colecção/coleção/aglomeração/acúmulo
jurista	funcionário/serventuário/profissional
justificativa	circunstância/consideração
justificação	circunstância/consideração
justiça	justeza
juízo	acção/feito/ato/ação
júri	junta/comissão/comité/comitê
laboratorio	laboratório/oficina/emprego/trabalho
laboratório	oficina/emprego/trabalho
laboratórios	laboratório/oficina/emprego/trabalho
lacticínios	chácara/granja/quinta/sítio/fazenda
ladeira	gradiente/inclinação
lado	superfície/opinião
ladrar	emitir/soltar
ladrilho	laje/placa
laissez-passer	consenso/consentimento/autorização/sanção/aprovação
lama	matéria/substância/solo/terra
lamber	afagar
lamentar	sentir/experimentar
lamentar-se	emitir/soltar
lanche	repasto/refeição
lanchonete	restaurante
lanterna	luz
lançar	atirar/jogar
lanígero	têxteis/pano/tecido/fazenda
lar	alojamento/abrigo/casa
largura	amplidão/dimensão/magnitude/extensão
latir	emitir/soltar
lavabo	pia
laço	adorno/ornato/ornamento/decoração
legar	regalar/oferecer/entregar/dar
legenda	título/organização
legume	hortifruti/hortifruto
lei	colecção/conceito/coleção/aglomeração/concepção/idéia/acúmulo/ideia
leilão	venda
leitaria	chácara/granja/quinta/sítio/fazenda
leite	bebida
leiteria	chácara/granja/quinta/sítio/fazenda
leitor	freguês/cliente/comprador/consumidor
lema	locução/provérbio/ditado/expressão/idioma
lemas	locução/provérbio/ditado/expressão/idioma
lenda	título
lesar	lesionar/ferir/machucar
lesão	traumatismo/dano/machucado/mal
letra	grafema
letreiro	edifício/tecido/estrutura
levar	transportar/carregar
liderança	líder/chefe
ligadura	atadura/curativo
ligação	interação
limitação	desvantagem/regulamento/norma/lei/regra
limpar	esfregar
linguagem	mensagem/comunicação/discurso/idioma/língua
lingüiça	vianda/carne
linha	texto
linhagem	parentesco/relação
lista	listagem
livreto	livro
livro	publicação/edição
lixo	materiais/resíduo
lição	ensino/pedagogia/educação
localização	objeto
locação	objeto
lodo	matéria/substância
loja	shopping
lona	têxteis/pano/tecido/fazenda
louvado	especialista
lucrar	auferir/comprar/ganhar/obter/adquirir/receber
lucro	benefício/bem
lugar	objeto
luminária	alfaia/movéis/mobília/mobiliário/móvel
lustrar	aperfeiçoar/melhorar
luta	certame/concurso/competição/torneio/combate/partida/batalha/jogo
lutar	brigar/disputar
lã	têxteis/pano/tecido/fazenda
líder	alguém/indivíduo/alma/chefe/pessoa
língua	mensagem/comunicação/linguagem/discurso/idioma/órgão
líquido	líqüido/fluido
líqüido	matéria/substância
lógica	princípio
machucar	lesionar/lesar/ferir
madrugada	hora
maestro	musico/músico
magia	desempenho/performance/interpretação/apresentação
magistrado	funcionário/serventuário
magnata	homemdenegócios/empresário/negociante/comerciante
magnitude	grandeza/número
magoar	concitar/elicitar/estimular/incitar/provocar
maiúscula	grafema/letra
mala	compartimento
maltratar	tratar
manar	deslocar/mover/mexer
manchar	modificar/alterar/mudar
mandíbula	osso
manequim	criado/ajudante/assistente/servidor
manhã	etapa/tempo/período
manicomio	enfermaria/hospital
manifestação	protesto
mansarda	pavimento/piso/andar
manter	ter
manufatura	industria/fábrica/usina/empresa/negócio/planta/comércio
maquinar	planejar
maquinaria	máquina
maquinário	maquinaria/máquina
marcha	treinamento/treino/mecanismo/preparação
marchar	caminhar/ir/andar
maresia	vento
margem	declive/declives/subida/encosta/costa/ladeira
marido	cónjuge/consorte/cônjuge/esposa/esposo/parente/companheiro
marinho	azul
marketing	comercialismo/mercantilismo/comércio
martírio	dor/angústia/dor
mascarar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
masmorra	aposento/quarto/sala
massacre	assassínio/assassinato/homicídio
mata	chão/relevo/solo/terra
matador	alguém/indivíduo/alma/pessoa
matematica	ciência
matemática	ciência
materiais	substância
matiz	significância/significação/significado/intenção
matriz	escritório/informação
matéria	informação
medicamento	entorpecente/droga/remédio
medida	grandeza/magnitude/número
medo	abalo/comoção/consternação/emoção/sentimento/temor/terror
meia-noite	hora
melhora	estado/situação/condição/estado
melhorar	aperfeiçoar/modificar/alterar/mudar
melhoria	estado/situação/componente/condição/estado/parte
melodia	música/texto
memorizar	marrar/estudar
memória	hardware
mencionar	contar/falar/dizer
mendigar	solicitar/requisitar/requerer/pedir
menina	mulher
menino	descendência/descendente/filho
menoridade	número
menosprezar	detestar/odiar
mensagem	comunicação
mentalidade	atitude
mente	cognição/noção/conhecimento/compreensão
mentir	desinformar/enganar
mentira	falsidade/história
mentirinha	falsidade/mentira/história
mento	traço
menu	listagem/lista
menção	apontamento/anotação/nota
mercadologia	comercialismo/mercantilismo/comércio
mercador	negociante/comerciante
mercantilismo	transação
mercearia	chácara/granja/quinta/sítio/fazenda
merenda	repasto/refeição
mesa	alfaia/movéis/mobília/mobiliário/móvel
mestre	artista
metodologia	metodo/método/métodos/técnica
metodologias	metodo/método/métodos/técnica
metodólogia	metodo/método/métodos/técnica
metro	caminho-de-ferro/ferrovia
metropolitano	caminho-de-ferro/ferrovia
metrô	caminho-de-ferro/ferrovia
mexer	deslocar/mover
milho	farinhas/cereal
mimar	tratar
mimosear	tratar
mineiro	obreiro/trabalhador/operário
mineral	materiais
minoria	número
minorias	número
minérios	materiais
missiva	texto
missão	organização
modelar	modificar/alterar/mudar
modelo	criado/líder/ajudante/assistente/chefe/servidor/exemplo
moeda	cobre/divisa/dinheiro
moinho	maquinaria/maquinário/máquina
moinhos	maquinaria/maquinário/máquina
molde	exemplo/modelo
molestar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/importunar/perturbar/irritar/incomodar
momento	actualidade/hoje/presente
monopólio	ascendencia/dominancia/superioridade/controle/domínio
montar	ascender/subir
monte	colecção/coleção/aglomeração/acúmulo/massa
montão	colecção/coleção/aglomeração/acúmulo
monumento	edifício/tecido/estrutura
monumentos	edifício/tecido/estrutura
morada	alojamento/abrigo/casa
moradia	alojamento/abrigo/casa
morador	alguém/habitante/indivíduo/alma/pessoa
morango	baga/fruto/fruta
morte	alteração/modificação/variação/mudança
mostra	instância/exemplo/representante
mote	locução/provérbio/ditado/expressão/idioma
motivação	estado/situação/condição/estado
motivo	conceito/idéia/ornamento/pensamento/opinião
motorista	conductor/chofer/condutor
mudança	alteração/modificação/variação
mulher	cónjuge/consorte/cônjuge/esposa/esposo/marido/adulto/companheiro
mundo	população/gente/pessoal/povo
murro	porrada/golpe
musico	artista
mutação	alteração/modificação/variação/mudança
máquina	maquinaria
mãe	genitor/progenitor/pai
mão	colecção/auxílio/coleção/socorro/aglomeração/ajuda/acúmulo/assistência
mês	etapa/tempo/período
míssil	armamento/arma
módulo	componente/parte
músico	artista
nacionalidade	status/condição/estado/classe/posição
nacionalismo	lealdade
nadar	viajar/caminhar/ir/andar
namorada	mulher
natureza	causador/cosmo/universo/mundo/criação/causa
naval	azul
nação	população/gente/pessoal/povo
neblina	nevoeiro/bruma/névoa
nebulosa	colecção/coleção/aglomeração/acúmulo
necessidade	estado/situação/condição/estado
necrópole	locação/sítio/lugar
negar	reter/guardar/segurar/manter
negar-sea	lixo/resíduo
negação	asserção
negociante	mercador/comerciante
negócio	comercialismo/mercantilismo/transação/comércio
nenê	criança/filho/menino
neoplasia	tumores
noitada	etapa/tempo/período
noite	etapa/tempo/período
noiva	participante
noivado	promessa
nomenclatura	verbo/vocábulo/termo/palavra
norma	critério/conceito/padrões/concepção/idéia/ideia
normas	critério/padrões
notar	contar/falar/dizer
notícia	informação
notícias	emissão/informação/programa
noz	semente/fruta
noção	conceito/concepção/idéia/ideia
numeral	simbolo/símbolos/aceno/emblema/símbolo/sinal
numerário	cobre/divisa/moeda/dinheiro
nupcias	rito/ritual
náusea	sintoma
náuseas	sintoma
névoa	nevoeiro/bruma/neblina
nível	hierarquia/posto/classe/posição
número	simbolo/símbolos/conceito/aceno/emblema/concepção/símbolo/idéia/ideia/sinal
obedecer	confromar-se/adaptar-se/adequar-se/ajustar
objectivo	meta/alvo/intenção
objetivo	meta/alvo/objectivo/intenção
observador	alguém/espectador/indivíduo/alma/pessoa
obstaculizar	impossibilitar/obstar/estorvar/impedir/proibir/bloquear/evitar
obstruir	impossibilitar/obstar/estorvar/impedir/proibir/bloquear/evitar
obter	comprar/adquirir/receber
ocidente	locação/localização/ponto/lugar
ocupante	habitante/morador
ocupação	ofício/profissão/emprego/função/serviço/trabalho/lugar
odiar	antipatizar/desgostar
ofender	concitar/elicitar/estimular/incitar/provocar
ofensa	conduta/comportamento
ofensiva	manobra/operação
oficina	laboratório/emprego/trabalho
ofício	profissão/ocupação/emprego/função/serviço/trabalho/lugar
olhar	aperceber/aperceber-se/perceber/entender
omissão	equívoco/engano/falha/erro
omitir	eliminar/extinguir
operário	obreiro/trabalhador
opositor	alguém/indivíduo/alma/pessoa
oposição	chapa/legenda/partido
opúsculo	livro
ordem	estado/associação/situação/sociedade/condição/estado/união/organização
organizar	dispor/arranjar/planejar
orgulho	satisfação
orientador	autoridade
ornamento	adorno/ornato/decoração
orquestrar	planejar
orçamento	capital/fundo
oscular	tocar/bater
ostentar	exagerar/aumentar
ostracizar	expulsar
otimismo	temperamento/disposição
outono	sazão/estação/tempo/período
ouvinte	pupilo/aluno/estudante
ouvir	aperceber/aperceber-se/perceber/entender
pacote	colecção/penca/molho/coleção/fardo/feixe/aglomeração/acúmulo
padrão	critério/intercorrência/opção/padrões/alternativa/eleição/escolha/exemplo/modelo
padrões	critério
pagamento	comercialismo/mercantilismo/comércio
pai	genitor/papai/papá/painho/progenitor/mãe
painel	edifício/tecido/estrutura
painho	genitor/papai/papá/progenitor/pai/mãe
palavra	promessa/verbo/vocábulo/termo
palco	palanque/tablado/tribuna
palestra	discurso
paleto	casaco/sobretudo
palma	árvore
palmeira	árvore
pandorga	brinquedo
panfleto	reclame/reclamo/propaganda/publicidade/livro/anúncio
papagaio	brinquedo
papai	genitor/papá/painho/progenitor/pai/mãe
papel	materiais
papá	genitor/papai/painho/progenitor/pai/mãe
par	alguém/indivíduo/alma/pessoa
parada	intervalo/pausa
paradoxo	contradição
parafuso	tarraxa
parceiro	alguém/indivíduo/alma/pessoa
parceria	contrato/acordo
parecer	corresponder/resposta/resultado/combinar/concordar
parente	alguém/indivíduo/alma/pessoa
parlamento	legislatura
partida	certame/concurso/acção/competição/feito/torneio/ato/ação/jogo
partido	adulto/organização
partir	deslocar/mover/mexer
parto	acção/feito/ato/ação
parâmetro	fator
parâmetros	fator
passar	regalar/viajar/caminhar/oferecer/entregar/ir/andar/dar
passe	consenso/consentimento/autorização/sanção/aprovação
passear	caminhar/ir/andar
pastar	alimentar
patente	documentação/documento
patinar	escorregar/deslizar
património	possessão/propriedade
patrimônio	possessão/propriedade
patriotismo	lealdade
pausa	interrupção/suspensão
pauta	listagem/lista
pavimento	edifício/tecido/estrutura
pedaço	peça
pedestal	encosto/apoio/suporte
pedir	solicitar/requisitar/requerer
pedágio	estipêndio/encargo/remuneração/taxa/custo
pegar	comprar/obter/adquirir/receber
película	espectáculo/show
pendurar	fixar/prender
peneirar	seleccionar/selecionar/escolher
penetrar	entrar
pensionista	beneficiário
penso	atadura/curativo
penúria	ausência/escassez/deficiência/falta/carência
pepineiro	verdura/hortaliça/legume/vegetal
pepino	verdura/hortaliça/legume/vegetal
pequeno-almoço	repasto/refeição
perambular	viajar/caminhar/ir/andar
percentagem	proporção
percento	proporção
perder	malograr/botar/fracassar/falhar/pôr/colocar/carregar
perdão	mandado
perfurar	entrar
perguntar	ruminar/cogitar/ponderar/especular/contemplar/refletir
perigo	estado/situação/condição/estado
perito	especialista
perno	tarraxa/parafuso
personalidade	temperamento/pessoa
perspiração	secreção
perturbar	disturbar/emocionar
período	etapa/século/era/idade/época/tempo
pesadelo	sonho
pesar	mensurar/quantificar
pesquisador	cientista
pessoa	causador/causa
pessoal	população/gente/organização/povo
ph.d.	estudioso/erudito/especialista/acadêmico
piada	comentário/observação
picada	traumatismo/dano/machucado/lesão/mal
picar	doer
pico	área/região
pigmento	camada/capa
pilha	colecção/coleção/aglomeração/acúmulo
pingar	entornar/verter/derramar
pintor	artista
pintora	artista
pintura	camada/capa
piorar	decair
pipa	brinquedo
pisar	viajar/caminhar/ir/andar
piso	edifício/tecido/estrutura
pisotear	caminhar/ir/andar
pista	evidência
pião	brinquedo
placa	edifício/tecido/estrutura
placar	chegada/edifício/tecido/estrutura/conclusão/resultado/fim/final
planejar	raciocinar/cogitar/refletir/pensar
plano	conceito/foto/retrato/idéia/pensamento/fotografia/esquema/imagem/opinião/figura/ilustração/desenho
planta	imagem/figura/ilustração/desenho
plantar	botar/pôr/colocar/carregar
plantel	prédio/edifício
plotar	desenhar
pneu	arco
poder	causador/causa
polegar	dedo
policial	polícia/agente/guarda
polir	aperfeiçoar/melhorar
poltrona	assento/cadeira
político	líder/chefe
ponderar	ruminar/raciocinar/cogitar/especular/contemplar/refletir/pensar
ponte	edifício/tecido/estrutura
ponto	objeto
população	gente/pessoal/povo
porcentagem	proporção
porquê	explanação/explicação
porrete	bastão/pau/vara
porta-bagagem	compartimento
porta-malas	compartimento
porta-voz	proponente/defensor/advogado/representante
portagem	estipêndio/encargo/remuneração/taxa/custo
porão	pavimento/piso/andar
posição	status/atitude/ofício/profissão/ocupação/condição/emprego/estado/função/opinião/serviço/trabalho/lugar/classe
pospor	adiar
possibilidade	intercorrência/opção/conceito/alternativa/concepção/eleição/escolha/idéia/ideia
postergar	adiar
