abaixo	deprimido/descendente
prematuro	imaturo
preocupado	problemático/atento
preparado	prestes/disposto/pronto
prestativo	encorajador/cooperativo/prático/útil/funcional/prestável
prestes	preparado
prestável	encorajador/serviçal/cooperativo/prestativo/amável/útil/bem-humorado/lhano/afável/amável/gentil
presumido	insípido
preto	escuro
preventivo	proteccionista
previsível	certo/inevitável/seguro
primeiro	precoce/primário/temporão/original/cedo/dianteiro
primário	original/primeiro/essencial
privado	pessoal/esotérico
privilegiado	rica/rico/afortunado
problemático	preocupado
produtivo	bem-sucedido/próspero/frutífero/rendoso/lucrativo/proveitoso/criador/criativo/fecundo/fértil/original
produtor	bem-sucedido/próspero/frutífero/rendoso/lucrativo/proveitoso/criador/criativo/fecundo/fértil/original
proeminente	indiscreto/imprudente
profano	leigo/secular
profundo	intenso/erudito
profícuo	cómodo/rendoso/lucrativo/oportuno/proveitoso/propício
progressivo	fronteiro/dianteiro/industrial
prolixo	tagarela
pronto	preparado
propício	auspicioso/cómodo/rendoso/lucrativo/oportuno/profícuo/proveitoso/vantajoso/favorável
prospectivo	futuro
proteccionista	preventivo
protegido	invulnerável
proveitoso	útil/profícuo/fecundo/produtivo/produtor/vantajoso/fértil/propício/favorável
provável	possível
prudente	cautelosa/cauto/cuidadosa/cauteloso/sábio/atento/responsável/judicioso/diligente/sensato
prático	realístico/concreto/prestativo/possível
próprio	correto/certo/apropriado/justo
próspero	afortunado/produtivo/produtor
puro	casta/casto
público	explícito/aberto
quadrado	angulado/angular
qualificado	elegível/habilitado/competente
queama	passional/apaixonado/amorável/adorável/empenhado/amável
quebrado	avariado/danificado/imcompleto/ferido/imperfeito
quente	caloroso/passional/apaixonado
questionável	contestável
quieto	suave/pacífico/inaudível
rabo	posterior/traseiro
racional	razoável/lógico/sadio/sã/são
raro	infrequente/infrequënte/infreqüente
razoável	válido/lógico/racional
realístico	prático/existente/possível
recente	novo
receoso	cobarde/covardemente/timorato/covarde
recto	inocente/moral/decoroso/virtuoso/digno/boa/nobre/bom
regular	sistémico/sistemático/ritmado/rítmico/simétrico
religioso	devoto/sagrado/piedoso/virtuoso/digno/nobre
relutante	desafiador/involuntário
remanescente	existente
rendoso	útil/profícuo/produtivo/produtor/vantajoso/propício/favorável
repentina	rápida/veloz/rápido
repentino	rápida/veloz/rápido
reservado	inarticulado/inibido/restrito/taciturno
resignado	paciente
resistente	experimentado/vivido/experiente/forte
respeitoso	cortês
respeitável	honroso/honrado/decoroso/digno/bom
responsivo	sensível
responsável	judicioso/prudente/sensato
restrito	reservado
retardado	lerdo/estúpido
reto	directo/inocente/vertical/moral/perpendicular/decoroso/virtuoso/digno/boa/nobre/bom
retórico	figurativo
rica	basto/copioso/lauto/abastado/farto/privilegiado/abundante/bastante
rico	basto/copioso/lauto/abastado/farto/privilegiado/abundante/bastante
ritmado	regular
rotineiro	costumeiro/geral/genérico/usual/ordinário/habitual/comum
rugoso	áspero
ruidoso	berrante/estrepitante/alta/alto/cacofônico
ruim	incorrecto/ofensivo/errado/iniquo/malvada/maléfico/imoral/desobediente/desfavorável/mau/malvado/pior
rápida	repentina/súbito/abrupto/repentino/apressado
rápido	repentina/súbito/abrupto/repentino/apressado
rítmico	regular
sabido	glorioso/familiar
saboroso	acídulo/desgradável/fermentado/azedo/doce/salgada/apetitoso/salgado
sacrificável	substituível
sadio	racional
sagrada	sagrado/dedicado
sagrado	dedicado/piedoso/celeste/religioso
salgada	saboroso
salgado	saboroso
saliente	indiscreto/imprudente
salubre	saudável/bom/bem/saudável
salvado	encontrado/bendito
sangrento	imisericordioso/impiedoso
sangüíneo	imisericordioso/impiedoso
santa	sagrado/dedicado
santo	sagrado/dedicado
sarcástico	crítico/desrespeitoso
satisfatório	aceitável/adequado/capaz
satisfeito	contente
saudável	bom/bem/salubre/são
secular	sofisticado/profano
segregado	separado/dividido
seguro	previsível/invulnerável/indemne/indene/inofensivo/inócuo
selvagem	intratável/desobediente
semelhante	mesmo
sensato	cautelosa/cuidadosa/prudente/sábio/atento/responsável
sensual	emocionante/excitante
sensível	consciente/ciente/informado/responsivo/susceptível/suscetível
separado	independente/outro/segregado/dividido/individual
serviçal	encorajador/cooperativo/útil/prestável
sexy	emocionante/excitante
significante	significativo/importante
significativo	significante/importante
silencioso	suave/inaudível
silvestre	intratável/desobediente
similar	mesmo
simples	fácil/singelo/despretensioso
simpática	amável/congenial/útil
simpático	boa!/bem-humorado/lhano/aprazível/afável/amável/gentil
simétrico	paralela/paralelo/regular
sincera	honroso/honrado/correto/autêntico/genuíno/legítimo/verdadeiro/justo/direto
sincero	honroso/honrado/correto/autêntico/genuíno/legítimo/verdadeiro/justo/direto
sincrônico	síncrono
singelo	simples/fácil
sintético	lógico
sistemático	regular/organizado
sistémico	regular/organizado
sobrecomum	irreal
sobrenatural	irreal
social	amistoso/amigável/gregário/amigo/sociável
socialista	esquerdista
sociável	amistoso/amigável/amigo/social
sofisticado	airoso/garboso/gracioso/elegante/esbelto/alfabetizado/letrado/leigo/cosmopolita/secular
solidário	integrado/comum/partilhado/colectivo/unido/coletivo
solto	lasso
solúvel	explicável
sonso	lerdo/estúpido
sortudo	afortunado
suave	quieto/silencioso/moderado
subalterno	subordinado
submisso	manipulável/obediente/tratável
subordinado	subalterno/inferior
substancial	material
substituível	esgotável/sacrificável
sucinto	taciturno
suja	eriçado/hirto/indecente
sujado	eriçado/hirto
sujo	eriçado/hirto/indecente
superficial	frívolo/fútil/negligente/descuidado
superior	melhor
surpreendente	imprevisto/inesperado
susceptível	vulnerável/sensível
suscetível	vulnerável/sensível
sábio	aconselhável/judicioso/prudente/sensato
sã	racional
são	racional/saudável/bom/bem/saudável
sênior	velho
síncrono	sincrônico
sólido	dura/duro
súbito	rápida/veloz/rápido
taciturno	conciso/lacónico/lacônico/sucinto/reservado
tagarela	prolixo/comunicativo
talentoso	experimentado/habilitado/vivido/competente/experiente
tangível	concreto/perceptível
teimosa	intratável/desobediente/inflexível
teimoso	intratável/desobediente/inflexível
temperado	clemente
temporário	precário/instável
temporão	primeiro
tenaz	consciente
tenro	comestível/brando
tenso	desassossegado/apertado/inquieto
terminado	liso/macio
textual	correcto/exato/preciso/certo
timorato	receoso/cobarde/covardemente/covarde
tolerante	paciente/caridoso
tolo	desaconselhável/imprudente
torto	indireto
totalizado	abrangente/detalhado/exaustivo/extenso/integral/inteiro/amplo
traseiro	posterior/rabo
trasladado	afetado/emocional
tratável	complacente/manipulável/obediente/submisso/manso/dócil
triste	destestável/discontente/pesaroso/infeliz
típico	característico/caraterístico
tóxico	nocivo/daninho/nocivo/prejudicial/danoso
unido	solidário/integrado/conjunto/colectivo/coletivo
usual	comum
utópico	aprimorado/perfeito
vago	ambíguo/dúbio/confuso
valente	arrojado/audacioso/audaz/corajoso/bravo/destemido/aventureiro/destemido
valioso	caro/decoroso/digno/importante
valoroso	arrojado/audacioso/audaz/corajoso/bravo/destemido/aventureiro/destemido
vantajoso	construtivo/optimista/otimista/cómodo/rendoso/afirmativo/lucrativo/oportuno/proveitoso/propício
variável	inconstante/inconsistente
varonil	masculina/masculino/macho
varão	masculina/masculino/macho
velho	experimentado/sênior/vivido/experiente/maturo/maduro/passado/desgastado
veloz	repentina/súbito/abrupto/repentino/apressado
verdadeiro	honesta/sincera/correto/honesto/sincero/autêntico/certo/genuíno/legítimo/justo
vertical	íngreme/íngrime/reto
violento	malvado
viril	masculina/masculino/macho
virtuoso	moral/eqüitativo/recto/casta/casto/piedoso/boa/religioso/reto/justo/bom
visível	perceptível
vivido	talentoso/habilidoso/grosso/duro/resistente
voluntário	consciente
volátil	inconstante
vulnerável	perigoso/inseguro/susceptível/suscetível/inseguro
válido	razoável/legítimo
vário	heterogênea/heterogêneo/diferente
vão	impróprio/inapto/inútil/ineficiente/impotente/desempregado/inútil
vívido	alerta/energético/enérgico/vivo
ágil	astuto
árduo	daninho/nocivo/prejudicial/danoso/desumano/inumano/duro
áspero	desnivelado/despadronizado/desuniforme/rugoso
ávido	entusiástico/entusiasta
íngreme	vertical/perpendicular
íngrime	vertical/perpendicular
óbvio	explícito/aberto
útil	amistoso/serviçal/efetivo/prestativo/amigável/compatível/eficaz/prestável/eficiente/amigo/rendoso/simpática/lucrativo/prestativo/proveitoso
