abanar	soprar
concordar	assemelhar-se/assemelhar/parecer/aquiescer/convir/homologizar/adaptar-se/adequar-se/assentir/paralelizar/rimar/aparentar/harmonizar/compatibilizar/corresponder/confirmar/sustentar/combinar/satisfazer
concorrer	jogar/emular/rivalizar/competir/igualar/correr
condenar	recondenar
condensar	expurgar/abreviar
conectar	correlacionar/correlatar/inter-relatar/inter-relacionar/mencionar/identificar/referir/lembrar
confessar	descartar/conceder/admitir
confinar	emprisonar/encarcerar/engaiolar/incarcerar/aprisionar/prender/emprisionar/internar/aprisionar
confirmar	validar/demonstrar/documentar/referendar/validar/verificar/suportar
confiscar	guarnecer
confortar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar/aliviar
confromar-se	condizer/obedecer/igualar/corresponder/combinar/aclimar/aclimatar/ambientar/ambientar-se/readaptar/enfocar/reajustar/focalizar
confrontar	enfrentar/opor
confundir	ater/desorientar/desmoralizar/desnortear/perplexar/atordoar/desconcertar/surpreender/pegar
conjecturar	afigurar/devanear/envisionar/visionar/fantasiar/retraçar/antever/figurar/imaginar/reconstruir/sonhar/visualizar/formular/prever/desejar/ver
conjeturar	afigurar/devanear/envisionar/visionar/fantasiar/antever/figurar/imaginar/sonhar/visualizar/prever/desejar/ver
conquistar	debelar/abafar/recalcar/silenciar/amortecer/reprimir
consagrar	rededicar
consentir	aturar/tolerar/aguentar/suportar/admitir/aceitar/agüentar/aquiescer/descriminalizar/legalizar/legitimar/assentir/aturar/confiar/autorizar/tolerar/aguentar/permitir/suportar/concordar
consertar	cerzir/rechear/remendar/renovar
conservar	desidratar/enlatar/salgar/refrigerar/preservar
considerar	premeditar/debater/decidir/ver
consolar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar/aliviar
constatar	apreçar
constrangir	tolher
construir	reproduzir/gerar/criar/trazer/fazer/customizar/generar/subproduzir/pre-fabricar/superproduzir/publicar/editar/elaborar/laminar/refazer/imprimir/pulsar/remodelar/gravar/fazer
contar	remarcar/enunciar/reparar/retrucar/notar/articular/somar/comentar/mencionar/replicar/vocalizar/responder/adicionar/dizer/censear/prefaciar/recensear/sumariar/sumarizar/acrescer/narrar/recontar/relatar/resumir/preceder/acrescentar/introduzir/adicionar/explicar/revelar/anunciar/apresentar/declarar/representar/dar
contemplar	ponderar/questionar/perguntar/introspectar/premeditar/teologizar/cogitar/ponderar/refletir/julgar/pensar/considerar
conter	abranger/constrangir/incluir/restringir/compreender/ter/circundar/englobar/subsumir/abarcar/acarretar/delimitar/domar/estorvar/inibir/involver/subordinar/tolher/obstruir/impedir/incluir/classificar/reprimir/suprimir/limitar/marcar/regular/restringir/reter/compreender/controlar/prender/ligar/reduzir
contornar	enclausurar/franjar/cingir/cercar
contradizer	enjeitar/repudiar
contrair	asfixiar/estrangular/convulsionar/estrangular
contratar	subcontratar/preencher/empregar
controlar	avionar/debelar/revezar/abafar/discar/pedalar/pilotar/retransmitir/recalcar/silenciar/amortecer/sincronizar/voar/reprimir/girar/dirigir/conduzir
convencer	desarmar
convocar	bipar/mobilizar/citar/chamar
coordenar	engrenar/estruturar/organizar
copiar	clonar/emular/escarnecer/traçar/zombar/imitar
correr	entornar/verter/derramar/segregar/escoar/manar/redemoinhar/arremeter/fluir/jorrar/acelerar/circular/disparar/girar
corresponder	assemelhar-se/assemelhar/parecer/convir/homologizar/adaptar-se/adequar-se/paralelizar/rimar/aparentar/harmonizar/compatibilizar/confirmar/sustentar/escrever/combinar/concordar/satisfazer
corresponder-se	escrever
corrigir	sintonizar/afinar/regular/ajustar/descompactar/despressurizar/linearizar/zerar/aprumar/conciliar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/proporcionar/compatibilizar/focar/sincronizar/regular/ajustar/arrumar/temperar/combinar
corroborar	validar/demonstrar/documentar/referendar/validar/verificar/confirmar/suportar
cortar	filetar/picar
cozinhar	preservar/conservar/flambar/improvisar
coçar	arranhar
crer	depender/acreditar
crescer	acirrar/altear/conglomerar/elevar-se/revalorizar/acrescer/aglomerar/amontoar/aprofundar/somar/intensificar/acumular/acrescentar/ganhar/adicionar/apreciar/subir/aumentar
criar	reproduzir/gerar/desenvolver/trazer/fazer/customizar/generar/hibridizar/reinventar/subproduzir/pre-fabricar/superproduzir/publicar/editar/elaborar/laminar/refazer/cruzar/imprimir/pulsar/remodelar/adotar/gravar/fazer
curar	recuperar
curvar-se	genuflexar/ajoelhar/cortejar
dançar	break-dance/sambar/sapatear/suingue/valsar/transar/chutar
dar	legar/doar/distribuir/deixar/entregar/passar/comissionar/desobrigar/gratificar/incumbir/rifar/confidenciar/dotar/lembrar-se/render-se/confiar/livrar/alienar/ceder/transferir/renunciar/submeter/lembrar/desistir/transmitir/liberar/oferecer/abandonar/deixar/entregar/passar
debruçar	declivar/reclinar/inclinar
decair	degenerar/degradar/deteriorar/piorar/adoecer/adoentar/retrogredir/inflamar/privar/piorar/sofrer
decapitar	guilhotinar
decepar	picar
decepcionar	desapontar/desencantar/desiludir/trair/falhar
decidir	seleccionar/adjudicar/selecionar/julgar/escolher/propor-se/mensurar/regulamentar/regularizar/decretar/medir/orientar/selar/resolver
declarar	indiciar/denunciar/acusar/argumentar/postular/fingir/pretender/afirmar
decorar	alternar
decrescer	encolher/amainar/definhar/contrair-se/murchar/abater/amenizar/desacelerar/encolher/enrugar/declinar/contrair/desvalorizar/minguar/enfraquecer/baixar/desaparecer/reduzir/diminuir
dedicar	rededicar/consagrar
defender	salvaguardar/assegurar/salvar/guardar/segurar/emparedar/imunizar/protejer/proteger/cercar/enfeitiçar/preservar/guiar/cobrir/conduzir/manter
deferir	endorsar/apoiar/confirmar/aprovar
definir	redefinir
deformar	convoluir/indentar/amassar/torcer
defrontar	enfrentar/opor/confrontar
degelar	descongelar
degenerar	enlanguescer/fatigar/apodrecer
deglutir	devorar
degolar	guilhotinar
degradar	enlanguescer/fatigar/apodrecer
deitar	botar/sepultar/soterrar/enterrar
deitar-se	prostar
deixar	aturar/tolerar/aguentar/suportar/admitir/aceitar/afastar-se/agüentar/ausentar-se/descriminalizar/enviuvar/legalizar/legitimar/aposentar-se/aturar/lembrar-se/retirar-se/confiar/desconectar/autorizar/tolerar/aguentar/permitir/suportar/lembrar/desistir/sair/parar/partir/abandonar
delapidar	indulgir/dissipar/esbanjar/desperdiçar
delatar	reprovar/condenar/desaprovar
deleitar	manipular/manter
deletar	desmagnetizar
deliberar	premeditar/debater/decidir/ver
deliciar	manipular/manter
delongar	segurar
demandar	exigir/requerer/querer/desejar
demitir	aposentar/despedir
demitir-se	aposentar-se/exonerar-se/resignar/renunciar/cair
demolir	arrasar
demonstrar	estultificar/provar-se/contradizer/esclarecer/negar/provar
denominar	alcunhar/baptizar/rebaptizar/rebatizar/apelidar/intitular/renomear/batizar/referir/nomear
denunciar	tributar/queixar/taxar/reprovar/condenar/desaprovar/reclamar
departir	decolar
derramar	gotejar/pingar/decantar/respingar/transvazar/infestar/verter/servir
derrapar	patinar
derreter	descongelar
derrotar	sobrepujar/sacanear/trapacear/ultrapassar/exceder/superar/roubar/subjugar/triunfar/ultrapassar/imobilizar/eliminar/vencer/superar/destruir
desabar	encolher/amainar/definhar/implodir/contrair-se/murchar/abater/amenizar/decrescer/desacelerar/encolher/enrugar/declinar/contrair/desvalorizar/minguar/afundar/enfraquecer/baixar/desaparecer/reduzir/diminuir
desacreditar	desmascarar
desalojar	desmontar/derrubar
desamparar	encalhar/largar/abandonar/deixar
desaparecer	caldear/ausentar/esvanecer/falecer/morrer/ir/diminuir
desapontar	desencantar/desiludir/trair/falhar
desatender	preterir
descartar	debochar/desabonar/desprestigiar/desacreditar/esnobar
descerrar	confidenciar/tagarelar/trair/revelar/mostrar/falar
descobrir	apreçar/descortinar/descerrar/desenterrar/expor/escavar/exibir/revelar/mostrar
desconsiderar	debochar/desabonar/desprestigiar/desacreditar/esnobar
descontinuar	aposentar-se/retirar-se/desistir/parar/abandonar
descontrair	vegetar
descrever	adumbrar/rascunhar/esboçar/delinear
desdenhar	menosprezar
desejar	ansiar/suspirar/ambicionar/cobiçar/esperançar/invejar/aguardar/perseguir/querer/esperar/procurar
desempenhar	actuar/atuar/representar/tocar/fazer/estreiar/performar/reger/conduzir
desempregar	aposentar/despedir
desencaminhar	engodar/seduzir/atrair
desenhar	plotar/diagramar/bosquejar/pautar/redesenhar/engendrar/sombrear/rascunhar/conceber/traçar/delinear/projectar/projetar/planejar
desenvolver	construir
desertar	encalhar/largar/abandonar/deixar
desgostar	detestar/odiar/ressentir
desiludir	desapontar/desencantar/trair/falhar
desinformar	mentir/exagerar/enganar/trair/aumentar/embromar/prevaricar/tergiversar/mentir/enrolar
desistir	aposentar-se/retirar-se/parar/abandonar
deslizar	resvalar/derrapar/escorregar/patinar/surfar/derrapar/planar/serpentear/patinar
deslocar	contorcer/enroscar/espernear/torcer-se/manar/virar-se/arremessar/dançar/estalar/fluir/flexionar/pulsar/tornar-se/tropeçar/alongar/impulsionar/esticar/mexer/dobrar/girar/pular/sacudir/saltar/tremer/sair/correr/partir/agitar/deixar/virar/separar/bater/escorrer/jogar-se/movimentar/mutuar/pinotear/ribombar/surpreender-se/unir-se/vassourar/abalar/bailar/chafurdar/oscilar/reciprocar/trovoar/dançar/dirigir-se/fluir/gravitar/ondular/riscar/acenar/recuar/vibrar/clicar/pulsar/tropeçar/varrer/encostar/voar/assumir/montar/rolar/escalar/acordar/mexer/atravessar/pular/saltar/tremer/desaparecer/correr/agitar/virar/subir/bater
desmoronar	implodir/afundar
despedir	aposentar
despender	delapidar/dilapidar/esbanjar/desperdiçar/amealhar/malbaratar/economizar/esbanjar/torrar/desperdiçar/gastar/dispor/poupar/consumir/investir/poder
desperdiçar	indulgir/dissipar/esbanjar/torrar
desprezar	desdenhar/menosprezar
destituir	aposentar/despedir
destruir	desfilar/desfiar
deter	emprisonar/encarcerar/engaiolar/incarcerar/aprisionar/prender/emprisionar/internar/aprisionar
deteriorar	esmerilar/desgastar/enlanguescer/fatigar/apodrecer/desfigurar/macular/manchar
detestar	desprezar/desdenhar/menosprezar/abominar/execrar/odiar
devolver	revisitar/retraçar/regressar/ressuscitar/retornar
devotar	rededicar/consagrar
diferir	contrapor/contrapor-se/desdizer/contrastar/dissentir/contradizer/discordar/desviar/variar
difundir	publlicar/popularizar/semear/vulgarizar/plantar
dilapidar	indulgir/dissipar/esbanjar/desperdiçar
diluir	aguar
diminuir	encurtar/encolher/resumir/condensar/abreviar/reduzir/amainar/circunscrever/definhar/deprivar/desescalonar/desprover/embotar/abaixar/contrair-se/desmerecer/mitigar/murchar/subtrair/abater/amenizar/decrescer/encurtar/deprimir/desacelerar/encolher/enrugar/confinar/declinar/minimizar/contrair/desvalorizar/ferver/minguar/suprimir/enfraquecer/limitar/baixar/restringir/desaparecer/reduzir
discordar	desdizer/dissentir/contradizer
discriminar	desavantajar/desfavorecer/ilhar/prejudicar/isolar
discutir	deliberar/debater/considerar/agenciar/assessorar/conferenciar/encetar/abordar/aconselhar/opinar/alinhavar/liderar/confabular/consultar/negociar/avisar/conferir/moderar/iniciar
disfarçar	camuflar/dissimular/mascarar/esconder
disparar	atirar
dispensar	poupar/desregulamentar/desregular/isentar/escusar
dispor	agavelar/coordenar/empilhar/acumular/organizar/drapejar/encadenar/escalonar/rearranjar/serializar/seriar/regularizar/reordenar/drapear/encadear/enfileirar/alisar/emparelhar/estratificar/distribuir/adornar/decorar/arrumar/ordenar/colocar
disputar	pugnar/lutar/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/digladiar/porfiar/assaltar/batalhar/brigar/defender/lutar/atacar/resistir/conduzir
disseminar	publlicar/popularizar/semear/vulgarizar/plantar
dissuadir	persuadir
distribuir	dividir
disturbar	transtornar/preocupar/perturbar/afligir/angustiar/chocar/excitar/agitar
divergir	desdizer/dissentir/contradizer/discordar
divertir	hospedar/receber/entreter
dividir	acantonar/balcanizar/comunalizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/agregar/inicializar/rachar/combinar
divulgar	confidenciar/advogar/propagandear/tagarelar/promover/trair/lutar/revelar/mostrar/falar/agitar
dizer	remarcar/enunciar/reparar/retrucar/notar/articular/comentar/mencionar/replicar/vocalizar/responder/formularizar/lexicalizar/prefaciar/sumariar/dogmatizar/sumarizar/acrescer/enquadrar/resumir/preceder/formular/perguntar/acrescentar/introduzir/adicionar/explicar/revelar/anunciar/apresentar/declarar/representar/colocar/dar
dobrar	corrugar/plissar/preguear/enrugar/cruzar/amassar
doer	ferrar/picar/queimar/ferroar/esfomear/arder/picar/furar/machucar/pagar
dominar	possuir
dopar	envenenar/anestesiar/narcotizar/drogar
dormitar	pestanejar/cochilar
drogar	envenenar/anestesiar/narcotizar
duplicar	redobrar
durar	estar/resistir/usar
economizar	entesourar
educar	desfraldar/retreinar/instruir/treinar
efectuar	culminar/obter/chegar/atingir/começar
efetuar	culminar/obter/chegar/atingir/começar
elaborar	exemplificar/ilustrar/detalhar/particularizar/pormenorizar/especificar/explicar
eleger	reeleger
elevar	bombear/hastear/içar/alçar/levitar/erguer/levantar/aumentar
elicitar	magoar/ofender/provocar/infatuar/encolerizar/irar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/alfinetar/desconcertar/enraivecer/reacender/emocionar/acender/estimular/atrair/perturbar/animar/confundir/excitar/superar/pedir/levantar/tocar
eliminar	excetuar/omitir/preterir/excluir/racionar/aniquilar/afogar/racionalizar/cancelar/extinguir/remover/cortar
elocubrar	exemplificar/ilustrar/detalhar/particularizar/pormenorizar/especificar/explicar
embalar	amortalhar/embrulhar
embaralhar	reembaralhar/cortar
embarcar	embarcar-se/pegar
embevecer	encarecer/encantar
embrulhar	amortalhar/embalar
emendar	cerzir/rechear/remendar/consertar/renovar
emitir	carpir/lamentar-se/latir/urrar/bramir/gemir/ladrar/rugir/gemer/uivar/berrar/gritar/arfar/arrulhar/balir/chilrear/corvejar/cricrilar/gorgolejar/grunhir/miar/relinchar/rouquejar/cacarejar/chiar/coaxar/crocitar/gargarejar/gorjear/grasnir/mugir/ofegar/pipilar/rosnar/trompetear/volear/zurrar/assobiar/bufar/ecoar/estalar/gemer/piar/pigarrear/suspirar/trinar/uivar/vociferar/cuspir/grasnar/chamar/cantar/repetir/gritar
emocionar	transtornar/preocupar/perturbar/afligir/angustiar/chocar/excitar/agitar
empacotar	conteinerizar/estivar/ensacar/carregar
empossar	investir
empregar	subcontratar/preencher/contratar
emprestar	alugar
empurrar	derrubar/protrudir/cutucar/enfiar/propulsionar/acotovelar/repelir/guiar/sacudir/dirigir/conduzir
encabeçar	capitanear
encaixotar	conteinerizar/estivar/ensacar/empacotar/carregar
encantar	encarecer/manipular/manter
encarar	enfrentar/opor/confrontar
encerrar	arrematar/cumprir/efetuar/executar/realizar/terminar/atingir
encher	alagar/estofar/encharcar/estufar/inundar/desbordar/disorganizar/electrizar/reencher/abarrotar/electrificar/eletrizar/impregnar/inteirar/transbordar/amontoar/eletrificar/lubrificar/entupir/estufar/forrar/lotar/povoar/completar/popular/sobrecarregar/concluir/carregar
encobrir	disfarçar/mascarar/esconder/camuflar/dissimular/disfarçar/espreitar/mascarar/sepultar/soterrar/tapar/acobertar/enterrar/ocultar/esconder/cobrir
encontrar	apinhar/intersectar/reunir-se/acessar/cruzar-se/aglomerar/convergir/unir/reunir
encurtar	expurgar/condensar/abreviar
endereçar	discorrer/teologizar/discursar/discutir/falar
endireitar	desdobrar/canalizar/estender
enfatizar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/clarificar/focar
enfraquecer	descarrilhar
enganar	mentir/exagerar/trair/aumentar/embromar/prevaricar/tergiversar/mentir/posar/enrolar
engatinhar	formigar
engendrar	libertar/livrar/gerar/soltar/desenvolver/liberar
engenhar	coreografar
engodar	desencaminhar/seduzir/atrair
engolir	devorar
engulir	sugar/chupar
enrolar	ater/desorientar/desmoralizar/desnortear/perplexar/atordoar/desconcertar/surpreender/pegar
ensinar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
entender	enxergar/ouvir/saborear/solucionar/doer/escutar/cheirar/resolver/sentir/saber/olhar/ver/alucinar/atinar/avistar/delirar/divisar/captar/aprofundar/interpretar/apalpar/comprender/sonhar/traduzir/adivinhar/perceber/sentir/apreciar/compreender/ver/pegar
entornar	gotejar/pingar/decantar/respingar/transvazar/infestar/verter/servir
entrar	traspassar/perfurar/embarcar/penetrar/intrometer-se/irromper/reentrar/penetrar
entregar	legar/doar/distribuir/deixar/passar/dar/comissionar/desobrigar/gratificar/incumbir/rifar/confidenciar/dotar/lembrar-se/render-se/confiar/livrar/alienar/ceder/transferir/renunciar/submeter/lembrar/desistir/transmitir/liberar/oferecer/abandonar/deixar/passar/dar
entreter	hospedar/receber/divertir
entumescer	afofar/empolar/intumescer/distender/inchar
enumerar	somar/adicionar/censear/recensear/recontar
envenenar	intoxicar/embriagar
enviar	registrar
enxergar	entrever/vislumbrar/observar/compreender/ver
enxugar	escovar/varrer
equilibrar	compensar/contrabalançar/contrabalancear/complementar/emparelhar/completar/suplementar/compensar/corrigir
equipar	blindar/encouraçar/re-equipar/reaparelhar/entronar/amordaçar/armar/mecanizar/motorizar/investir
erguer	bombear/hastear/içar/alçar/levitar/levantar/aumentar
esbanjar	indulgir/dissipar/desperdiçar
esboçar	redesenhar/engendrar/conceber/projectar/projetar/planejar
escapar	safar/evadir-se/escorregar/fugir/evitar
escapulir	safar/evadir-se/escorregar/fugir/escapar/evitar
escarnear	bulir/vaiar/caçoar/zombar
escavar	valar
esclarecer	explicar/interpretar/comentar/naturalizar/explicar
escolher	eleger/peneirar/analisar/selecionar/votar/decidir/aventar/reeleger/coar/discar/esposar/posicionar/ungir/adoptar/peneirar/designar/selecionar/adotar/especificar/extrair/votar/determinar/nomear/propor
esconder	disfarçar/mascarar/encobrir/camuflar/dissimular/disfarçar/espreitar/mascarar/sepultar/soterrar/tapar/acobertar/enterrar/ocultar/encobrir/cobrir
escorregar	resvalar/derrapar/deslizar/patinar/surfar/derrapar/planar/serpentear/deslizar/patinar
escrever	subscrever/visar/assinar/apostrofizar/digitar/instrumentar/melodizar/rabiscar/datilografar/reescrever/estilizar/compatibilizar/registar/registrar
escutar	grampear/interceptar/atender/assistir/entender/pegar
esfregar	roçar/escovar/varrer/enxugar/limpar/friccionar/lambuzar/ralar/enxugar/manchar
esmagar	torcer
esnobar	debochar/desabonar/desprestigiar/desacreditar
espalhar	borrifar/publlicar/aerolizar/popularizar/semear/vulgarizar/borrifar/plantar
especular	ponderar/questionar/perguntar/introspectar/premeditar/retraçar/teologizar/reconstruir/cogitar/ponderar/formular/refletir/julgar/pensar/considerar
esperar	emboscar
espirar	bocejar/soluçar/suspirar/ressonar/hiperventilar/roncar/expirar/inalar/inspirar/exalar
espremer	torcer
estapear	esbofetear
estarrecer	amendrontar/galvanizar
estender	globalizar/territorializar
estender-se	prostar
estimar	enaltecer/reavaliar/elogiar/estandardizar/invejar/padronizar/valorizar/louvar/censurar/avaliar/corrigir
estimular	magoar/ofender/provocar/infatuar/encolerizar/irar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/alfinetar/desconcertar/enraivecer/reacender/emocionar/acender/atrair/perturbar/animar/confundir/excitar/superar/pedir/levantar/tocar
estorvar	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/evitar/parar
estourar	explodir
estragar	desfigurar/macular/manchar
estremecer	tremelicar/tremular/tiritar/vibrar/tremer
estressar	alongar/esticar/estender
estudar	memorizar/decorar/marrar
evidenciar	aduzir/alegar/manifestar/presumir/citar/demonstrar/certificar/provar/dizer
evitar	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/renegar/demover/esquivar/margear/contornar/evadir/sustar/desconcertar/presumir/travar/escapar/parar
evocar	incriminar/culpar
exagerar	fanfarrear/vangloriar/vangloriar-se/ostentar/engrandecer/dramatizar/embelezar
exceder	enganar/superar
excetuar	elidir
exclamar	trombetear/declarar
excluir	elidir
executar	enforcar/crucificar/queimar
exibir	empavonar/pavonear/brandir/ostentar/esclarecer/posar/abrir/mostrar/agitar
exigir	proscrever/vetar/vedar/proibir/requerer/requisitar/responsabilizar/querer/desejar
exortar	impacientar/instar/predicar/advocar/advogar/urgir/arguir/pressionar/apressar/pregar
expandir	exemplificar/ilustrar/detalhar/particularizar/deleitar/pormenorizar/reacender/especificar/reviver/explicar
experimentar	arrepender/arrepender-se/lamentar/degustar/enervar-se/irritar-se/orgulhar/orgulhar-se/regozijar/regozijar-se/alegrar-se/desencantar/simpatizar/tender/congratular/entristecer/recalcar/enraivecer/entreter/radiar/recapturar/alegrar/arder/enfurecer/inclinar/sustentar/morrer/sofrer/brilhar/guardar/irritar/considerar/manter
expirar	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/morrer/cair
explicar	elocubrar/elaborar/expandir/expor/desmistificar/elucidar/paliar/pleitar/atenuar/mitigar/remediar/interpretar/esclarecer/comentar/naturalizar
explodir	estourar
explorar	superexplorar/comercializar/maximizar/minerar/ordenhar/minar/aproveitar/manipular/utilizar/escavar/alimentar/usar/jogar
expor	exemplificar/ilustrar/detalhar/empavonar/particularizar/pavonear/brandir/desmascarar/ostentar/pormenorizar/posar/especificar/exibir/explicar/abrir/mostrar/agitar
exportar	contrabandear
expressar	formularizar/lexicalizar/dogmatizar/enquadrar/formular/perguntar/colocar
expulsar	extraditar/deportar/escorraçar/exilar/ostracizar/banir/entregar/degredar/desterrar/deportar/ejetar/escorraçar/exilar/expatriar/banir/excluir/suspender/dividir/separar
extinguir	excetuar/omitir/preterir/excluir/racionar/aniquilar/afogar/racionalizar/cancelar/remover/cortar
fabricar	mitologizar/mitificar/confabular
falar	remarcar/enunciar/reparar/retrucar/notar/articular/comentar/mencionar/replicar/vocalizar/responder/dizer/discorrer/prefaciar/sumariar/sumarizar/teologizar/acrescer/discursar/discutir/resumir/preceder/acrescentar/introduzir/adicionar/explicar/revelar/anunciar/apresentar/declarar/representar/dar
falecer	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/morrer/cair
falhar	perder/borrar/ferrar/arruinar/cair
faltar	exceptuar/carecer/precisar/excluir
fanfarrear	gabar/triunfar
fascinar	manipular/manter
favorecer	preferenciar
fazer	actuar/reproduzir/gerar/atuar/criar/trazer/representar/tocar/customizar/estreiar/generar/subproduzir/pre-fabricar/superproduzir/libertar/performar/publicar/editar/elaborar/laminar/livrar/refazer/imprimir/pulsar/remodelar/gerar/reger/gravar/soltar/desenvolver/liberar/conduzir/manter
fechar	vedar/selar/bater/tirar
fender	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
ferir	aferroar/apunhalar/esfaquear/lesar/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
ferrar	urticar
festejar	enlutar/comemorar/marcar/lamentar
ficar	espreitar/rondar/caber/permanecer/ajustar
filmar	cinegrafar/cinematizar/cinematografar
finalizar	arrematar/aposentar-se/retirar-se/cumprir/efetuar/executar/desistir/realizar/terminar/parar/abandonar/atingir
fixar	enganchar/trancar/pendurar/abotoar/acolchetar/afivelar/agrafar/ancorar/barricar-se/engastar/entrincheirar-se/zipar/cingir/entrincheirar/escorar/estacar/rebitar/encadear/grampear/implantar/alfinetar/atracar/conectar/cravar/trancar/pendurar/amarrar/atar/forçar/ligar/colocar
flabelar	soprar
flexionar	convoluir/indentar/amassar/torcer
florescer	deleitar/reacender/reviver
fluir	entornar/verter/derramar/segregar/escoar/manar/redemoinhar/jorrar/circular/girar/correr
focar	escutar/pensar
foragir	safar/escorregar/fugir/escapar/evitar
forjar	plasmar/amoldar/esculpir/moldar/remodelar/fundir/modelar/reformar/transformar/cortar
formar	atar/plasmar/sindicar/achatar/amoldar/individualizar/retorcer/sindicar-se/aplainar/arredondar/esculpir/reorganizar/arregimentar/cristalizar/distorcer/moldar/remodelar/deformar/enxugar/forjar/fundir/modelar/acomodar/reformar/circular/torcer/transformar/enrolar/escolher/cortar
formular	formularizar/lexicalizar/dogmatizar/enquadrar/perguntar/colocar
fornecer	apetrechar/aparelhar/equipar/suprir/carregar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/computadorizar/estofar/informatizar/ofertar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/aguar/articular/capitalizar/datar/despejar/molhar/assentar/associar-se/esquentar/prover/regar/abastecer/aquecer/canalizar/derramar/renovar/sinalizar/suprir/alimentar/estender/oferecer/dar
forçar	empurrar/derrubar/protrudir/cacetear/cutucar/enfiar/propulsionar/acotovelar/aterrorizar/repelir/impulsionar/empurrar/guiar/sacudir/dirigir/conduzir
fotocopiar	microcopiar
fracassar	perder/borrar/ferrar/arruinar/falhar/cair
fraccionar	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
fracionar	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
fugir	safar/evadir-se/escorregar/escapar/evitar
fumar	pufar/tragar/inalar
fundir	aliar/sincretizar/acrescentar/misturar
galgar	escalar/subir
ganhar	rentabilizar/lucrar/render/lucrar/arrasar/capitalizar/triunfar/vencer/levar
gargalhar	casquinar/cacarejar/zurrar/convulsionar/gracejar
gastar	delapidar/dilapidar/esbanjar/desperdiçar/amealhar/malbaratar/economizar/esbanjar/torrar/desperdiçar/dispor/poupar/consumir/investir/poder
gatinhar	formigar
gerar	libertar/livrar/soltar/desenvolver/liberar
gerir	reinar/ditar/reino
gingar	braquiar/fremir/vibrar
girar	rodear/rodar
golpear	esmurrar/chutar/bater/cacetear/surrar/socar/acertar/bater
gostar	encarecer/encantar
governar	gerir/reinar/reger/açambarcar/esterçar/presidir/atrelar/internacionalizar/monopolizar/manobrar/reinar/arregimentar/ditar/preocupar/canalizar/enfeitiçar/lidar/reger/cuidar/reino/direcionar/dominar/encantar/ocupar/guiar/controlar/dirigir
grampear	interceptar
gravar	salvar
gritar	bradar/berrar/esganiçar/ulular/bramir/mugir/roncar/vociferar
grudar	ligar
guardar	armazenar/acumular/negar/coleccionar/computarizar/entesourar/informatizar/amontoar/armazenar/colecionar/empilhar/deter/deduzir/poupar/preservar/acumular/conservar/reter/guiar/juntar/segurar/reunir/conduzir/manter
hesitar	fraquejar/stötön/voltear/esmorecer/gaguejar/vacilar
hierarquizar	priorizar/super-ordenar/reordenar/sequenciar/subordinar/distribuir/arranjar/rebaixar
hipotetizar	retraçar/reconstruir/formular
horripilar	apavorar
hospedar	banquetear/festejar
identificar	numerar/enumerar/listar/anunciar
ignorar	debochar/desabonar/desprestigiar/preterir/desacreditar/esnobar
imaginar	afigurar/devanear/envisionar/visionar/fantasiar/antever/figurar/sonhar/visualizar/prever/desejar/ver
imitar	emular/escarnecer/zombar/copiar
impactar	desconfortar/hidrolizar/influir/repercutir/sujeitar/influenciar/arriscar/comprometer/afetar/colorir/estimular/atacar/incomodar/atingir
impedir	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/evitar/parar
impelir	impacientar/instar/predicar/advocar/advogar/urgir/arguir/pressionar/apressar/pregar
implorar	insistir/importunar
importar	contrabandear
